CMHName,FirstofService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,UnitType,SumofMIC-Cases,FirstofMIC-Units,SumofMIC-Cost,CostPerCase,CostPerUnit,UnitPerCase
,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0.00,0.00,0.00,0,0,0
,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0.00,0.00,0.00,0,0,0
,Additional Codes-ECT Anesthesia,,104,,Minutes,0.00,0.00,0.00,0,0,0
,Additional Codes-ECT Anesthesia,901,104,,Minutes,0.00,0.00,0.00,0,0,0
,Drug Screen for Methadone Clients Only,,80100,,Per Screen,0.00,0.00,0.00,0,0,0
,Drug Screen for Methadone Clients Only,,80101,,Per Screen,0.00,0.00,0.00,0,0,0
,Alcohol Breath Test for Methadone Clients Only,,82075,,Per Test,0.00,0.00,0.00,0,0,0
,Assessment-Psychiatric Assessment,,90801,,Encounter,60.00,61.00,"16,420.00",274,269,1
,Substance Abuse: Psychiatric Evaluation,,90801,,Encounter,0.00,0.00,0.00,0,0,0
,Assessment-Psychiatric Assessment,,90802,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Psychiatric Evaluation,,90802,,Encounter,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90804,,Encounter 20-30 Min,82.00,363.00,"25,335.00",309,70,4
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90804,,Encounter 20-30 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90805,,Encounter 20-30 Min,0.00,0.00,0.00,0,0,0
Allegan,,,,,,,,,,,
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90805,,Encounter 20-30 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90806,,Encounter 45-50 Min,110.00,443.00,"57,326.00",521,129,4
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90806,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90807,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90807,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90808,,Encounter 75-80 Min,18.00,25.00,"5,243.00",291,210,1
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90808,,Encounter 75-80 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90809,,Encounter 75-80 Min,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90809,,Encounter 75-80 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90810,,Encounter 20-30 Min,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90810,,Encounter 20-30 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90811,,Encounter 20-30 Min,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90811,,Encounter 20-30 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90812,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90812,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90813,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90813,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90814,,Encounter 75-80 Min,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90814,,Encounter 75-80 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90815,,Encounter 75-80 Min,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90815,,Encounter 75-80 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90816,,Encounter 20-30 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90817,,Encounter 20-30 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90818,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90819,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90821,,Encounter 75-80 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90822,,Encounter 75-80 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90823,,Encounter 20-30 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90824,,Encounter 20-30 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90826,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Substance Abuse: Psychotherapy (Individual Therapy),,90826,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90827,,Encounter 45-50 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90828,,Encounter 75-80 Min,0.00,0.00,0.00,0,0,0
,Therapy-Individual Therapy,,90829,,Encounter 75-80 Min,0.00,0.00,0.00,0,0,0
,Therapy-Family Therapy,,90846,,Encounter,45.00,85.00,"9,572.00",213,113,2
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,,Encounter,0.00,0.00,0.00,0,0,0
,Therapy-Family Therapy,,90847,,Encounter,115.00,586.00,"63,221.00",550,108,5
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter,0.00,0.00,0.00,0,0,0
,Therapy-Family Therapy,,90849,,Encounter,0.00,0.00,0.00,0,0,0
,Therapy-Family Therapy,,90849,HS,Encounter,0.00,0.00,0.00,0,0,0
Allegan,,,,,,,,,,,
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,,Encounter,0.00,0.00,0.00,0,0,0
,Therapy-Group Therapy,,90853,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,,Encounter,0.00,0.00,0.00,0,0,0
,Therapy-Group Therapy,,90857,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90857,,Encounter,0.00,0.00,0.00,0,0,0
,Medication Review ,,90862,,Encounter,89.00,248.00,"24,629.00",277,99,3
,Substance Abuse: Medication Review,"0900, 0914, 0915, 0916, 0919",90862,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-ECT Physician,,90870,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-ECT Physician,901,90870,,Encounter,0.00,0.00,0.00,0,0,0
,Assessments-Other,,90887,,Encounter,0.00,0.00,0.00,0,0,0
,Speech & Language Therapy ,,92506,,Encounter,0.00,0.00,0.00,0,0,0
,Speech & Language Therapy ,,92507,,Encounter,0.00,0.00,0.00,0,0,0
,Speech & Language Therapy ,,92508,,Encounter,0.00,0.00,0.00,0,0,0
,Speech & Language Therapy ,,92526,,Encounter,0.00,0.00,0.00,0,0,0
,Speech & Language Therapy ,,92610,,Encounter,0.00,0.00,0.00,0,0,0
,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,0.00,0.00,0.00,0,0,0
,Psychological Testing by Technician ,,96102,,Per Hour,0.00,0.00,0.00,0,0,0
,Psychological Testing by Comp ,,96103,,Per Hour,0.00,0.00,0.00,0,0,0
,Assessments-Other,,96105,,Encounter,0.00,0.00,0.00,0,0,0
,Assessments-Other,,96110,,Encounter,0.00,0.00,0.00,0,0,0
,Assessments-Other,,96111,,Encounter,0.00,0.00,0.00,0,0,0
,Neurobehavioral Status Exam (Children's Waiver),,96116,,Per Hour,0.00,0.00,0.00,0,0,0
,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0.00,0.00,0.00,0,0,0
,Neuropsych test by Tech ,,96119,,Per Hour,0.00,0.00,0.00,0,0,0
,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0.00,0.00,0.00,0,0,0
,Medication Administration,,96372,,Encounter,0.00,0.00,0.00,0,0,0
,Physical Therapy,,97001,,Encounter,0.00,0.00,0.00,0,0,0
,Physical Therapy,,97002,,Encounter,0.00,0.00,0.00,0,0,0
,Occupational Therapy,,97003/ 97004,,Encounter,1.00,1.00,144.00,144,144,1
,Occupational or Physical Therapy,,97110,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,97112,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,97113,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,97116,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,97124,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,97140,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,97150,,Encounter,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,97530,,15 Minutes,1.00,8.00,337.00,337,42,8
,Occupational or Physical Therapy,,97532,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,97533,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,97535,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,97537,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,97542,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational Therapy,,97703,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational Therapy,,97750,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational Therapy,,97755,,15 Minutes,0.00,0.00,0.00,0,0,0
,Occupational Therapy,,97760,,15 Minutes,0.00,0.00,0.00,0,0,0
,C/O for Orthotic/Prosth Use ,,97762,,15 minutes,0.00,0.00,0.00,0,0,0
Allegan,,,,,,,,,,,
,Assessment or Health Services,,97802,,15 Minutes,0.00,0.00,0.00,0,0,0
,Assessment or Health Services,,97803,,15 Minutes,0.00,0.00,0.00,0,0,0
,Health Services,,97804,,30 Minutes,0.00,0.00,0.00,0,0,0
,Substance Abuse: Accupuncture,,97810,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Accupuncture,,97811,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99201,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99202,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99203,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Physician Evaluation,,99203,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99204,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Physician Evaluation,,99204,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99205,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Physician Evaluation,,99205,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services  Medication Administration,,99211,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99212,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99213,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99214,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99215,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99221,,30 Minutes,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99222,,50 Minutes,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99223,,70 Minutes,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99231,,15 Minutes,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99232,,25 minutes,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99233,,35 Minutes,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99241,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99242,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99243,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99244,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99245,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99251,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99252,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99253,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99254,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99255,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99261,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99262,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99263,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99271,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99272,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99273,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99274,,Encounter,0.00,0.00,0.00,0,0,0
,Additional Codes-Physician Services,,99275,,Encounter,0.00,0.00,0.00,0,0,0
,Medication Administration,,99506,,Encounter,0.00,0.00,0.00,0,0,0
,Medicaition Administration (Children's Waiver),,99506,,Encounter,0.00,0.00,0.00,0,0,0
,Medication Management,,99605,,15 Minutes,0.00,0.00,0.00,0,0,0
,Transportation,,A0080,,Per mile,0.00,0.00,0.00,0,0,0
,Transportation,,A0090,,Per mile,0.00,0.00,0.00,0,0,0
,Transportation,,A0100,,Per one-way trip,0.00,0.00,0.00,0,0,0
,Substance Abuse: Transportation,,A0100,,Per one-way trip,0.00,0.00,0.00,0,0,0
,Transportation,,A0110,,Per one-way trip,0.00,0.00,0.00,0,0,0
Allegan,,,,,,,,,,,
,Substance Abuse: Transportation,,A0110,,Per one-way trip,0.00,0.00,0.00,0,0,0
,Transportation,,A0120,,Per one-way trip,0.00,0.00,0.00,0,0,0
,Transportation,,A0130,,Per one-way trip,0.00,0.00,0.00,0,0,0
,Transportation,,A0140,,Per one-way trip,0.00,0.00,0.00,0,0,0
,Transportation,,A0170,,,0.00,0.00,0.00,0,0,0
,Additional Codes-Transportation,,A0425,,Per Mile,0.00,0.00,0.00,0,0,0
,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0.00,0.00,0.00,0,0,0
,Enhanced Medical Equipment-Supplies,,E1399,,Items,0.00,0.00,0.00,0,0,0
,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0.00,0.00,0.00,0,0,0
,Substance Abuse: Individual Assessment,,H0001,,Encounter,0.00,0.00,0.00,0,0,0
,Assessment ,,H0002,,Encounter,99.00,120.00,"6,693.00",68,56,1
,Substance Abuse: Individual Assessment,,H0002,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse:Laboratory,,H0003,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Case Management,,H0006,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Days,0.00,0.00,0.00,0,0,0
,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Days,0.00,0.00,0.00,0,0,0
,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Days,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Care,906,H0015,,Days,0.00,0.00,0.00,0,0,0
,Crisis Residential Services,,H0018,,Days,0.00,0.00,0.00,0,0,0
,Substance Abuse: Residential,1002,H0018,,Days,0.00,0.00,0.00,0,0,0
,Substance Abuse: Residential,1002,H0019,,Days,0.00,0.00,0.00,0,0,0
,Substance Abuse: Methadone,,H0020,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Early Intervention,,H0022,,Encounter,0.00,0.00,0.00,0,0,0
,Peer Directed and Operated Support Services,,H0023,,Encounter,0.00,0.00,0.00,0,0,0
,Prevention Services - Direct Model,,H0025,,Face to Face Contact,27.00,306.00,"108,192.00",4007,354,11
,Crisis Intervention,,H0030,,Per Service,0.00,0.00,0.00,0,0,0
,Assessment ,,H0031,,Encounter,168.00,176.00,"52,193.00",311,297,1
,Treatment Planning,,H0032,,Encounter,183.00,430.00,"45,825.00",250,107,2
,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0.00,0.00,0.00,0,0,0
,Health Services,,H0034,,15 Minutes,0.00,0.00,0.00,0,0,0
,Home Based Services,,H0036,,15 Minutes,52.00,"7,931.00","363,342.00",6987,46,153
,Home Based Services,,H0036,ST,15 Minutes,0.00,0.00,0.00,0,0,0
,Peer Directed and Operated Support Services,,H0038,,15 minutes,0.00,0.00,0.00,0,0,0
,Substance Abuse: Recovery Support Services,,H0038,,15 Minutes,0.00,0.00,0.00,0,0,0
,Peer Directed and Operated Support Services,,NA,,,0.00,0.00,0.00,0,0,0
,Assertive Community Treatment (ACT),,H0039,,15 Minutes,0.00,0.00,0.00,0,0,0
,Community Living Supports in Independent living/own home,,H0043,,Per diem,0.00,0.00,0.00,0,0,0
,Respite,,H0045,,Days,17.00,147.00,"9,276.00",546,63,9
,Substance Abuse:Laboratory (cells now unlocked),,H0048,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Individual Assessment,,H0049,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Treatment,,H0050,,15 Minutes,0.00,0.00,0.00,0,0,0
,Behavior Treatment Plan Review,,H2000,,Encounter,1.00,4.00,792.00,792,198,4
,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,0.00,0.00,0.00,0,0,0
,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0.00,0.00,0.00,0,0,0
Allegan,,,,,,,,,,,
,Crisis Intervention,,H2011,,15 Minutes,6.00,23.00,798.00,133,35,4
,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,0.00,0.00,0.00,0,0,0
,Community Living Supports (15 Minutes),,H2015,,15 Minutes,6.00,"7,763.00","8,404.00",1401,1,1294
,Community Living Supports (Daily),,H2016,,Per Diem,0.00,0.00,0.00,0,0,0
,Community Living Supports (Daily),,H2016,TF,Per Diem,0.00,0.00,0.00,0,0,0
,Community Living Supports (Daily),,H2016,TG,Per Diem,1.00,365.00,"110,289.00",110289,302,365
,Behavior Services,,H2019,,15 Minutes,0.00,0.00,0.00,0,0,0
,Behavior Services,,H2019,TT,15 Minutes,0.00,0.00,0.00,0,0,0
,Crisis Intervention,,H2020,,Days,0.00,0.00,0.00,0,0,0
,Wraparound,,H2021,,15 Minutes,7.00,146.00,"12,201.00",1743,84,21
,Wraparound,,H2022,,Days,5.00,14.00,"6,613.00",1323,472,3
,Supported Employment Services,,H2023,,15 minutes,0.00,0.00,0.00,0,0,0
,Supported Employment Services,,H2023,TT,15 Minutes,0.00,0.00,0.00,0,0,0
,Mental Health Therapy,,H2027,,15 Minutes,0.00,0.00,0.00,0,0,0
,Substance Abuse Services: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,,15 Minutes,0.00,0.00,0.00,0,0,0
,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0.00,0.00,0.00,0,0,0
,Home Based Services,,H2033,,15 Minutes,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,,Hour,0.00,0.00,0.00,0,0,0
,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,,Per Diem,0.00,0.00,0.00,0,0,0
,Medication Review ,,M0064,,"Encounter Face-to-Face, generally less than 10 minutes",5.00,6.00,"1,033.00",207,172,1
,Transportation,,S0209,,Per Mile,0.00,0.00,0.00,0,0,0
,Transportation,,S0215,,Per Mile,0.00,0.00,0.00,0,0,0
,Substance Abuse Services: Transportation,,S0215,,Per Mile,0.00,0.00,0.00,0,0,0
,Family Training - EBP,,S5110,,15 Minutes,0.00,0.00,0.00,0,0,0
,Family Training,,S5111,,Encounter,4.00,6.00,"12,833.00",3208,2139,2
,Family Training,,S5111,HA,Encounter,0.00,0.00,0.00,0,0,0
,Foster Care,,S5140,,Days,0.00,0.00,0.00,0,0,0
,Foster Care,,S5145,,Days,0.00,0.00,0.00,0,0,0
,Respite,,S5150,,15 Minutes,0.00,0.00,0.00,0,0,0
,Respite,,S5151,,Per Diem,0.00,0.00,0.00,0,0,0
,Respite (Children's Waiver),,S5151,TT,Per diem,0.00,0.00,0.00,0,0,0
,Personal Emergency Response System (PERS),,S5160,,Encounter,0.00,0.00,0.00,0,0,0
,Personal Emergency Response System (PERS),,S5161,,Month,0.00,0.00,0.00,0,0,0
,Environmental Modification ,,S5165,,Service,0.00,0.00,0.00,0,0,0
,Enhanced Medical Equipment-Supplies,,S5199,,Items,0.00,0.00,0.00,0,0,0
,Occupational or Physical Therapy,,S8990,,Encounter,0.00,0.00,0.00,0,0,0
,Health Services,,S9445,,Encounter,0.00,0.00,0.00,0,0,0
,Health Services,,S9446,,Encounter,0.00,0.00,0.00,0,0,0
,Health Services,,S9470,,Encounter,0.00,0.00,0.00,0,0,0
,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0.00,0.00,0.00,0,0,0
,Reidential Room and Board,,S9976,,Days,0.00,0.00,0.00,0,0,0
,Substance Abuse Services: Residential Room and Board,,S9976,,Days,0.00,0.00,0.00,0,0,0
,Assessment,,T1001,,Encounter,0.00,0.00,0.00,0,0,0
,Health Services,,T1002,,Up to 15 min,0.00,0.00,0.00,0,0,0
,Respite Care,,T1005,,15 Minutes,41.00,"5,605.00","41,184.00",1004,7,137
,Respite Care,,T1005,TD,15 Minutes,0.00,0.00,0.00,0,0,0
Allegan,,,,,,,,,,,
,Respite Care,,T1005,TE,15 Minutes,0.00,0.00,0.00,0,0,0
,Respite Care (Children's Waiver),,T1005,TT,15 minutes,0.00,0.00,0.00,0,0,0
,Substance Abuse: Child Sitting Services,,T1009,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse: Recovery Support Services,"0900, 0906, 0914, 0915, 0916, 0919",T1012,,Encounter,0.00,0.00,0.00,0,0,0
,Family Psycho-Education - EBP,,T1015,,Encounter,0.00,0.00,0.00,0,0,0
,Supports Coordination,,T1016,,15 minutes,15.00,266.00,"20,166.00",1344,76,18
,Targeted Case Management ,,T1017,,15 minutes,4.00,86.00,"7,883.00",1971,92,22
,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,0.00,0.00,0.00,0,0,0
,Personal Care in Licensed Specialized Residential Setting,,T1020,,Days,1.00,365.00,"5,805.00",5805,16,365
,Personal Care in Licensed Specialized Residential Setting,,T1020,TF,Days,0.00,0.00,0.00,0,0,0
,Personal Care in Licensed Specialized Residential Setting,,T1020,TG,Days,0.00,0.00,0.00,0,0,0
,Assessments,,T1023,,Encounter,20.00,23.00,"3,676.00",184,160,1
,Enhanced Medical Supplies or Pharmacy,,T1999,,Items,0.00,0.00,0.00,0,0,0
,Transportation,,T2001,,Encounter,0.00,0.00,0.00,0,0,0
,Substance Abuse Services: Transportation,,T2001,,Encounter,0.00,0.00,0.00,0,0,0
,Transportation,,T2002,,Per Diem,0.00,0.00,0.00,0,0,0
