CMHName,FirstofService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,UnitType,SumofMIC-Cases,FirstofMIC-Units,SumofMIC-Cost,CostPerCase,CostPerUnit,UnitPerCase
,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Outpatient Partial Hospitalization,0912,,,Encounter,4.00,23.00,"$9,861.00",2465,429,6
,,,,,,,,,,,
,Outpatient Partial Hospitalization,0913,,,# of visits,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Inpatient Hospital Ancillary Services - Other Diagnosis Services,0925,,,Days,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,Days,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Additional Codes-ECT Anesthesia,,00104,,# of tests,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Additional Codes-ECT Anesthesia,0901,00104,,# of visits,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Drug Screen for Methadone Clients Only,,80100,,Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Drug Screen for Methadone Clients Only,,80101,,Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Interactive Complexity - Add On Code,,90785,,Per Screen,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
Allegan,,,,,,,,,,,
,Assessment for Autism,,90785,U5,Per Screen,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,"90791
",,,63.00,67.00,"$27,701.00",440,413,1
,,,,,,,,,,,
,Assessment for Autism,,90791,U5,,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,90792,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,90792,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Mental Health: Outpatient Care,,90832,,Encounter,28.00,66.00,"$6,711.00",240,102,2
,,,,,,,,,,,
,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,90833,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,90833,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Mental Health: Outpatient Care,,90834,,Encounter,26.00,69.00,"$11,026.00",424,160,3
,,,,,,,,,,,
,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,90836,,Encounter 20-30 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,90836,U5,Encounter 20-30 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Mental Health: Outpatient Care,,90837,,Encounter 20-30 Min,61.00,261.00,"$52,497.00",861,201,4
,,,,,,,,,,,
,Substance abuse: Outpatient Care,,90837,,Encounter 20-30 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,90838,,Encounter 45-50 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,90838,U5,Encounter 45-50 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Psychotherapy for Crisis First 60 Minutes,,90839,,Encounter 45-50 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Encounter 45-50 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Therapy-Family Therapy,,90846,,Encounter 75-80 Min,30.00,93.00,"$21,927.00",731,236,3
,,,,,,,,,,,
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,,Encounter 75-80 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Therapy-Family Therapy,,90847,,Encounter 75-80 Min,64.00,239.00,"$52,345.00",818,219,4
,,,,,,,,,,,
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter 75-80 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Therapy-Family Therapy,,90849,,Encounter 20-30 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Therapy-Family Therapy,,90849,HS,Encounter 20-30 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,,Encounter 20-30 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Therapy-Group Therapy,,90853,,Encounter 20-30 Min,11.00,271.00,"$43,607.00",3964,161,25
,,,,,,,,,,,
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,,Encounter 45-50 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Pharmacological Management (SED Waiver),,90863,,Encounter 45-50 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Additional Codes-ECT Physician,,90870,,Encounter 45-50 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Additional Codes-ECT Physician,0901,90870,,Encounter 45-50 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessments-Other,,90887,,Encounter 75-80 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Speech & Language Therapy (Retired 1/1/14),,92506,,Encounter 75-80 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Speech & Language Therapy ,,92507,,Encounter 75-80 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Speech & Language Therapy ,,92508,,Encounter 75-80 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Speech & Language Therapy ,,92521,,Encounter 20-30 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Speech & Language Therapy ,,92522,,Encounter 20-30 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
Allegan,,,,,,,,,,,
,Speech & Language Therapy ,,92523,,Encounter 45-50 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Speech & Language Therapy ,,92524,,Encounter 45-50 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Speech & Language Therapy ,,92526,,Encounter 75-80 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Speech & Language Therapy ,,92610,,Encounter 75-80 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Psychological Testing PSYCH/PHYS ,,96101,,Encounter 45-50 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,96101,U5,Encounter 75-80 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Psychological Testing by Technician ,,96102,,Encounter 75-80 Min,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,96102,U5,30 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Psychological Testing by Comp ,,96103,,30 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessments-Other,,96105,,30 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessments-Other,,96110,,30 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessments-Other,,96111,,45 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Neurobehavioral Status Exam,,96116,,45 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Neuropsych test by Psych/Phys ,,96118,,45 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,96118,U5,45 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Neuropsych test by Tech ,,96119,,60 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,96119,U5,60 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Neuropsych test Admin w/Comp ,,96120,,60 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Medication Administration,,96372,,60 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Physical Therapy,,97001,,First 30-74 Min.,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Physical Therapy,,97002,,Each Additional 30 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational Therapy,,97003,,Encounter,1.00,1.00,$221.00,221,221,1
,,,,,,,,,,,
,Occupational Therapy,,97004,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97110,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97112,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97113,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97116,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97124,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97140,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97150,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97530,,Encounter,1.00,8.00,$252.00,252,32,8
,,,,,,,,,,,
,Occupational or Physical Therapy,,97532,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97533,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97535,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97537,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97542,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97750,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational Therapy,,97755,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Occupational or Physical Therapy,,97760,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
Allegan,,,,,,,,,,,
,Assessment or Health Services,,97802,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment or Health Services,,97803,,First Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Health Services,,97804,,Each Additional 15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Acupuncture,,97810,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Acupuncture,,97811,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,New Patient Evaluation and Management,,99201,,Per Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99201,U5,Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,New Patient Evaluation and Management,,99202,,Per Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99202,U5,Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,New Patient Evaluation and Management,,99203,,Per Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99203,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: New Patient Evaluation and Management,,99203,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,New Patient Evaluation and Management,,99204,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99204,U5,Per Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: New Patient Evaluation and Management,,99204,,Per Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,New Patient Evaluation and Management,,99205,,Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99205,U5,Per Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: New Patient Evaluation and Management,,99205,,Hour,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Established Patient Evaluation and Management,,99211,,Per Hour,1.00,1.00,$78.00,78,78,1
,,,,,,,,,,,
,Assessment for Autism,,99211,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Established Patient Evaluation and Management,,99212,,Encounter,2.00,2.00,$162.00,81,81,1
,,,,,,,,,,,
,Assessment for Autism,,99212,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Established Patient Evaluation and Management,,99213,,Encounter,66.00,101.00,"$9,255.00",140,92,2
,,,,,,,,,,,
,Assessment for Autism,,99213,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Established Patient Evaluation and Management,,99214,,15 Minutes,63.00,108.00,"$13,878.00",220,129,2
,,,,,,,,,,,
,Assessment for Autism,,99214,U5,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Established Patient Evaluation and Management,,99215,,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99215,U5,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Additional Codes-Physician Services,,99221,,15 Minutes,4.00,8.00,$735.00,184,92,2
,,,,,,,,,,,
,Additional Codes-Physician Services,,99222,,15 Minutes,3.00,3.00,$312.00,104,104,1
,,,,,,,,,,,
,Additional Codes-Physician Services,,99223,,Encounter,4.00,4.00,$360.00,90,90,1
,,,,,,,,,,,
,Additional Codes-Physician Services,,99224,,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Additional Codes-Physician Services,,99225,,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Additional Codes-Physician Services,,99226,,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Additional Codes-Physician Services,,99231,,15 Minutes,7.00,18.00,"$1,533.00",219,85,3
,,,,,,,,,,,
,Additional Codes-Physician Services,,99232,,15 Minutes,4.00,12.00,$995.00,249,83,3
,,,,,,,,,,,
,Additional Codes-Physician Services,,99233,,15 Minutes,4.00,6.00,$540.00,135,90,2
,,,,,,,,,,,
,Assessment,,99324,,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99324,U5,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99325,,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
Allegan,,,,,,,,,,,
,Assessment for Autism,,99325,U5,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99326,,15 minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99326,U5,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99327,,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99327,U5,30 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99328,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99328,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99334,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99334,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99335,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99335,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99336,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99336,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99337,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99337,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99341,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99341,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99342,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99342,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99343,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99343,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99344,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99344,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99345,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99345,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99347,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99347,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99348,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99348,U5,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99349,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99349,U5,30 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment,,99350,,50 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment for Autism,,99350,U5,70 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Medication Administration,,99506,,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Medication Management,,99605,,35 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Transportation,,A0080,,15 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Transportation,,A0090,,25 minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Transportation,,A0100,,35 Minutes,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Transportation,,A0100,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Transportation,,A0110,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Transportation,,A0110,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
Allegan,,,,,,,,,,,
,Transportation,,A0120,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Transportation,,A0130,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Transportation,,A0140,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Transportation,,A0170,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Additional Codes-Transportation,,A0425,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Additional Codes-Transportation,,A0427,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Enhanced Medical Equipment-Supplies,,E1399,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Family Training/Support EBP only,,G0177,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Recovery Support Services,,G0409,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Individual Assessment,,H0001,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment ,,H0002,,Encounter,8.00,16.00,"$2,253.00",282,141,2
,,,,,,,,,,,
,Substance Abuse: Laboratory,,H0003,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Case Management,,H0006,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Outpatient Care,0906,H0015,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Crisis Residential Services,,H0018,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Residential,1002,H0018,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Residential,1002,H0019,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Methadone,,H0020,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Early Intervention,,H0022,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Peer Directed and Operated Support Services,,H0023,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Prevention Services - Direct Model,,H0025,,Encounter,2.00,39.00,"$30,637.00",15318,786,20
,,,,,,,,,,,
,Crisis Intervention,,H0030,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Assessment ,,H0031,,Encounter,146.00,152.00,"$52,314.00",358,344,1
,,,,,,,,,,,
,Assessment for Autism,,H0031,U5,Encounter,1.00,1.00,$308.00,308,308,1
,,,,,,,,,,,
,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Treatment Planning,,H0032,,Encounter,127.00,224.00,"$81,098.00",639,362,2
,,,,,,,,,,,
,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,24.00,27.00,"$9,775.00",407,362,1
,,,,,,,,,,,
,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Health Services,,H0034,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Home Based Services,,H0036,,Encounter,102.00,"12,833.00","$903,417.00",8857,70,126
,,,,,,,,,,,
,Home Based Services,,H0036,ST,Encounter,1.00,10.00,$630.00,630,63,10
,,,,,,,,,,,
,Peer Directed and Operated Support Services,,H0038,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Substance Abuse: Recovery Support Services,,H0038,TF,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
,Peer Directed and Operated Support Services,,NA,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
Allegan,,,,,,,,,,,
,Assertive Community Treatment (ACT),,H0039,,Encounter,0.00,0.00,$0.00,0,0,0
,,,,,,,,,,,
