Text4,FirstofService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,UnitType,SumofDD-Cases,SumOfDD-Units,SumofDD-Cost,CostPerCase,CostPerUnit,UnitPerCase
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90807,,Encounter 45-50 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90808,,Encounter 75-80 Min,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90808,,Encounter 75-80 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90809,,Encounter 75-80 Min,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90809,,Encounter 75-80 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90810,,Encounter 20-30 Min,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90810,,Encounter 20-30 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90811,,Encounter 20-30 Min,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90811,,Encounter 20-30 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90812,,Encounter 45-50 Min,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90812,,Encounter 45-50 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90813,,Encounter 45-50 Min,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90813,,Encounter 45-50 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90814,,Encounter 75-80 Min,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90814,,Encounter 75-80 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90815,,Encounter 75-80 Min,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90815,,Encounter 75-80 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90816,,Encounter 20-30 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90817,,Encounter 20-30 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90818,,Encounter 45-50 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90819,,Encounter 45-50 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90821,,Encounter 75-80 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90822,,Encounter 75-80 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90823,,Encounter 20-30 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90824,,Encounter 20-30 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90826,,Encounter 45-50 Min,0,0,0,0,0,0
,Substance Abuse: Psychotherapy (Individual Therapy),,90826,,Encounter 45-50 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90827,,Encounter 45-50 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90828,,Encounter 75-80 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90829,,Encounter 75-80 Min,0,0,0,0,0,0
,Therapy-Family Therapy,,90846,,Encounter,0,0,0,0,0,0
Allegan,,,,,,,,,,,
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,,Encounter,0,0,0,0,0,0
,Therapy-Family Therapy,,90847,,Encounter,2,8,652,326,82,4
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter,0,0,0,0,0,0
,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0,0,0
,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,,Encounter,0,0,0,0,0,0
,Therapy-Group Therapy,,90853,,Encounter,7,93,"10,061.00",1437,108,13
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,,Encounter,0,0,0,0,0,0
,Therapy-Group Therapy,,90857,,Encounter,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90857,,Encounter,0,0,0,0,0,0
,Medication Review ,,90862,,Encounter,75,285,"29,554.00",394,104,4
,Substance Abuse: Medication Review,"0900, 0914, 0915, 0916, 0919",90862,,Encounter,0,0,0,0,0,0
,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,0,0,0
,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0,0,0,0
,Assessments-Other,,90887,,Encounter,0,0,0,0,0,0
,Speech & Language Therapy ,,92506,,Encounter,10,13,"2,409.00",241,185,1
,Speech & Language Therapy ,,92507,,Encounter,3,24,"5,490.00",1830,229,8
,Speech & Language Therapy ,,92508,,Encounter,0,0,0,0,0,0
,Speech & Language Therapy ,,92526,,Encounter,0,0,0,0,0,0
,Speech & Language Therapy ,,92610,,Encounter,0,0,0,0,0,0
,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92626,,First Hour,0,0,0,0,0,0
,Evaluation of Auditory Rehabiliation Status (Children's Waiver),,92627,,Each Additional 15 Minutes,0,0,0,0,0,0
,Auditory Rehabilitation Preling Hearing Loss (Children's Waiver),,92630,,Encounter,0,0,0,0,0,0
,Auditory Rehabilitation; Post-Lingual Hearing Loss (Children's Waiver),,92633,,Encounter,0,0,0,0,0,0
,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,4,6,"1,040.00",260,173,2
,Psychological Testing by Technician ,,96102,,Per Hour,0,0,0,0,0,0
,Psychological Testing by Comp ,,96103,,Per Hour,0,0,0,0,0,0
,Assessments-Other,,96105,,Encounter,0,0,0,0,0,0
,Assessments-Other,,96110,,Encounter,0,0,0,0,0,0
,Assessments-Other,,96111,,Encounter,0,0,0,0,0,0
,Neurobehavioral Status Exam (Children's Waiver),,96116,,Per Hour,0,0,0,0,0,0
,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0,0,0,0
,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0,0,0,0
,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0,0,0,0
,Medication Administration,,96372,,Encounter,3,62,"6,888.00",2296,111,21
,Physical Therapy,,97001,,Encounter,0,0,0,0,0,0
,Physical Therapy,,97002,,Encounter,0,0,0,0,0,0
,Occupational Therapy,,97003/ 97004,,Encounter,34,35,"4,505.00",133,129,1
,Occupational or Physical Therapy,,97110,,15 Minutes,18,126,"5,477.00",304,43,7
,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0,0,0
,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0,0,0
Allegan,,,,,,,,,,,
,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0,0,0
,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0,0,0
,Occupational or Physical Therapy,,97140,,15 Minutes,1,2,72,72,36,2
,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0,0,0
,Occupational or Physical Therapy,,97530,,15 Minutes,10,26,"1,068.00",107,41,3
,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0,0,0,0
,Occupational or Physical Therapy,,97533,,15 Minutes,8,57,"2,054.00",257,36,7
,Occupational or Physical Therapy,,97535,,15 Minutes,4,7,541,135,77,2
,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,0,0,0
,Occupational or Physical Therapy,,97542,,15 Minutes,1,1,36,36,36,1
,Occupational Therapy,,97703,,15 Minutes,0,0,0,0,0,0
,Occupational Therapy,,97750,,15 Minutes,0,0,0,0,0,0
,Occupational Therapy,,97755,,15 Minutes,0,0,0,0,0,0
,Occupational Therapy,,97760,,15 Minutes,1,2,72,72,36,2
,C/O for Orthotic/Prosth Use ,,97762,,15 minutes,4,9,324,81,36,2
,Assessment or Health Services,,97802,,15 Minutes,0,0,0,0,0,0
,Assessment or Health Services,,97803,,15 Minutes,0,0,0,0,0,0
,Health Services,,97804,,30 Minutes,0,0,0,0,0,0
,Substance Abuse: Accupuncture,,97810,,Encounter,0,0,0,0,0,0
,Substance Abuse: Accupuncture,,97811,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99201,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99202,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99203,,Encounter,0,0,0,0,0,0
,Substance Abuse: Physician Evaluation,,99203,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99204,,Encounter,0,0,0,0,0,0
,Substance Abuse: Physician Evaluation,,99204,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99205,,Encounter,0,0,0,0,0,0
,Substance Abuse: Physician Evaluation,,99205,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services  Medication Administration,,99211,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99212,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99213,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99214,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99215,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99221,,30 Minutes,0,0,0,0,0,0
,Additional Codes-Physician Services,,99222,,50 Minutes,0,0,0,0,0,0
,Additional Codes-Physician Services,,99223,,70 Minutes,0,0,0,0,0,0
,Additional Codes-Physician Services,,99231,,15 Minutes,0,0,0,0,0,0
,Additional Codes-Physician Services,,99232,,25 minutes,0,0,0,0,0,0
,Additional Codes-Physician Services,,99233,,35 Minutes,0,0,0,0,0,0
,Additional Codes-Physician Services,,99241,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99242,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99243,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99244,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99245,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99251,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99252,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99253,,Encounter,0,0,0,0,0,0
Allegan,,,,,,,,,,,
,Additional Codes-Physician Services,,99254,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99255,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99261,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99262,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99263,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99271,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99272,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99273,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99274,,Encounter,0,0,0,0,0,0
,Additional Codes-Physician Services,,99275,,Encounter,0,0,0,0,0,0
,Medication Administration,,99506,,Encounter,0,0,0,0,0,0
,Medicaition Administration (Children's Waiver),,99506,,Encounter,0,0,0,0,0,0
,Medication Management,,99605,,15 Minutes,0,0,0,0,0,0
,Transportation,,A0080,,Per mile,0,0,0,0,0,0
,Transportation,,A0090,,Per mile,0,0,0,0,0,0
,Transportation,,A0100,,Per one-way trip,0,0,0,0,0,0
,Substance Abuse: Transportation,,A0100,,Per one-way trip,0,0,0,0,0,0
,Transportation,,A0110,,Per one-way trip,0,0,0,0,0,0
,Substance Abuse: Transportation,,A0110,,Per one-way trip,0,0,0,0,0,0
,Transportation,,A0120,,Per one-way trip,0,0,0,0,0,0
,Transportation,,A0130,,Per one-way trip,0,0,0,0,0,0
,Transportation,,A0140,,Per one-way trip,0,0,0,0,0,0
,Transportation,,A0170,,,0,0,0,0,0,0
,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0,0,0,0
,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0,0,0,0
,Enhanced Medical Equipment-Supplies,,E1399,,Items,0,0,0,0,0,0
,Activity Therapy (Children's Waiver),,G0176,,Encounter,0,0,0,0,0,0
,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0,0,0,0
,Substance Abuse: Individual Assessment,,H0001,,Encounter,0,0,0,0,0,0
,Assessment ,,H0002,,Encounter,18,20,"1,762.00",98,88,1
,Substance Abuse: Individual Assessment,,H0002,,Encounter,0,0,0,0,0,0
,Substance Abuse:Laboratory,,H0003,,Encounter,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0,0,0,0
,Substance Abuse: Case Management,,H0006,,Encounter,0,0,0,0,0,0
,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Days,0,0,0,0,0,0
,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Days,0,0,0,0,0,0
,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Days,0,0,0,0,0,0
,Substance Abuse: Outpatient Care,906,H0015,,Days,0,0,0,0,0,0
,Crisis Residential Services,,H0018,,Days,0,0,0,0,0,0
,Substance Abuse: Residential,1002,H0018,,Days,0,0,0,0,0,0
,Substance Abuse: Residential,1002,H0019,,Days,0,0,0,0,0,0
,Substance Abuse: Methadone,,H0020,,Encounter,0,0,0,0,0,0
,Substance Abuse: Early Intervention,,H0022,,Encounter,0,0,0,0,0,0
Allegan,,,,,,,,,,,
,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0,0,0,0
,Prevention Services - Direct Model,,H0025,,Face to Face Contact,1,14,"5,032.00",5032,359,14
,Crisis Intervention,,H0030,,Per Service,0,0,0,0,0,0
,Assessment ,,H0031,,Encounter,39,41,"12,049.00",309,294,1
,Treatment Planning,,H0032,,Encounter,152,432,"40,273.00",265,93,3
,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,0,0,0,0,0,0
,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0,0,0
,Health Services,,H0034,,15 Minutes,0,0,0,0,0,0
,Home Based Services,,H0036,,15 Minutes,0,0,0,0,0,0
,Home Based Services,,H0036,ST,15 Minutes,0,0,0,0,0,0
,Peer Directed and Operated Support Services,,H0038,,15 minutes,7,790,"67,408.00",9630,85,113
,Substance Abuse: Recovery Support Services,,H0038,,15 Minutes,0,0,0,0,0,0
,Peer Directed and Operated Support Services,,NA,,,0,0,0,0,0,0
,Assertive Community Treatment (ACT),,H0039,,15 Minutes,0,0,0,0,0,0
,Community Living Supports in Independent living/own home,,H0043,,Per diem,44,"10,146.00","1,579,660.00",35901,156,231
,Respite,,H0045,,Days,12,175,"13,838.00",1153,79,15
,Respite (Children's Waiver),,H0045,TD,Per Diem,0,0,0,0,0,0
,Respite (Children's Waiver),,H0045,TE,Per Diem,0,0,0,0,0,0
,Substance Abuse:Laboratory (cells now unlocked),,H0048,,Encounter,0,0,0,0,0,0
,Substance Abuse: Individual Assessment,,H0049,,Encounter,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,,H0050,,15 Minutes,0,0,0,0,0,0
,Behavior Treatment Plan Review,,H2000,,Encounter,31,75,"14,098.00",455,188,2
,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,0,0,0,0,0,0
,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0,0,0,0
,Crisis Intervention,,H2011,,15 Minutes,1,2,85,85,43,2
,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,118,"68,088.00","677,663.00",5743,10,577
,Community Living Supports (15 Minutes),,H2015,,15 Minutes,317,"616,839.00","2,319,953.00",7318,4,1946
,Community Living Supports (Daily),,H2016,,Per Diem,13,"2,068.00","35,345.00",2719,17,159
,Community Living Supports (Daily),,H2016,TF,Per Diem,23,"5,517.00","215,388.00",9365,39,240
,Community Living Supports (Daily),,H2016,TG,Per Diem,48,"8,763.00","530,699.00",11056,61,183
,Behavior Services,,H2019,,15 Minutes,0,0,0,0,0,0
,Behavior Services,,H2019,TT,15 Minutes,0,0,0,0,0,0
,Crisis Intervention,,H2020,,Days,0,0,0,0,0,0
,Wraparound,,H2021,,15 Minutes,0,0,0,0,0,0
,Wraparound,,H2022,,Days,0,0,0,0,0,0
,Supported Employment Services,,H2023,,15 minutes,189,"25,265.00","745,927.00",3947,30,134
,Supported Employment Services,,H2023,TT,15 Minutes,0,0,0,0,0,0
,Mental Health Therapy,,H2027,,15 Minutes,0,0,0,0,0,0
,Substance Abuse Services: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,,15 Minutes,0,0,0,0,0,0
,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0,0,0,0,0,0
,Home Based Services,,H2033,,15 Minutes,0,0,0,0,0,0
,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,,Hour,0,0,0,0,0,0
,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,,Per Diem,0,0,0,0,0,0
Allegan,,,,,,,,,,,
,Medication Review ,,M0064,,"Encounter Face-to-Face, generally less than 10 minutes",71,279,"30,981.00",436,111,4
,Transportation,,S0209,,Per Mile,0,0,0,0,0,0
,Transportation,,S0215,,Per Mile,0,0,0,0,0,0
,Substance Abuse Services: Transportation,,S0215,,Per Mile,0,0,0,0,0,0
,Family Training - EBP,,S5110,,15 Minutes,0,0,0,0,0,0
,Family Training,,S5111,,Encounter,6,23,"15,377.00",2563,669,4
,Family Training,,S5111,HA,Encounter,0,0,0,0,0,0
,"Home Care Training, Non-Family (Children's Waiver)",,S5116,,Encounter,1,10,621,621,62,10
,Chore Services,,S5120,,15 Minutes,0,0,0,0,0,0
,Foster Care,,S5140,,Days,0,0,0,0,0,0
,Foster Care,,S5145,,Days,0,0,0,0,0,0
,Respite,,S5150,,15 Minutes,0,0,0,0,0,0
,Respite,,S5151,,Per Diem,0,0,0,0,0,0
,Respite (Children's Waiver),,S5151,TT,Per diem,1,8,"1,405.00",1405,176,8
,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0,0,0,0
,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0,0,0,0
,Environmental Modification ,,S5165,,Service,0,0,0,0,0,0
,Enhanced Medical Equipment-Supplies,,S5199,,Items,0,0,0,0,0,0
,Occupational or Physical Therapy,,S8990,,Encounter,3,3,180,60,60,1
,Private Duty Nursing,582,S9123,,Hour,0,0,0,0,0,0
,Private Duty Nursing,,S9123,,Hour,0,0,0,0,0,0
,Private Duty Nursing,,S9123,TT,Hour,0,0,0,0,0,0
,Private Duty Nursing,582,S9124,,Hour,0,0,0,0,0,0
,Private Duty Nursing,,S9124,,Hour,0,0,0,0,0,0
,Private Duty Nursing,,S9124,TT,Hour,0,0,0,0,0,0
,Respite Care in the Home (RN) (Children's Waiver),,S9125,TD,Per Diem,0,0,0,0,0,0
,Respite Care in the Home (LPN) (Children's Waiver),,S9125,TE,Per Diem,0,0,0,0,0,0
,Health Services,,S9445,,Encounter,0,0,0,0,0,0
,Health Services,,S9446,,Encounter,0,0,0,0,0,0
,Health Services,,S9470,,Encounter,0,0,0,0,0,0
,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0,0,0,0
,Reidential Room and Board,,S9976,,Days,0,0,0,0,0,0
,Substance Abuse Services: Residential Room and Board,,S9976,,Days,0,0,0,0,0,0
,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0,0,0,0
,Private Duty Nursing,,T1000,TD,Up to 15 min,1,"8,007.00","65,416.00",65416,8,8007
,Private Duty Nursing,,T1000,TE,Up to 15 min,1,"7,651.00","62,508.00",62508,8,7651
,Assessment,,T1001,,Encounter,65,70,"6,194.00",95,88,1
,Health Services,,T1002,,Up to 15 min,69,"1,763.00","31,296.00",454,18,26
,Respite Care,,T1005,,15 Minutes,62,"33,957.00","79,117.00",1276,2,548
,Respite Care,,T1005,TD,15 Minutes,0,0,0,0,0,0
,Respite Care,,T1005,TE,15 Minutes,0,0,0,0,0,0
,Respite Care (Children's Waiver),,T1005,TT,15 minutes,2,"1,567.00","6,321.00",3161,4,784
,Substance Abuse: Child Sitting Services,,T1009,,Encounter,0,0,0,0,0,0
,Substance Abuse: Recovery Support Services,"0900, 0906, 0914, 0915, 0916, 0919",T1012,,Encounter,0,0,0,0,0,0
Allegan,,,,,,,,,,,
,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0,0,0,0
,Supports Coordination,,T1016,,15 minutes,369,"11,055.00","1,119,959.00",3035,101,30
,Targeted Case Management ,,T1017,,15 minutes,1,20,"2,628.00",2628,131,20
,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,0,0,0,0,0,0
,Personal Care in Licensed Specialized Residential Setting,,T1020,,Days,15,"2,538.00","20,706.00",1380,8,169
,Personal Care in Licensed Specialized Residential Setting,,T1020,TF,Days,26,"4,525.00","107,566.00",4137,24,174
,Personal Care in Licensed Specialized Residential Setting,,T1020,TG,Days,32,"8,476.00","951,103.00",29722,112,265
,Assessments,,T1023,,Encounter,3,4,735,245,184,1
,Enhanced Medical Supplies or Pharmacy,,T1999,,Items,0,0,0,0,0,0
,Transportation,,T2001,,Encounter,0,0,0,0,0,0
,Substance Abuse Services: Transportation,,T2001,,Encounter,0,0,0,0,0,0
,Transportation,,T2002,,Per Diem,0,0,0,0,0,0
,Substance Abuse Services: Transportation,,T2002,,Per Diem,0,0,0,0,0,0
,Transportation,,T2003,,Encounter / Trip,0,0,0,0,0,0
,Substance Abuse Services: Transportation,,T2003,,Encounter / Trip,0,0,0,0,0,0
,Transportation,,T2004,,Encounter,0,0,0,0,0,0
,Substance Abuse Services: Transportation,,T2004,,Encounter,0,0,0,0,0,0
,Transportation,,T2005,,Encounter,0,0,0,0,0,0
,Substance Abuse Services: Transportation,,T2005,,Encounter,0,0,0,0,0,0
,Out of Home Prevocational Service,,T2015,,Hour,0,0,0,0,0,0
,Targeted Case Management (Children's Waiver),,T2023,,Month,2,24,"7,069.00",3535,295,12
,Fiscal Intermediary Services,,T2025,,Month,119,"1,195.00","150,706.00",1266,126,10
,Enhanced Medical Equipment-Supplies,,T2028,,Items,0,0,0,0,0,0
,Enhanced Medical Equipment-Supplies,,T2029,,Items,2,2,0,0,0,1
,Crisis Intervention,,T2034,,Days,0,0,0,0,0,0
,Respite Care,,T2036,,Encounter / Trip. Per session. One night = one session,0,0,0,0,0,0
,Respite Care,,T2037,,Encounter / Trip  Per session. One day/partial day = one session,0,0,0,0,0,0
,Housing Assistance,,T2038,,Month   Service,5,9,"7,235.00",1447,804,2
,Enhanced Medical Equipment-Supplies,,T2039,,Items,2,2,993,497,497,1
,Pharmacy (Drugs and Other Biologicals),,,,,0,0,0,0,0,0
