"FY","PIHP","PIHPname","CMHSP","Population","Phase","Name","Desc","People","Undup"
"2011","3","LRP","Allegan","MIA","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2011","3","LRP","Allegan","MIA","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2011","3","LRP","Allegan","MIC","Start","total_in","Total number of people who telephoned or walked in",219,FALSE
"2011","3","LRP","Allegan","MIC","Entry","out_nonMH","People seeking services not related to behavioral health needs",0,FALSE
"2011","3","LRP","Allegan","MIC","Entry","seeking_SUD","People seeking services referred to substance abuse services",0,FALSE
"2011","3","LRP","Allegan","MIC","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",219,FALSE
"2011","3","LRP","Allegan","MIC","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",30,FALSE
"2011","3","LRP","Allegan","MIC","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",189,FALSE
"2011","3","LRP","Allegan","MIC","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",39,FALSE
"2011","3","LRP","Allegan","MIC","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",1,FALSE
"2011","3","LRP","Allegan","MIC","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",13,FALSE
"2011","3","LRP","Allegan","MIC","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",3,FALSE
"2011","3","LRP","Allegan","MIC","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",0,FALSE
"2011","3","LRP","Allegan","MIC","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",3,FALSE
"2011","3","LRP","Allegan","MIC","Eligibility","eligible","People meeting CMHSP eligibilty criteria",133,FALSE
"2011","3","LRP","Allegan","MIC","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",5,FALSE
"2011","3","LRP","Allegan","MIC","Placement","immed_crit","Eligible persons who met immediate admission criteria",133,FALSE
"2011","3","LRP","Allegan","MIC","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
"2011","3","LRP","Allegan","MIC","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2011","3","LRP","Allegan","MIC","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2011","3","LRP","Allegan","Other","Start","total_in","Total number of people who telephoned or walked in",33,FALSE
"2011","3","LRP","Allegan","Other","Entry","out_nonMH","People seeking services not related to behavioral health needs",0,FALSE
"2011","3","LRP","Allegan","Other","Entry","seeking_SUD","People seeking services referred to substance abuse services",8,FALSE
"2011","3","LRP","Allegan","Other","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",25,FALSE
"2011","3","LRP","Allegan","Other","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",33,FALSE
"2011","3","LRP","Allegan","Other","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",0,FALSE
"2011","3","LRP","Allegan","Other","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",0,FALSE
"2011","3","LRP","Allegan","Other","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2011","3","LRP","Allegan","Other","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2011","3","LRP","Allegan","Other","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",0,FALSE
"2011","3","LRP","Allegan","Other","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",0,FALSE
"2011","3","LRP","Allegan","Other","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",0,FALSE
"2011","3","LRP","Allegan","Other","Eligibility","eligible","People meeting CMHSP eligibilty criteria",0,FALSE
"2011","3","LRP","Allegan","Other","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",0,FALSE
"2011","3","LRP","Allegan","Other","Placement","immed_crit","Eligible persons who met immediate admission criteria",0,FALSE
"2011","3","LRP","Allegan","Other","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
"2011","3","LRP","Allegan","Other","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2011","3","LRP","Allegan","Other","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2012","3","LRP","Allegan","DD","Start","total_in","Total number of people who telephoned or walked in",66,FALSE
"2012","3","LRP","Allegan","DD","Entry","out_nonMH","People seeking services not related to behavioral health needs",0,FALSE
"2012","3","LRP","Allegan","DD","Entry","seeking_SUD","People seeking services referred to substance abuse services",0,FALSE
"2012","3","LRP","Allegan","DD","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",66,FALSE
"2012","3","LRP","Allegan","DD","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",0,FALSE
"2012","3","LRP","Allegan","DD","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",66,FALSE
"2012","3","LRP","Allegan","DD","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",0,FALSE
"2012","3","LRP","Allegan","DD","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2012","3","LRP","Allegan","DD","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2012","3","LRP","Allegan","DD","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",13,FALSE
"2012","3","LRP","Allegan","DD","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",0,FALSE
"2012","3","LRP","Allegan","DD","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",0,FALSE
"2012","3","LRP","Allegan","DD","Eligibility","eligible","People meeting CMHSP eligibilty criteria",53,FALSE
"2012","3","LRP","Allegan","DD","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",0,FALSE
"2012","3","LRP","Allegan","DD","Placement","immed_crit","Eligible persons who met immediate admission criteria",53,FALSE
"2012","3","LRP","Allegan","DD","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
"2012","3","LRP","Allegan","DD","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2012","3","LRP","Allegan","DD","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2012","3","LRP","Allegan","MIA","Start","total_in","Total number of people who telephoned or walked in",492,FALSE
"2012","3","LRP","Allegan","MIA","Entry","out_nonMH","People seeking services not related to behavioral health needs",42,FALSE
"2012","3","LRP","Allegan","MIA","Entry","seeking_SUD","People seeking services referred to substance abuse services",0,FALSE
"2012","3","LRP","Allegan","MIA","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",492,FALSE
"2012","3","LRP","Allegan","MIA","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",39,FALSE
"2012","3","LRP","Allegan","MIA","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",411,FALSE
"2012","3","LRP","Allegan","MIA","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",46,FALSE
"2012","3","LRP","Allegan","MIA","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2012","3","LRP","Allegan","MIA","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2012","3","LRP","Allegan","MIA","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",47,FALSE
"2012","3","LRP","Allegan","MIA","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",30,FALSE
"2012","3","LRP","Allegan","MIA","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",17,FALSE
"2012","3","LRP","Allegan","MIA","Eligibility","eligible","People meeting CMHSP eligibilty criteria",318,FALSE
"2012","3","LRP","Allegan","MIA","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",0,FALSE
"2012","3","LRP","Allegan","MIA","Placement","immed_crit","Eligible persons who met immediate admission criteria",318,FALSE
"2012","3","LRP","Allegan","MIA","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
"2012","3","LRP","Allegan","MIA","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2012","3","LRP","Allegan","MIA","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2012","3","LRP","Allegan","MIC","Start","total_in","Total number of people who telephoned or walked in",235,FALSE
"2012","3","LRP","Allegan","MIC","Entry","out_nonMH","People seeking services not related to behavioral health needs",47,FALSE
"2012","3","LRP","Allegan","MIC","Entry","seeking_SUD","People seeking services referred to substance abuse services",0,FALSE
"2012","3","LRP","Allegan","MIC","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",235,FALSE
"2012","3","LRP","Allegan","MIC","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",10,FALSE
"2012","3","LRP","Allegan","MIC","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",178,FALSE
"2012","3","LRP","Allegan","MIC","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",15,FALSE
"2012","3","LRP","Allegan","MIC","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2012","3","LRP","Allegan","MIC","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2012","3","LRP","Allegan","MIC","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",6,FALSE
"2012","3","LRP","Allegan","MIC","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",4,FALSE
"2012","3","LRP","Allegan","MIC","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",2,FALSE
"2012","3","LRP","Allegan","MIC","Eligibility","eligible","People meeting CMHSP eligibilty criteria",152,FALSE
"2012","3","LRP","Allegan","MIC","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",0,FALSE
"2012","3","LRP","Allegan","MIC","Placement","immed_crit","Eligible persons who met immediate admission criteria",152,FALSE
"2012","3","LRP","Allegan","MIC","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
"2012","3","LRP","Allegan","MIC","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2012","3","LRP","Allegan","MIC","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2012","3","LRP","Allegan","Other","Start","total_in","Total number of people who telephoned or walked in",53,FALSE
"2012","3","LRP","Allegan","Other","Entry","out_nonMH","People seeking services not related to behavioral health needs",53,FALSE
"2012","3","LRP","Allegan","Other","Entry","seeking_SUD","People seeking services referred to substance abuse services",3,FALSE
"2012","3","LRP","Allegan","Other","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",0,FALSE
"2012","3","LRP","Allegan","Other","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",0,FALSE
"2012","3","LRP","Allegan","Other","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",0,FALSE
"2012","3","LRP","Allegan","Other","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",0,FALSE
"2012","3","LRP","Allegan","Other","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2012","3","LRP","Allegan","Other","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2012","3","LRP","Allegan","Other","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",0,FALSE
"2012","3","LRP","Allegan","Other","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",0,FALSE
"2012","3","LRP","Allegan","Other","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",0,FALSE
"2012","3","LRP","Allegan","Other","Eligibility","eligible","People meeting CMHSP eligibilty criteria",0,FALSE
"2012","3","LRP","Allegan","Other","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",0,FALSE
"2012","3","LRP","Allegan","Other","Placement","immed_crit","Eligible persons who met immediate admission criteria",0,FALSE
"2012","3","LRP","Allegan","Other","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
"2012","3","LRP","Allegan","Other","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2012","3","LRP","Allegan","Other","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2013","3","LRP","Allegan","DD","Start","total_in","Total number of people who telephoned or walked in",86,FALSE
"2013","3","LRP","Allegan","DD","Entry","out_nonMH","People seeking services not related to behavioral health needs",0,FALSE
"2013","3","LRP","Allegan","DD","Entry","seeking_SUD","People seeking services referred to substance abuse services",0,FALSE
"2013","3","LRP","Allegan","DD","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",86,FALSE
"2013","3","LRP","Allegan","DD","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",14,FALSE
"2013","3","LRP","Allegan","DD","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",72,FALSE
"2013","3","LRP","Allegan","DD","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",3,FALSE
"2013","3","LRP","Allegan","DD","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2013","3","LRP","Allegan","DD","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2013","3","LRP","Allegan","DD","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",0,FALSE
"2013","3","LRP","Allegan","DD","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",0,FALSE
"2013","3","LRP","Allegan","DD","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",0,FALSE
"2013","3","LRP","Allegan","DD","Eligibility","eligible","People meeting CMHSP eligibilty criteria",69,FALSE
"2013","3","LRP","Allegan","DD","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",0,FALSE
"2013","3","LRP","Allegan","DD","Placement","immed_crit","Eligible persons who met immediate admission criteria",69,FALSE
"2013","3","LRP","Allegan","DD","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
"2013","3","LRP","Allegan","DD","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2013","3","LRP","Allegan","DD","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2013","3","LRP","Allegan","MIA","Start","total_in","Total number of people who telephoned or walked in",728,FALSE
"2013","3","LRP","Allegan","MIA","Entry","out_nonMH","People seeking services not related to behavioral health needs",0,FALSE
"2013","3","LRP","Allegan","MIA","Entry","seeking_SUD","People seeking services referred to substance abuse services",0,FALSE
"2013","3","LRP","Allegan","MIA","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",728,FALSE
"2013","3","LRP","Allegan","MIA","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",215,FALSE
"2013","3","LRP","Allegan","MIA","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",513,FALSE
"2013","3","LRP","Allegan","MIA","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",202,FALSE
"2013","3","LRP","Allegan","MIA","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2013","3","LRP","Allegan","MIA","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2013","3","LRP","Allegan","MIA","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",14,FALSE
"2013","3","LRP","Allegan","MIA","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",12,FALSE
"2013","3","LRP","Allegan","MIA","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",2,FALSE
"2013","3","LRP","Allegan","MIA","Eligibility","eligible","People meeting CMHSP eligibilty criteria",297,FALSE
"2013","3","LRP","Allegan","MIA","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",42,FALSE
"2013","3","LRP","Allegan","MIA","Placement","immed_crit","Eligible persons who met immediate admission criteria",297,FALSE
"2013","3","LRP","Allegan","MIA","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
"2013","3","LRP","Allegan","MIA","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2013","3","LRP","Allegan","MIA","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2013","3","LRP","Allegan","MIC","Start","total_in","Total number of people who telephoned or walked in",247,FALSE
"2013","3","LRP","Allegan","MIC","Entry","out_nonMH","People seeking services not related to behavioral health needs",0,FALSE
"2013","3","LRP","Allegan","MIC","Entry","seeking_SUD","People seeking services referred to substance abuse services",0,FALSE
"2013","3","LRP","Allegan","MIC","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",247,FALSE
"2013","3","LRP","Allegan","MIC","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",38,FALSE
"2013","3","LRP","Allegan","MIC","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",209,FALSE
"2013","3","LRP","Allegan","MIC","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",82,FALSE
"2013","3","LRP","Allegan","MIC","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2013","3","LRP","Allegan","MIC","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2013","3","LRP","Allegan","MIC","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",4,FALSE
"2013","3","LRP","Allegan","MIC","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",4,FALSE
"2013","3","LRP","Allegan","MIC","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",0,FALSE
"2013","3","LRP","Allegan","MIC","Eligibility","eligible","People meeting CMHSP eligibilty criteria",123,FALSE
"2013","3","LRP","Allegan","MIC","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",15,FALSE
"2013","3","LRP","Allegan","MIC","Placement","immed_crit","Eligible persons who met immediate admission criteria",123,FALSE
"2013","3","LRP","Allegan","MIC","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
"2013","3","LRP","Allegan","MIC","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2013","3","LRP","Allegan","MIC","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2013","3","LRP","Allegan","Other","Start","total_in","Total number of people who telephoned or walked in",42,FALSE
"2013","3","LRP","Allegan","Other","Entry","out_nonMH","People seeking services not related to behavioral health needs",28,FALSE
"2013","3","LRP","Allegan","Other","Entry","seeking_SUD","People seeking services referred to substance abuse services",14,FALSE
"2013","3","LRP","Allegan","Other","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",0,FALSE
"2013","3","LRP","Allegan","Other","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",0,FALSE
"2013","3","LRP","Allegan","Other","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",0,FALSE
"2013","3","LRP","Allegan","Other","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",0,FALSE
"2013","3","LRP","Allegan","Other","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2013","3","LRP","Allegan","Other","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2013","3","LRP","Allegan","Other","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",0,FALSE
"2013","3","LRP","Allegan","Other","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",0,FALSE
"2013","3","LRP","Allegan","Other","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",0,FALSE
"2013","3","LRP","Allegan","Other","Eligibility","eligible","People meeting CMHSP eligibilty criteria",0,FALSE
"2013","3","LRP","Allegan","Other","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",0,FALSE
"2013","3","LRP","Allegan","Other","Placement","immed_crit","Eligible persons who met immediate admission criteria",0,FALSE
"2013","3","LRP","Allegan","Other","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
"2013","3","LRP","Allegan","Other","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2013","3","LRP","Allegan","Other","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2014","3","LRP","Allegan","DD","Start","total_in","Total number of people who telephoned or walked in",0,FALSE
"2014","3","LRP","Allegan","DD","Entry","out_nonMH","People seeking services not related to behavioral health needs",0,FALSE
"2014","3","LRP","Allegan","DD","Entry","seeking_SUD","People seeking services referred to substance abuse services",0,FALSE
"2014","3","LRP","Allegan","DD","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",0,FALSE
"2014","3","LRP","Allegan","DD","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",0,FALSE
"2014","3","LRP","Allegan","DD","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",0,FALSE
"2014","3","LRP","Allegan","DD","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",0,FALSE
"2014","3","LRP","Allegan","DD","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2014","3","LRP","Allegan","DD","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2014","3","LRP","Allegan","DD","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",0,FALSE
"2014","3","LRP","Allegan","DD","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",0,FALSE
"2014","3","LRP","Allegan","DD","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",53,FALSE
"2014","3","LRP","Allegan","DD","Eligibility","eligible","People meeting CMHSP eligibilty criteria",49,FALSE
"2014","3","LRP","Allegan","DD","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",0,FALSE
"2014","3","LRP","Allegan","DD","Placement","immed_crit","Eligible persons who met immediate admission criteria",49,FALSE
"2014","3","LRP","Allegan","DD","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
