CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost,SumOfOther Cost,FirstOfDD Totals,FirstOfDD Unique Consumers
Allegan,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,0,14580057.8,556
Allegan,Outpatient Partial Hospitalization,912,,,Day,1,9,3775,29900.58,14580057.8,556
Allegan,Outpatient Partial Hospitalization,913,,,Day,0,0,0,0,14580057.8,556
Allegan,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0,0,14580057.8,556
Allegan,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0,14580057.8,556
Allegan,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0,0,14580057.8,556
Allegan,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0,0,14580057.8,556
Allegan,ABA Behavior Identification Assessment,,0359T,U5,Encounter,58,94,51766.84,58747.57,14580057.8,556
Allegan,ABA Behavioral Follow-up Assessment,,0362T,U5,First 30 Minutes,4,7,629.6,780.29,14580057.8,556
Allegan,ABA Behavioral Follow-up Assessment,,0363T,U5,Each Additional 30 Minutes,4,10,944.4,1470.75,14580057.8,556
Allegan,ABA Adaptive Treatment,,0364T,U5,First 30 Minutes,61,7443,265388.39,290788.69,14580057.8,556
Allegan,ABA Adaptive Treatment,,0365T,U5,Each Additional 30 Minutes,61,35131,1239461.89,1381340.74,14580057.8,556
Allegan,ABA Group Adaptive Behavior Treatment,,0366T,U5,First 30 Minutes,0,0,0,0,14580057.8,556
Allegan,ABA Group Adaptive Behavior Treatment,,0367T,U5,Each Additional 30 Minutes,0,0,0,0,14580057.8,556
Allegan,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0368T,U5,First 30 Minutes,57,1798,123439.33,137162.36,14580057.8,556
Allegan,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0369T,U5,Each Additional 30 Minutes,57,3274,225820.36,251988.98,14580057.8,556
Allegan,ABA Family Behavior Treatment Guidance,,0370T,U5,Encounter,38,261,36193.27,48128.45,14580057.8,556
Allegan,ABA Family Behavior Treatment Guidance,,0371T,U5,Encounter,0,0,0,0,14580057.8,556
Allegan,ABA Adaptive Behavior Treatment Social Skills Group,,0372T,U5,Encounter,0,0,0,0,14580057.8,556
Allegan,ABA Exposure Adaptive Behavior Treatment,,0373T,U5,First 60 Minutes,1,74,10725.71,12400.45,14580057.8,556
Allegan,ABA Exposure Adaptive Behavior Treatment,,0374T,U5,Each Additional 30 Minutes,1,424,30770.92,32445.83,14580057.8,556
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80300,,per date of service,0,0,0,0,14580057.8,556
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80301,,per date of service,0,0,0,0,14580057.8,556
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80302,,each procedure,0,0,0,0,14580057.8,556
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80303,,per date of service ,0,0,0,0,14580057.8,556
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80304,,each procedure,0,0,0,0,14580057.8,556
Allegan,Drug Screen,,80305,,Encounter,0,0,0,0,14580057.8,556
Allegan,Drug Screen,,80306,,Encounter,0,0,0,0,14580057.8,556
Allegan,Drug Screen,,80307,,Encounter,0,0,0,0,14580057.8,556
Allegan,Interactive Complexity - Add On Code,,90785,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment for Autism,,90785,U5,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Abuse - Interactive Complexity - Add On Code,,90785,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,"90791
",,Encounter,66,66,20786.26,111422.38,14580057.8,556
Allegan,Substance Use: Assessment,,90791,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment for Autism,,90791,U5,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,90792,,Encounter,25,25,16770.52,145173.21,14580057.8,556
Allegan,Substance Use: Assessment,,90792,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment for Autism,,90792,U5,Encounter,3,3,2710.44,2710.44,14580057.8,556
Allegan,Mental Health: Outpatient Care,,90832,,30 Minutes,42,237,22177.12,69553.28,14580057.8,556
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0,0,14580057.8,556
Allegan,Assessment,,90833,,30 Minutes,0,0,0,0,14580057.8,556
Allegan,Mental Health: Outpatient Care,,90834,,45 Minutes,47,220,32511.8,295473.27,14580057.8,556
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0,14580057.8,556
Allegan,Assessment,,90836,,45 Minutes,0,0,0,0,14580057.8,556
Allegan,Mental Health: Outpatient Care,,90837,,60 Minutes,32,146,32883.73,405392.31,14580057.8,556
Allegan,Substance Use Disorder: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0,14580057.8,556
Allegan,Assessment,,90838,,60 Minutes,0,0,0,0,14580057.8,556
Allegan,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,2,2,268.06,3456.7,14580057.8,556
Allegan,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,0,14580057.8,556
Allegan,Therapy-Family Therapy,,90846,,Encounter,0,0,0,15990.73,14580057.8,556
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Therapy-Family Therapy,,90847,,Encounter,5,5,1957.02,78245.64,14580057.8,556
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0,14580057.8,556
Allegan,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Therapy-Group Therapy,,90853,,Encounter,4,46,5200.61,110644.98,14580057.8,556
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,0,14580057.8,556
Allegan,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0,4899.36,14580057.8,556
Allegan,Assessments-Other,,90887,,Encounter,0,0,0,0,14580057.8,556
Allegan,Speech & Language Therapy ,,92507,,Encounter,9,72,10188.85,12780.11,14580057.8,556
Allegan,Speech & Language Therapy ,,92508,,Encounter,0,0,0,0,14580057.8,556
Allegan,Speech & Language Therapy ,,92521,,Encounter,0,0,0,0,14580057.8,556
Allegan,Speech & Language Therapy ,,92522,,Encounter,0,0,0,0,14580057.8,556
Allegan,Speech & Language Therapy ,,92523,,Encounter,4,4,577.69,731.88,14580057.8,556
Allegan,Speech & Language Therapy ,,92524,,Encounter,0,0,0,0,14580057.8,556
Allegan,Speech & Language Therapy ,,92526,,Encounter,0,0,0,0,14580057.8,556
Allegan,Speech & Language Therapy ,,92607,,First Hour,0,0,0,0,14580057.8,556
Allegan,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0,0,14580057.8,556
Allegan,Speech & Language Therapy ,,92609,,Encounter,0,0,0,0,14580057.8,556
Allegan,Speech & Language Therapy ,,92610,,Encounter,0,0,0,0,14580057.8,556
Allegan,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92626,,First Hour,0,0,0,0,14580057.8,556
Allegan,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92627,,Each Additional 15 Minutes,0,0,0,0,14580057.8,556
Allegan,Auditory Rehabilitation Preling Hearing Loss (Children's Waiver),,92630,,Encounter,0,0,0,0,14580057.8,556
Allegan,Auditory Rehabilitation; Post-Lingual Hearing Loss (Children's Waiver),,92633,,Encounter,0,0,0,0,14580057.8,556
Allegan,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,9,10,1425.24,4514.76,14580057.8,556
Allegan,Assessment for Autism,,96101,U5,Hour,5,5,415.54,835.28,14580057.8,556
Allegan,Psychological Testing by Technician ,,96102,,Per Hour,0,0,0,0,14580057.8,556
Allegan,Assessment for Autism,,96102,U5,Hour,0,0,0,0,14580057.8,556
Allegan,Psychological Testing by Comp ,,96103,,Per Hour,1,1,27.74,172.55,14580057.8,556
Allegan,Assessments-Other,,96105,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessments-Other,,96110,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessments-Other,,96111,,Encounter,0,0,0,0,14580057.8,556
Allegan,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0,0,14580057.8,556
Allegan,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0,0,14580057.8,556
Allegan,Assessment for Autism,,96118,U5,Hour,0,0,0,0,14580057.8,556
Allegan,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0,0,14580057.8,556
Allegan,Assessment for Autism,,96119,U5,Hour,0,0,0,0,14580057.8,556
Allegan,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0,0,14580057.8,556
Allegan,Assessments-Other,,96127,,,0,0,0,0,14580057.8,556
Allegan,Medication Administration,,96372,,Encounter,11,138,5998.31,28495.7,14580057.8,556
Allegan,Physical Therapy - Note: retired 1/1/17,,97001,,Encounter,0,0,0,0,14580057.8,556
Allegan,Physical Therapy - Note: retired 1/1/17,,97002,,Encounter,0,0,0,0,14580057.8,556
Allegan,Occupational Therapy - Note: retired 1/1/17,,97003,,Encounter,7,7,1685.7,1685.7,14580057.8,556
Allegan,Occupational Therapy - Note: retired 1/1/17,,97004,,Encounter,8,8,551.95,551.95,14580057.8,556
Allegan,Occupational or Physical Therapy,,97110,,15 Minutes,8,40,2560.6,2560.6,14580057.8,556
Allegan,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Occupational or Physical Therapy,,97140,,15 Minutes,5,14,344.18,344.18,14580057.8,556
Allegan,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0,14580057.8,556
Allegan,Physical Therapy,,97161,,Encounter,0,0,0,0,14580057.8,556
Allegan,Physical Therapy,,97162,,Encounter,0,0,0,0,14580057.8,556
Allegan,Physical Therapy,,97163,,Encounter,0,0,0,0,14580057.8,556
Allegan,Physical Therapy,,97164,,Encounter,0,0,0,0,14580057.8,556
Allegan,Occupational Therapy,,97165,,Encounter,4,4,2266.13,2337.49,14580057.8,556
Allegan,Occupational Therapy,,97166,,Encounter,1,1,83.42,238.2,14580057.8,556
Allegan,Occupational Therapy,,97167,,Encounter,3,3,333.69,556.15,14580057.8,556
Allegan,Occupational Therapy,,97168,,Encounter,46,59,4033.66,4170.07,14580057.8,556
Allegan,Occupational or Physical Therapy,,97530,,15 Minutes,45,2767,53723.96,65330.48,14580057.8,556
Allegan,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Occupational or Physical Therapy,,97533,,15 Minutes,17,142,3938.17,4249.82,14580057.8,556
Allegan,Occupational or Physical Therapy,,97535,,15 Minutes,6,14,661.08,824.18,14580057.8,556
Allegan,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Occupational Therapy,,97755,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Prosthetic Training (Children's Waiver),,97761,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,2,5,183.63,183.63,14580057.8,556
Allegan,Assessment or Health Services,,97802,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Assessment or Health Services,,97803,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Health Services,,97804,,30 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Acupuncture,,97810,,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Acupuncture,,97811,,Encounter,0,0,0,0,14580057.8,556
Allegan,New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,New Patient Evaluation and Management,,99205,,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Established Patient Evaluation and Management,,99211,,Encounter,0,0,0,494.24,14580057.8,556
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Established Patient Evaluation and Management,,99212,,Encounter,8,8,933.1,1983.36,14580057.8,556
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Established Patient Evaluation and Management,,99213,,Encounter,196,754,100748.09,373928.98,14580057.8,556
Allegan,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Established Patient Evaluation and Management,,99214,,Encounter,11,12,3381.3,21870.49,14580057.8,556
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Established Patient Evaluation and Management,,99215,,Encounter,19,19,6178.43,30085.72,14580057.8,556
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Additional Codes-Physician Services,,99221,,30 Minutes,2,2,201.47,1245.97,14580057.8,556
Allegan,Additional Codes-Physician Services,,99222,,50 Minutes,3,3,302.21,1438.62,14580057.8,556
Allegan,Additional Codes-Physician Services,,99223,,70 Minutes,1,1,100.74,2842.35,14580057.8,556
Allegan,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0,14580057.8,556
Allegan,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0,14580057.8,556
Allegan,Additional Codes-Physician Services,,99231,,15 Minutes,3,7,470.1,5216.41,14580057.8,556
Allegan,Additional Codes-Physician Services,,99232,,25 minutes,4,11,1108.1,8309.94,14580057.8,556
Allegan,Additional Codes-Physician Services,,99233,,35 Minutes,3,10,1007.37,7826.43,14580057.8,556
Allegan,Substance Use Disorder: Physician Consultations,,99241,HF,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Physician Consultations,,99242,HF,30 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Physician Consultations,,99243,HF,40 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Physician Consultations,,99244,HF,60 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Physician Consultations,,99245,HF,80 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Physician Consultations,,99251,HF,20 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Physician Consultations,,99252,HF,40 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Physician Consultations,,99253,HF,55 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Physician Consultations,,99254,HF,80 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Physician Consultations,,99255,HF,110 Minutes,0,0,0,0,14580057.8,556
Allegan,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0,0,14580057.8,556
Allegan,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0,0,14580057.8,556
Allegan,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0,0,14580057.8,556
Allegan,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0,0,14580057.8,556
Allegan,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0,0,14580057.8,556
Allegan,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0,0,14580057.8,556
Allegan,Assessment,,99324,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99325,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99326,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99327,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99328,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99334,,Encounter,2,2,84.03,177.9,14580057.8,556
Allegan,Assessment,,99335,,Encounter,2,2,81.72,81.72,14580057.8,556
Allegan,Assessment,,99336,,Encounter,0,0,0,114.15,14580057.8,556
Allegan,Assessment,,99337,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99341,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99342,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99343,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99344,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99345,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99347,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99348,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99349,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment,,99350,,Encounter,0,0,0,0,14580057.8,556
Allegan,Medication Administration,,99506,,Encounter,0,0,0,0,14580057.8,556
Allegan,Medication Management,,99605,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Transportation,,A0080,,Per mile,0,0,0,0,14580057.8,556
Allegan,Transportation,,A0090,,Per mile,0,0,0,0,14580057.8,556
Allegan,Transportation,,A0100,,Per one-way trip,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Transportation,,A0100,HF,Per one-way trip,0,0,0,0,14580057.8,556
Allegan,Transportation,,A0110,,Per one-way trip,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Transportation,,A0110,HF,Per one-way trip,0,0,0,0,14580057.8,556
Allegan,Transportation,,A0120,,Per one-way trip,0,0,0,0,14580057.8,556
Allegan,Transportation,,A0130,,Per one-way trip,0,0,0,0,14580057.8,556
Allegan,Transportation,,A0140,,Per one-way trip,0,0,0,0,14580057.8,556
Allegan,Transportation,,A0170,,,0,0,0,0,14580057.8,556
Allegan,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0,438.1,14580057.8,556
Allegan,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0,3430.81,14580057.8,556
Allegan,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0,0,14580057.8,556
Allegan,Activity Therapy (Children's Waiver),,G0176,,Encounter,0,0,0,0,14580057.8,556
Allegan,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Recovery Support Services,,G0409,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Individual Assessment,,H0001,,Encounter,0,0,0,0,14580057.8,556
Allegan,Assessment ,,H0002,,Encounter,9,9,1519.44,1656.9,14580057.8,556
Allegan,Substance Use Disorder: Laboratory,,H0003,,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Case Management,,H0006,,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Outpatient Care,906,H0015,,Day,0,0,0,0,14580057.8,556
Allegan,Crisis Residential Services,,H0018,,Day,2,10,4176.37,188582.56,14580057.8,556
Allegan,Substance Use Disorder: Residential,1002,H0018,HF,Day,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Residential,1002,H0019,HF,Day,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Methadone,,H0020,,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Early Intervention,,H0022,,Encounter,0,0,0,0,14580057.8,556
Allegan,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0,0,14580057.8,556
Allegan,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0,0,14580057.8,556
Allegan,Assessment ,,H0031,,Encounter,41,43,10325.49,82416.44,14580057.8,556
Allegan,Assessment for Autism,,H0031,U5,Encounter,79,119,60368.46,80825.32,14580057.8,556
Allegan,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,146,146,47186.67,48802.65,14580057.8,556
Allegan,Treatment Planning,,H0032,,Encounter,99,116,28561.06,95720.64,14580057.8,556
Allegan,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,30,34,8170.15,65813.48,14580057.8,556
Allegan,Substance Use Disorder: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0,14580057.8,556
Allegan,Health Services,,H0034,,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Home Based Services,,H0036,,15 Minutes,10,862,57060.1,603132.68,14580057.8,556
Allegan,Home Based Services,,H0036,ST,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Peer Directed and Operated Support Services,,H0038,,15 minutes,1,17,1694.68,33262.62,14580057.8,556
Allegan,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Substance Use Disorder: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0,0,14580057.8,556
Allegan,Peer Directed and Operated Support Services,,NA,,,0,0,0,0,14580057.8,556
Allegan,Assertive Community Treatment (ACT),,H0039,,15 Minutes,2,86,6708.42,853035.8,14580057.8,556
