CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost,SumOfOther Cost,FirstOfDD Unique Consumers
Allegan,Drug Screen for Methadone Clients Only,,80300,,per date of service,0,0,0,0,481
Allegan,Drug Screen for Methadone Clients Only,,80301,,per date of service,0,0,0,0,481
Allegan,Drug Screen for Methadone Clients Only,,80302,,each procedure,0,0,0,0,481
Allegan,Drug Screen for Methadone Clients Only,,80303,,per date of service ,0,0,0,0,481
Allegan,Drug Screen for Methadone Clients Only,,80304,,each procedure,0,0,0,0,481
Allegan,Interactive Complexity - Add On Code,,90785,,,0,0,0,0,481
Allegan,Assessment for Autism,,90785,U5,,0,0,0,0,481
Allegan,Interactive Complexity - Add On Code - SUD,,90785,HF,,0,0,0,0,481
Allegan,Assessment,,"90791
",,Encounter,8,8,6733,416622,481
Allegan,Assessment for Autism,,90791,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,90792,,Encounter,18,18,15150,182640,481
Allegan,Assessment for Autism,,90792,U5,Encounter,0,0,0,0,481
Allegan,Mental Health: Outpatient Care,,90832,,30 Minutes,43,249,27888,85120,481
Allegan,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0,0,481
Allegan,Assessment,,90833,,30 Minutes,0,0,0,0,481
Allegan,Assessment for Autism,,90833,U5,30 Minutes,0,0,0,0,481
Allegan,Mental Health: Outpatient Care,,90834,,45 Minutes,41,220,37205,325206,481
Allegan,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0,481
Allegan,Assessment,,90836,,45 Minutes,0,0,0,0,481
Allegan,Assessment for Autism,,90836,U5,45 Minutes,0,0,0,0,481
Allegan,Mental Health: Outpatient Care,,90837,,60 Minutes,30,130,30626,425941,481
Allegan,Substance abuse: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0,481
Allegan,Assessment,,90838,,60 Minutes,0,0,0,0,481
Allegan,Assessment for Autism,,90838,U5,60 Minutes,0,0,0,0,481
Allegan,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,1,1,173,5017,481
Allegan,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,0,481
Allegan,Therapy-Family Therapy,,90846,,Encounter,2,2,734,17616,481
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0,481
Allegan,Therapy-Family Therapy,,90847,,Encounter,7,34,12682,77211,481
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter,0,0,0,0,481
Allegan,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0,481
Allegan,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0,481
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0,481
Allegan,Therapy-Group Therapy,,90853,,Encounter,6,126,38934,159753,481
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0,481
Allegan,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,2777,481
Allegan,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0,0,481
Allegan,Assessments-Other,,90887,,Encounter,0,0,0,0,481
Allegan,Speech & Language Therapy ,,92507,,Encounter,10,55,2750,3600,481
Allegan,Speech & Language Therapy ,,92508,,Encounter,0,0,0,0,481
Allegan,Speech & Language Therapy ,,92521,,Encounter,0,0,0,0,481
Allegan,Speech & Language Therapy ,,92522,,Encounter,0,0,0,0,481
Allegan,Speech & Language Therapy ,,92523,,Encounter,4,4,548.56,1106.93,481
Allegan,Speech & Language Therapy ,,92524,,Encounter,0,0,0,0,481
Allegan,Speech & Language Therapy ,,92526,,Encounter,0,0,0,0,481
Allegan,Speech & Language Therapy ,,92607,,First Hour,0,0,0,0,481
Allegan,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0,0,481
Allegan,Speech & Language Therapy ,,92609,,Encounter,0,0,0,0,481
Allegan,Speech & Language Therapy ,,92610,,Encounter,0,0,0,0,481
Allegan,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92626,,First Hour,0,0,0,0,481
Allegan,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92627,,Each Additional 15 Minutes,0,0,0,0,481
Allegan,Auditory Rehabilitation Preling Hearing Loss (Children's Waiver),,92630,,Encounter,0,0,0,0,481
Allegan,Auditory Rehabilitation; Post-Lingual Hearing Loss (Children's Waiver),,92633,,Encounter,0,0,0,0,481
Allegan,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,11,13,2093,4025,481
Allegan,Assessment for Autism,,96101,U5,Hour,1,2,320,3520,481
Allegan,Psychological Testing by Technician ,,96102,,Per Hour,0,0,0,0,481
Allegan,Assessment for Autism,,96102,U5,Hour,0,0,0,0,481
Allegan,Psychological Testing by Comp ,,96103,,Per Hour,0,0,0,0,481
Allegan,Assessments-Other,,96105,,Encounter,0,0,0,0,481
Allegan,Assessments-Other,,96110,,Encounter,0,0,0,0,481
Allegan,Assessments-Other,,96111,,Encounter,0,0,0,0,481
Allegan,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0,0,481
Allegan,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0,0,481
Allegan,Assessment for Autism,,96118,U5,Hour,0,0,0,0,481
Allegan,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0,0,481
Allegan,Assessment for Autism,,96119,U5,Hour,0,0,0,0,481
Allegan,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0,0,481
Allegan,Assessments-Other,,96127,,,0,0,0,0,481
Allegan,Medication Administration,,96372,,Encounter,7,88,5016,40128,481
Allegan,Physical Therapy,,97001,,Encounter,0,0,0,0,481
Allegan,Physical Therapy,,97002,,Encounter,0,0,0,0,481
Allegan,Occupational Therapy,,97003,,Encounter,21,21,2226,3074,481
Allegan,Occupational Therapy,,97004,,Encounter,36,36,2340,2600,481
Allegan,Occupational or Physical Therapy,,97110,,15 Minutes,12,64,3840,4140,481
Allegan,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0,481
Allegan,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0,481
Allegan,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0,481
Allegan,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0,481
Allegan,Occupational or Physical Therapy,,97140,,15 Minutes,1,3,78,78,481
Allegan,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0,481
Allegan,Occupational or Physical Therapy,,97530,,15 Minutes,56,1936,52272,60885,481
Allegan,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0,0,481
Allegan,Occupational or Physical Therapy,,97533,,15 Minutes,18,153,4131,5697,481
Allegan,Occupational or Physical Therapy,,97535,,15 Minutes,3,11,495,495,481
Allegan,Occupational or Physical Therapy,,97537,,15 Minutes,1,2,52,52,481
Allegan,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0,0,481
Allegan,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,0,481
Allegan,Occupational Therapy,,97755,,15 Minutes,0,0,0,0,481
Allegan,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,0,481
Allegan,Prosthetic Training (Children's Waiver),,97761,,15 Minutes,0,0,0,0,481
Allegan,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,4,13,338,338,481
Allegan,Assessment or Health Services,,97802,,15 Minutes,0,0,0,0,481
Allegan,Assessment or Health Services,,97803,,15 Minutes,0,0,0,0,481
Allegan,Health Services,,97804,,30 Minutes,0,0,0,0,481
Allegan,Substance Abuse: Acupuncture,,97810,,Encounter,0,0,0,0,481
Allegan,Substance Abuse: Acupuncture,,97811,,Encounter,0,0,0,0,481
Allegan,New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99201,U5,Encounter,0,0,0,0,481
Allegan,Substance Abuse: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,0,481
Allegan,New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99202,U5,Encounter,0,0,0,0,481
Allegan,Substance Abuse: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0,481
Allegan,New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99203,U5,Encounter,0,0,0,0,481
Allegan,Substance Abuse: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0,481
Allegan,New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99204,U5,Encounter,0,0,0,0,481
Allegan,Substance Abuse: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0,481
Allegan,New Patient Evaluation and Management,,99205,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99205,U5,Encounter,0,0,0,0,481
Allegan,Substance Abuse: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0,481
Allegan,Established Patient Evaluation and Management,,99211,,Encounter,0,0,0,632,481
Allegan,Assessment for Autism,,99211,U5,Encounter,0,0,0,0,481
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0,481
Allegan,Established Patient Evaluation and Management,,99212,,Encounter,0,0,0,1288,481
Allegan,Assessment for Autism,,99212,U5,Encounter,0,0,0,0,481
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0,481
Allegan,Established Patient Evaluation and Management,,99213,,Encounter,169,649,112293,413355,481
Allegan,Assessment for Autism,,99213,U5,Encounter,8,13,2301,4071,481
Allegan,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0,481
Allegan,Established Patient Evaluation and Management,,99214,,Encounter,17,17,6732,28116,481
Allegan,Assessment for Autism,,99214,U5,Encounter,1,1,396,396,481
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0,481
Allegan,Established Patient Evaluation and Management,,99215,,Encounter,21,21,8274,41370,481
Allegan,Assessment for Autism,,99215,U5,Encounter,1,1,394,394,481
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0,481
Allegan,Additional Codes-Physician Services,,99221,,30 Minutes,0,0,0,616.18,481
Allegan,Additional Codes-Physician Services,,99222,,50 Minutes,0,0,0,1458.02,481
Allegan,Additional Codes-Physician Services,,99223,,70 Minutes,1,1,94,1608.86,481
Allegan,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0,481
Allegan,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0,481
Allegan,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0,481
Allegan,Additional Codes-Physician Services,,99231,,15 Minutes,1,2,188,6870.02,481
Allegan,Additional Codes-Physician Services,,99232,,25 minutes,1,4,376,8633,481
Allegan,Additional Codes-Physician Services,,99233,,35 Minutes,1,5,470,4592.27,481
Allegan,Physician Consultations,,99241,,15 Minutes,0,0,0,0,481
Allegan,Substance Abuse: New or Established Patient Evaluation and Management,,99241,HF,15 Minutes,0,0,0,0,481
Allegan,Physician Consultations,,99242,,30 Minutes,0,0,0,0,481
Allegan,Substance Abuse: New or Established Patient Evaluation and Management,,99242,HF,30 Minutes,0,0,0,0,481
Allegan,Physician Consultations,,99243,,40 Minutes,0,0,0,0,481
Allegan,Substance Abuse: New or Established Patient Evaluation and Management,,99243,HF,40 Minutes,0,0,0,0,481
Allegan,Physician Consultations,,99244,,60 Minutes,0,0,0,0,481
Allegan,Substance Abuse: New or Established Patient Evaluation and Management,,99244,HF,60 Minutes,0,0,0,0,481
Allegan,Physician Consultations,,99245,,80 Minutes,0,0,0,0,481
Allegan,Substance Abuse: New or Established Patient Evaluation and Management,,99245,HF,80 Minutes,0,0,0,0,481
Allegan,Physician Consultations,,99251,,20 Minutes,0,0,0,0,481
Allegan,Physician Consultations,,99252,,40 Minutes,0,0,0,0,481
Allegan,Physician Consultations,,99253,,55 Minutes,0,0,0,0,481
Allegan,Physician Consultations,,99254,,80 Minutes,0,0,0,0,481
Allegan,Physician Consultations,,99255,,110 Minutes,0,0,0,0,481
Allegan,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0,0,481
Allegan,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0,0,481
Allegan,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0,0,481
Allegan,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0,0,481
Allegan,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0,0,481
Allegan,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0,0,481
Allegan,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0,0,481
Allegan,Assessment,,99324,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99324,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99325,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99325,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99326,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99326,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99327,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99327,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99328,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99328,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99334,,Encounter,2,7,266.21,445.21,481
Allegan,Assessment for Autism,,99334,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99335,,Encounter,2,2,185.04,440.12,481
Allegan,Assessment for Autism,,99335,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99336,,Encounter,2,2,273.78,448.78,481
Allegan,Assessment for Autism,,99336,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99337,,Encounter,0,0,0,760,481
Allegan,Assessment for Autism,,99337,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99341,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99341,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99342,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99342,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99343,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99343,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99344,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99344,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99345,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99345,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99347,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99347,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99348,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99348,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99349,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99349,U5,Encounter,0,0,0,0,481
Allegan,Assessment,,99350,,Encounter,0,0,0,0,481
Allegan,Assessment for Autism,,99350,U5,Encounter,0,0,0,0,481
Allegan,Medication Administration,,99506,,Encounter,0,0,0,0,481
Allegan,Medication Management,,99605,,15 Minutes,0,0,0,0,481
Allegan,Transportation,,A0080,,Per mile,0,0,0,0,481
Allegan,Transportation,,A0090,,Per mile,0,0,0,0,481
Allegan,Transportation,,A0100,,Per one-way trip,0,0,0,0,481
Allegan,Substance Abuse: Transportation,,A0100,,Per one-way trip,0,0,0,0,481
Allegan,Transportation,,A0110,,Per one-way trip,0,0,0,0,481
Allegan,Substance Abuse: Transportation,,A0110,HF,Per one-way trip,0,0,0,0,481
Allegan,Transportation,,A0120,,Per one-way trip,0,0,0,0,481
Allegan,Transportation,,A0130,,Per one-way trip,0,0,0,0,481
Allegan,Transportation,,A0140,,Per one-way trip,0,0,0,0,481
Allegan,Transportation,,A0170,,,0,0,0,0,481
Allegan,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0,2204,481
Allegan,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0,6906.29,481
Allegan,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0,0,481
Allegan,Activity Therapy (Children's Waiver),,G0176,,Encounter,0,0,0,0,481
Allegan,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0,0,481
Allegan,Substance Abuse: Recovery Support Services,,G0409,,15 Minutes,0,0,0,0,481
Allegan,Substance Abuse: Individual Assessment,,H0001,,Encounter,0,0,0,0,481
Allegan,Assessment ,,H0002,,Encounter,12,14,1834,2882,481
Allegan,Substance Abuse: Laboratory,,H0003,,Encounter,0,0,0,0,481
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0,0,481
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0,0,481
Allegan,Substance Abuse: Case Management,,H0006,,Encounter,0,0,0,0,481
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0,0,481
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0,0,481
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0,0,481
Allegan,Substance Abuse: Outpatient Care,906,H0015,,Day,0,0,0,0,481
Allegan,Crisis Residential Services,,H0018,,Day,3,19,7562,158567,481
Allegan,Substance Abuse: Residential,1002,H0018,HF,Day,0,0,0,0,481
Allegan,Substance Abuse: Residential,1002,H0019,HF,Day,0,0,0,0,481
Allegan,Substance Abuse: Methadone,,H0020,,Encounter,0,0,0,0,481
Allegan,Substance Abuse: Early Intervention,,H0022,,Encounter,0,0,0,0,481
Allegan,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0,0,481
Allegan,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0,0,481
Allegan,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0,7350,481
Allegan,Assessment ,,H0031,,Encounter,6,6,1848,79156,481
Allegan,Assessment for Autism,,H0031,U5,Encounter,37,83,42248,92568,481
Allegan,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,71,72,22176,22792,481
Allegan,Treatment Planning,,H0032,,Encounter,151,186,42594,138316,481
Allegan,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,30,30,6870,57479,481
Allegan,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0,481
Allegan,Health Services,,H0034,,15 Minutes,0,0,0,0,481
Allegan,Home Based Services,,H0036,,15 Minutes,8,761,46866,790997,481
Allegan,Home Based Services,,H0036,ST,15 Minutes,0,0,0,1355,481
Allegan,Peer Directed and Operated Support Services,,H0038,,15 minutes,0,0,0,31445,481
Allegan,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0,0,481
Allegan,Substance Abuse: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0,0,481
Allegan,Peer Directed and Operated Support Services,,NA,,,0,0,0,0,481
Allegan,Assertive Community Treatment (ACT),,H0039,,15 Minutes,1,211,14026,679616,481
Allegan,Community Living Supports in Independent living/own home,,H0043,,Per diem,44,12366,2070095,2288667,481
Allegan,Respite,,H0045,,Day,0,0,0,1300,481
Allegan,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0,0,481
Allegan,Substance Abuse: Laboratory,,H0048,,Encounter,0,0,0,0,481
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0,0,481
Allegan,Behavior Treatment Plan Review,,H2000,,Encounter,39,149,22797,27387,481
Allegan,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,42,255,39015,48654,481
Allegan,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0,0,481
Allegan,Crisis Intervention,,H2011,,15 Minutes,5,15,1110,14356,481
Allegan,"Substance Abuse: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0,0,481
Allegan,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,126,34606,353490,421716,481
Allegan,Out of Home Non Vocational Habilitation,,H2014,HK,15 Minutes,69,45650,533932,533932,481
Allegan,Community Living Supports (15 Minutes),,H2015,,15 Minutes,260,336059,1860270,2114335,481
Allegan,Community Living Supports (Daily),,H2016,,Per Diem,73,22600,2607273,4063495,481
Allegan,Behavior Services,,H2019,,15 Minutes,6,170,8475,33701,481
Allegan,Behavior Services,,H2019,TT,15 Minutes,4,284,14159,74333,481
Allegan,Applied Behavioral Intervention (ABI).,,H2019,U5,15 Minutes,15,12968,284547,434165,481
Allegan,Early Intensive Behavioral Intervention (EIBI),,H2019,"U5, TG",15 Minutes,13,19869,321719,458229,481
Allegan,Wraparound,,H2021,,15 Minutes,1,14,1344,53760,481
Allegan,Supported Employment Services,,H2023,,15 minutes,127,19755,1390412,1765763,481
Allegan,Mental Health Therapy,,H2027,,15 Minutes,0,0,0,0,481
Allegan,Substance Abuse Services: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0,0,481
Allegan,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0,0,0,0,481
Allegan,Home Based Services,,H2033,,15 Minutes,0,0,0,0,481
Allegan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0,0,481
Allegan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0,0,481
Allegan,Repair/Svc DME Non-Oxygen Equipment (Children's Waiver),,K0739,,15 Minutes,0,0,0,0,481
Allegan,Transportation,,S0209,,Per Mile,0,0,0,0,481
Allegan,Transportation,,S0215,,Per Mile,0,0,0,0,481
Allegan,Substance Abuse Services: Transportation,,S0215,HF,Per Mile,0,0,0,0,481
Allegan,Home Care Training to Home Care Client ABA,,S5108,U5,15 Minutes,20,3432,119903,183960,481
Allegan,Family Training - EBP,,S5110,,15 Minutes,0,0,0,0,481
Allegan,Family Training,,S5111,,Encounter,45,455,68250,116250,481
Allegan,Family Training,,S5111,HA,Encounter,0,0,0,0,481
Allegan,Family Training,,S5111,HM,Encounter,1,7,1050,4050,481
Allegan,BHT/ABA Family Training,,S5111,U5,Encounter,11,79,12497.55,17183.22,481
Allegan,"Home Care Training, Non-Family (Children's Waiver)",,S5116,,Encounter,0,0,0,0,481
Allegan,Foster Care,,S5140,,Day,0,0,0,0,481
Allegan,Foster Care,,S5145,,Day,0,0,0,0,481
Allegan,Respite,,S5150,,15 Minutes,0,0,0,0,481
Allegan,Respite,,S5151,,Per Diem,0,0,0,0,481
Allegan,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0,0,481
Allegan,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0,0,481
Allegan,Environmental Modification ,,S5165,,Service,2,2,46599.4,46599.4,481
Allegan,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0,0,481
