CMH Name,FirstOfService description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIC-Cases,SumOfMIC-Units,SumOfMIC-Cost,SumOfMIC-Cost
Allegan,Drug Screen for Methadone Clients Only,,80300,,per date of service,0,0,0,0
Allegan,Drug Screen for Methadone Clients Only,,80301,,per date of service,0,0,0,0
Allegan,Drug Screen for Methadone Clients Only,,80302,,each procedure,0,0,0,0
Allegan,Drug Screen for Methadone Clients Only,,80303,,per date of service,0,0,0,0
Allegan,Drug Screen for Methadone Clients Only,,80304,,each procedure,0,0,0,0
Allegan,Interactive Complexity - Add On Code,,90785,,,0,0,0,0
Allegan,Assessment for Autism,,90785,U5,,0,0,0,0
Allegan,Interactive Complexity - Add On Code - SUD,,90785,HF,,0,0,0,0
Allegan,Assessment,,90791,,Encounter,39,39,14430,14430
Allegan,Assessment for Autism,,90791,U5,Encounter,0,0,0,0
Allegan,Assessment,,90792,,Encounter,21,21,7770,7770
Allegan,Assessment for Autism,,90792,U5,Encounter,0,0,0,0
Allegan,Mental Health: Outpatient Care,,90832,,30 Minutes,31,52,7904,7904
Allegan,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0,0
Allegan,Assessment,,90833,,30 Minutes,0,0,0,0
Allegan,Assessment for Autism,,90833,U5,30 Minutes,0,0,0,0
Allegan,Mental Health: Outpatient Care,,90834,,45 Minutes,31,61,14213,14213
Allegan,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0
Allegan,Assessment,,90836,,45 Minutes,0,0,0,0
Allegan,Assessment for Autism,,90836,U5,45 Minutes,0,0,0,0
Allegan,Mental Health: Outpatient Care,,90837,,60 Minutes,59,300,105900,105900
Allegan,Substance abuse: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0
Allegan,Assessment,,90838,,60 Minutes,0,0,0,0
Allegan,Assessment for Autism,,90838,U5,60 Minutes,0,0,0,0
Allegan,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,0,0,0,0
Allegan,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,0
Allegan,Therapy-Family Therapy,,90846,,Encounter,24,58,23896,23896
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0
Allegan,Therapy-Family Therapy,,90847,,Encounter,54,186,76632,76632
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter,0,0,0,0
Allegan,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0
Allegan,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0
Allegan,Therapy-Group Therapy,,90853,,Encounter,0,0,0,0
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0
Allegan,Pharmacological Management (SED Waiver),,90863,,,0,0,0,0
Allegan,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,0
Allegan,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0,0
Allegan,Assessments-Other,,90887,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy,,92507,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy,,92508,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy,,92521,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy,,92522,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy,,92523,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy,,92524,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy,,92526,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy,,92610,,Encounter,0,0,0,0
Allegan,Psychological Testing PSYCH/PHYS,,96101,,Per Hour,0,0,0,0
Allegan,Assessment for Autism,,96101,U5,Hour,0,0,0,0
Allegan,Psychological Testing by Technician,,96102,,Per Hour,0,0,0,0
Allegan,Assessment for Autism,,96102,U5,Hour,0,0,0,0
Allegan,Psychological Testing by Comp,,96103,,Per Hour,0,0,0,0
Allegan,Assessments-Other,,96105,,Encounter,0,0,0,0
Allegan,Assessments-Other,,96110,,Encounter,0,0,0,0
Allegan,Assessments-Other,,96111,,Encounter,0,0,0,0
Allegan,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0,0
Allegan,Neuropsych test by Psych/Phys,,96118,,Per Hour,0,0,0,0
Allegan,Assessment for Autism,,96118,U5,Hour,0,0,0,0
Allegan,Neuropsych test by Tech,,96119,,Per Hour,0,0,0,0
Allegan,Assessment for Autism,,96119,U5,Hour,0,0,0,0
Allegan,Neuropsych test Admin w/Comp,,96120,,Per Hour,0,0,0,0
Allegan,Assessments-Other,,96127,,,0,0,0,0
Allegan,Medication Administration,,96372,,Encounter,1,2,52,52
Allegan,Physical Therapy,,97001,,Encounter,0,0,0,0
Allegan,Physical Therapy,,97002,,Encounter,0,0,0,0
Allegan,Occupational Therapy,,97003,,Encounter,8,8,1200,1200
Allegan,Occupational Therapy,,97004,,Encounter,1,1,120,120
Allegan,Occupational or Physical Therapy,,97110,,15 Minutes,2,5,200,200
Allegan,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0
Allegan,Occupational or Physical Therapy,,97530,,15 Minutes,4,19,741,741
Allegan,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97533,,15 Minutes,7,96,3840,3840
Allegan,Occupational or Physical Therapy,,97535,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,0
Allegan,Occupational Therapy,,97755,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,0
Allegan,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,0,0,0,0
Allegan,Assessment or Health Services,,97802,,15 Minutes,0,0,0,0
Allegan,Assessment or Health Services,,97803,,15 Minutes,0,0,0,0
Allegan,Health Services,,97804,,30 Minutes,0,0,0,0
Allegan,Substance Abuse: Acupuncture,,97810,,Encounter,0,0,0,0
Allegan,Substance Abuse: Acupuncture,,97811,,Encounter,0,0,0,0
Allegan,New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99201,U5,Encounter,0,0,0,0
Allegan,Substance Abuse: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,0
Allegan,New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99202,U5,Encounter,0,0,0,0
Allegan,Substance Abuse: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0
Allegan,New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99203,U5,Encounter,0,0,0,0
Allegan,Substance Abuse: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0
Allegan,New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99204,U5,Encounter,0,0,0,0
Allegan,Substance Abuse: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0
Allegan,New Patient Evaluation and Management,,99205,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99205,U5,Encounter,0,0,0,0
Allegan,Substance Abuse: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0
Allegan,Established Patient Evaluation and Management,,99211,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99211,U5,Encounter,0,0,0,0
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0
Allegan,Established Patient Evaluation and Management,,99212,,Encounter,3,3,264,264
Allegan,Assessment for Autism,,99212,U5,Encounter,0,0,0,0
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0
Allegan,Established Patient Evaluation and Management,,99213,,Encounter,80,185,19610,19610
Allegan,Assessment for Autism,,99213,U5,Encounter,0,0,0,0
Allegan,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0
Allegan,Established Patient Evaluation and Management,,99214,,Encounter,5,5,930,930
Allegan,Assessment for Autism,,99214,U5,Encounter,0,0,0,0
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0
Allegan,Established Patient Evaluation and Management,,99215,,Encounter,4,4,988,988
Allegan,Assessment for Autism,,99215,U5,Encounter,0,0,0,0
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0
Allegan,Additional Codes-Physician Services,,99221,,30 Minutes,13,13,598,598
Allegan,Additional Codes-Physician Services,,99222,,50 Minutes,2,2,184,184
Allegan,Additional Codes-Physician Services,,99223,,70 Minutes,2,2,272,272
Allegan,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0
Allegan,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0
Allegan,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0
Allegan,Additional Codes-Physician Services,,99231,,15 Minutes,10,30,690,690
Allegan,Additional Codes-Physician Services,,99232,,25 minutes,7,13,598,598
Allegan,Additional Codes-Physician Services,,99233,,35 Minutes,7,8,736,736
Allegan,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0,0
Allegan,Assessment,,99324,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99324,U5,Encounter,0,0,0,0
Allegan,Assessment,,99325,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99325,U5,Encounter,0,0,0,0
Allegan,Assessment,,99326,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99326,U5,Encounter,0,0,0,0
Allegan,Assessment,,99327,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99327,U5,Encounter,0,0,0,0
Allegan,Assessment,,99328,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99328,U5,Encounter,0,0,0,0
Allegan,Assessment,,99334,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99334,U5,Encounter,0,0,0,0
Allegan,Assessment,,99335,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99335,U5,Encounter,0,0,0,0
Allegan,Assessment,,99336,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99336,U5,Encounter,0,0,0,0
Allegan,Assessment,,99337,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99337,U5,Encounter,0,0,0,0
Allegan,Assessment,,99341,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99341,U5,Encounter,0,0,0,0
Allegan,Assessment,,99342,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99342,U5,Encounter,0,0,0,0
Allegan,Assessment,,99343,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99343,U5,Encounter,0,0,0,0
Allegan,Assessment,,99344,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99344,U5,Encounter,0,0,0,0
Allegan,Assessment,,99345,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99345,U5,Encounter,0,0,0,0
Allegan,Assessment,,99347,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99347,U5,Encounter,0,0,0,0
Allegan,Assessment,,99348,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99348,U5,Encounter,0,0,0,0
Allegan,Assessment,,99349,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99349,U5,Encounter,0,0,0,0
Allegan,Assessment,,99350,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,99350,U5,Encounter,0,0,0,0
Allegan,Medication Administration,,99506,,Encounter,0,0,0,0
Allegan,Medication Management,,99605,,15 Minutes,0,0,0,0
Allegan,Transportation,,A0080,,Per mile,0,0,0,0
Allegan,Transportation,,A0090,,Per mile,0,0,0,0
Allegan,Transportation,,A0100,,Per one-way trip,0,0,0,0
Allegan,Substance Abuse: Transportation,,A0100,,Per one-way trip,0,0,0,0
Allegan,Transportation,,A0110,,Per one-way trip,0,0,0,0
Allegan,Substance Abuse: Transportation,,A0110,HF,Per one-way trip,0,0,0,0
Allegan,Transportation,,A0120,,Per one-way trip,0,0,0,0
Allegan,Transportation,,A0130,,Per one-way trip,0,0,0,0
Allegan,Transportation,,A0140,,Per one-way trip,0,0,0,0
Allegan,Transportation,,A0170,,,0,0,0,0
Allegan,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0,0
Allegan,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0,0
Allegan,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0,0
Allegan,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0,0
Allegan,Substance Abuse: Recovery Support Services,,G0409,,15 Minutes,0,0,0,0
Allegan,Substance Abuse: Individual Assessment,,H0001,,Encounter,0,0,0,0
Allegan,Assessment,,H0002,,Encounter,7,16,2016,2016
Allegan,Substance Abuse: Laboratory,,H0003,,Encounter,0,0,0,0
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0,0
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0,0
Allegan,Substance Abuse: Case Management,,H0006,,Encounter,0,0,0,0
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0,0
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0,0
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0,0
Allegan,Substance Abuse: Outpatient Care,906,H0015,,Day,0,0,0,0
Allegan,Crisis Residential Services,,H0018,,Day,0,0,0,0
Allegan,Substance Abuse: Residential,1002,H0018,HF,Day,0,0,0,0
Allegan,Substance Abuse: Residential,1002,H0019,HF,Day,0,0,0,0
Allegan,Substance Abuse: Methadone,,H0020,,Encounter,0,0,0,0
Allegan,Substance Abuse: Early Intervention,,H0022,,Encounter,0,0,0,0
Allegan,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0,0
Allegan,Prevention Services - Direct Model,,H0025,,Face to Face Contact,3,48,33744,33744
Allegan,Crisis Intervention,,H0030,,Per Service,0,0,0,0
Allegan,Assessment,,H0031,,Encounter,187,195,60060,60060
Allegan,Assessment for Autism,,H0031,U5,Encounter,1,2,1087,1087.28
Allegan,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,0,0,0,0
Allegan,Treatment Planning,,H0032,,Encounter,64,124,40176,40176
Allegan,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,26,38,12312,12312
Allegan,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0
Allegan,Health Services,,H0034,,15 Minutes,0,0,0,0
Allegan,Home Based Services,,H0036,,15 Minutes,148,12835,1010800,1010799.77
Allegan,Home Based Services,,H0036,ST,15 Minutes,0,0,0,0
Allegan,Peer Directed and Operated Support Services,,H0038,,15 minutes,0,0,0,0
Allegan,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0,0
Allegan,Substance Abuse: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0,0
Allegan,Peer Directed and Operated Support Services,,NA,,,0,0,0,0
Allegan,Assertive Community Treatment (ACT),,H0039,,15 Minutes,0,0,0,0
Allegan,Community Living Supports in Independent living/own home,,H0043,,Per diem,0,0,0,0
Allegan,Respite,,H0045,,Day,0,0,0,0
Allegan,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0,0
Allegan,Substance Abuse: Laboratory,,H0048,,Encounter,0,0,0,0
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0,0
Allegan,Behavior Treatment Plan Review,,H2000,,Encounter,1,1,101,101
Allegan,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,1,2,202,202
Allegan,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0,0
Allegan,Crisis Intervention,,H2011,,15 Minutes,18,76,3420,3420
Allegan,"Substance Abuse: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0,0
Allegan,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,0,0,0,0
Allegan,Community Living Supports (15 Minutes),,H2015,,15 Minutes,4,3585,11974,11973.9
Allegan,Community Living Supports (Daily),,H2016,,Per Diem,0,0,0,0
Allegan,Community Living Supports (Daily),,H2016,TF,Per Diem,0,0,0,0
Allegan,Community Living Supports (Daily),,H2016,TG,Per Diem,0,0,0,0
Allegan,Behavior Services,,H2019,,15 Minutes,0,0,0,0
Allegan,Behavior Services,,H2019,TT,15 Minutes,0,0,0,0
Allegan,Applied Behavioral Intervention (ABI).,,H2019,U5,15 Minutes,0,0,0,0
Allegan,Early Intensive Behavioral Intervention (EIBI),,H2019,"U5, TG",15 Minutes,0,0,0,0
Allegan,Crisis Intervention,,H2020,,Day,0,0,0,0
Allegan,Wraparound,,H2021,,15 Minutes,23,777,144522,144522
Allegan,Wraparound (SED Waiver),,H2022,,Day,1,4,744,744
Allegan,Wraparound (SED Waiver),,H2022,TT,Day,0,0,0,0
Allegan,Supported Employment Services,,H2023,,15 minutes,0,0,0,0
Allegan,Mental Health Therapy,,H2027,,15 Minutes,0,0,0,0
Allegan,Substance Abuse Services: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0,0
Allegan,Clubhouse Psychosocial Rehabilitation Programs,,H2030,,15 Minutes,0,0,0,0
Allegan,Home Based Services,,H2033,,15 Minutes,0,0,0,0
Allegan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0,0
Allegan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0,0
Allegan,Medication Review,,M0064,,"Encounter Face-to-Face, generally less than 10 minutes",0,0,0,0
Allegan,Transportation,,S0209,,Per Mile,0,0,0,0
Allegan,Transportation,,S0215,,Per Mile,0,0,0,0
Allegan,Substance Abuse Services: Transportation,,S0215,HF,Per Mile,0,0,0,0
Allegan,Home Care Training to Home Care Client ABA,,S5108,U5,15 Minutes,0,0,0,0
Allegan,Family Training - EBP,,S5110,,15 Minutes,0,0,0,0
Allegan,Family Training,,S5111,,Encounter,4,55,15015,15015
Allegan,Family Training,,S5111,HA,Encounter,0,0,0,0
Allegan,Family Training,,S5111,HM,Encounter,0,0,0,0
Allegan,"Home Care Training, Non-Family (Children's Waiver)",,S5116,,Encounter,0,0,0,0
Allegan,Foster Care,,S5140,,Day,0,0,0,0
Allegan,Foster Care,,S5145,,Day,0,0,0,0
Allegan,Respite,,S5150,,15 Minutes,0,0,0,0
Allegan,Respite,,S5151,,Per Diem,0,0,0,0
Allegan,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0,0
Allegan,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0,0
Allegan,Environmental Modification,,S5165,,Service,0,0,0,0
Allegan,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0,0
Allegan,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0,0
Allegan,Health Services,,S9445,,Encounter,0,0,0,0
Allegan,Health Services,,S9446,,Encounter,0,0,0,0
Allegan,Health Services,,S9470,,Encounter,0,0,0,0
Allegan,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0,0
Allegan,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0,0
Allegan,Residential Room and Board,,S9976,,Day,0,0,0,0
Allegan,Substance Abuse Services: Residential Room and Board,,S9976,HF,Day,0,0,0,0
Allegan,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0,0
Allegan,Private Duty Nursing,,T1000,TD,Up to 15 min,0,0,0,0
Allegan,Private Duty Nursing,,T1000,TE,Up to 15 min,0,0,0,0
Allegan,Assessment,,T1001,,Encounter,0,0,0,0
Allegan,Health Services,,T1002,,Up to 15 min,0,0,0,0
Allegan,Respite Care,,T1005,,15 Minutes,14,3983,15374,15374.38
Allegan,Respite Care,,T1005,TD,15 Minutes,0,0,0,0
Allegan,Respite Care,,T1005,TE,15 Minutes,0,0,0,0
Allegan,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,0,0,0,0
Allegan,Substance Abuse: Treatment Planning,,T1007,HF,Encounter,0,0,0,0
Allegan,Substance Abuse: Child Sitting Services,,T1009,,Encounter,0,0,0,0
Allegan,Substance Abuse: Recovery Support Services,,T1012,,Encounter,0,0,0,0
Allegan,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0,0
Allegan,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,10,112,10528,10528
Allegan,Targeted Case Management,,T1017,,15 minutes,10,200,8600,8600
Allegan,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,0,0,0,0
Allegan,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,0,0,0,0
Allegan,Personal Care in Licensed Specialized Residential Setting,,T1020,TF,Day,0,0,0,0
Allegan,Personal Care in Licensed Specialized Residential Setting,,T1020,TG,Day,0,0,0,0
Allegan,Assessments,,T1023,,Encounter,61,79,21251,21251
Allegan,Prevention Services - Direct Model,,T1027,,15 Minutes,0,0,0,0
Allegan,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,0,0,0,0
Allegan,Transportation,,T2001,,Encounter,0,0,0,0
Allegan,Substance Abuse Services: Transportation,,T2001,HF,Encounter,0,0,0,0
Allegan,Transportation,,T2002,,Per Diem,0,0,0,0
Allegan,Substance Abuse Services: Transportation,,T2002,HF,Per Diem,0,0,0,0
Allegan,Transportation,,T2003,,Encounter / Trip,0,0,0,0
Allegan,Substance Abuse Services: Transportation,,T2003,HF,Encounter / Trip,0,0,0,0
Allegan,Transportation,,T2004,,Encounter,0,0,0,0
Allegan,Substance Abuse Services: Transportation,,T2004,HF,Encounter,0,0,0,0
Allegan,Transportation,,T2005,,Encounter,0,0,0,0
Allegan,Substance Abuse Services: Transportation,,T2005,HF,Encounter,0,0,0,0
Allegan,Prevention Services - Direct Model,,T2024,,,0,0,0,0
Allegan,Fiscal Intermediary Services,,T2025,,Month,12,76,7510,7509.56
Allegan,Enhanced Medical Equipment-Supplies,,T2028,,Item,0,0,0,0
Allegan,Enhanced Medical Equipment-Supplies,,T2029,,Item,0,0,0,0
Allegan,Crisis Intervention,,T2034,,Day,0,0,0,0
Allegan,Respite Care,,T2036,,Per session. One night = one session,42,275,48125,48125
Allegan,Respite Care,,T2037,,Per session. One day/partial day = one session,3,21,3675,3675
Allegan,Housing Assistance,,T2038,,Service,0,0,0,0
Allegan,Enhanced Medical Equipment-Supplies,,T2039,,Item,0,0,0,0
Allegan,Goods and Services,,T5999,HK,Per Item,0,0,0,0
Allegan,Wraparound Services,,T5999,,Per Item,0,0,0,0
Allegan,Pharmacy (Drugs and Other Biologicals),,,,,0,0,0,0
Allegan,Other,,,,,0,0,0,0
