CMH Name,FirstOfService description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIC-Cases,SumOfMIC-Units,SumOfMIC-Cost
Allegan,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,0636,,,# of units,0,0,0
Allegan,ECT Recovery Room,0710,,,,0,0,0
Allegan,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0
Allegan,Inpatient Hospital Ancillary Services - EEG,0740,,,# of tests,0,0,0
Allegan,Crisis Observation Care,0762,,,Hour,0,0,0
Allegan,Additional Codes-ECT Facility Charge,0901,,,Encounter,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0
Allegan,Outpatient Partial Hospitalization,0912,,,Day,5,21,7681
Allegan,Outpatient Partial Hospitalization,0913,,,Day,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Other Diagnosis Services,0925,,,# of tests,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0
Allegan,Additional Codes-ECT Anesthesia,,00104,,Minutes,0,0,0
Allegan,Additional Codes-ECT Anesthesia,0901,00104,,Minutes,0,0,0
Allegan,ABA Behavior Identification Assessment,,0359T,U5,Encounter,7,11,5938
Allegan,ABA Behavioral Follow-up Assessment,,0362T,U5,First 30 Minutes,0,0,0
Allegan,ABA Behavioral Follow-up Assessment,,0363T,U5,Each Additional 30 Minutes,0,0,0
Allegan,ABA Adaptive Treatment,,0364T,U5,First 30 Minutes,6,1110,36215
Allegan,ABA Adaptive Treatment,,0365T,U5,Each Additional 30 Minutes,6,5538,180531
Allegan,ABA Group Adaptive Behavior Treatment,,0366T,U5,First 30 Minutes,0,0,0
Allegan,ABA Group Adaptive Behavior Treatment,,0367T,U5,Each Additional 30 Minutes,0,0,0
Allegan,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0368T,U5,First 30 Minutes,6,261,18009
Allegan,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0369T,U5,Each Additional 30 Minutes,6,542,37456
Allegan,ABA Family Behavior Treatment Guidance,,0370T,U5,Encounter,5,36,4990
Allegan,ABA Family Behavior Treatment Guidance,,0371T,U5,Encounter,0,0,0
Allegan,ABA Adaptive Behavior Treatment Social Skills Group,,0372T,U5,Encounter,0,0,0
Allegan,ABA Exposure Adaptive Behavior Treatment,,0373T,U5,First 60 Minutes,0,0,0
Allegan,ABA Exposure Adaptive Behavior Treatment,,0374T,U5,Each Additional 30 Minutes,0,0,0
Allegan,Drug Screen,,80305,,Encounter,0,0,0
Allegan,Drug Screen,,80306,,Encounter,0,0,0
Allegan,Drug Screen,,80307,,Encounter,0,0,0
Allegan,Interactive Complexity - Add On Code,,90785,,Encounter,0,0,0
Allegan,Assessment for Autism,,90785,U5,Encounter,0,0,0
Allegan,Substance Abuse - Interactive Complexity - Add On Code,,90785,HF,Encounter,0,0,0
Allegan,Assessment,,"90791
",,Encounter,0,0,0
Allegan,Substance Use: Assessment,,90791,HF,Encounter,0,0,0
Allegan,Assessment for Autism,,90791,U5,Encounter,0,0,0
Allegan,Assessment,,90792,,Encounter,41,41,29852
Allegan,Substance Use: Assessment,,90792,HF,Encounter,0,0,0
Allegan,Assessment for Autism,,90792,U5,Encounter,0,0,0
Allegan,Mental Health: Outpatient Care,,90832,,30 Minutes,26,40,4193
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0
Allegan,Assessment,,90833,,30 Minutes,0,0,0
Allegan,Mental Health: Outpatient Care,,90834,,45 Minutes,33,71,11884
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0
Allegan,Assessment,,90836,,45 Minutes,0,0,0
Allegan,Mental Health: Outpatient Care,,90837,,60 Minutes,48,287,54036
Allegan,Substance Use Disorder: Outpatient Care,,90837,HF,60 Minutes,0,0,0
Allegan,Assessment,,90838,,60 Minutes,0,0,0
Allegan,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,0,0,0
Allegan,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0
Allegan,Therapy-Family Therapy,,90846,,Encounter,21,63,17421
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0
Allegan,Therapy-Family Therapy,,90847,,Encounter,47,173,53388
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,HF,Encounter,0,0,0
Allegan,Therapy-Family Therapy,,90849,,Encounter,0,0,0
Allegan,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0
Allegan,Therapy-Group Therapy,,90853,,Encounter,0,0,0
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0
Allegan,Pharmacological Management (SED Waiver),,90863,,,0,0,0
Allegan,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0
Allegan,Additional Codes-ECT Physician,0901,90870,,Encounter,0,0,0
Allegan,Assessments-Other,,90887,,Encounter,0,0,0
Allegan,Speech & Language Therapy ,,92507,,Encounter,1,4,520
Allegan,Speech & Language Therapy ,,92508,,Encounter,0,0,0
Allegan,Speech & Language Therapy ,,92521,,Encounter,0,0,0
Allegan,Speech & Language Therapy ,,92522,,Encounter,0,0,0
Allegan,Speech & Language Therapy ,,92523,,Encounter,1,1,138
Allegan,Speech & Language Therapy ,,92524,,Encounter,0,0,0
Allegan,Speech & Language Therapy ,,92526,,Encounter,0,0,0
Allegan,Speech & Language Therapy ,,92607,,First Hour,0,0,0
Allegan,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0
Allegan,Speech & Language Therapy ,,92609,,Encounter,0,0,0
Allegan,Speech & Language Therapy ,,92610,,Encounter,0,0,0
Allegan,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,0,0,0
Allegan,Assessment for Autism,,96101,U5,Hour,0,0,0
Allegan,Psychological Testing by Technician ,,96102,,Per Hour,0,0,0
Allegan,Assessment for Autism,,96102,U5,Hour,0,0,0
Allegan,Psychological Testing by Comp ,,96103,,Per Hour,0,0,0
Allegan,Assessments-Other,,96105,,Encounter,0,0,0
Allegan,Assessments-Other,,96110,,Encounter,0,0,0
Allegan,Assessments-Other,,96111,,Encounter,0,0,0
Allegan,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0
Allegan,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0
Allegan,Assessment for Autism,,96118,U5,Hour,0,0,0
Allegan,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0
Allegan,Assessment for Autism,,96119,U5,Hour,0,0,0
Allegan,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0
Allegan,Assessments-Other,,96127,,,0,0,0
Allegan,Medication Administration,,96372,,Encounter,0,0,0
Allegan,Occupational or Physical Therapy,,97110,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97150,,Encounter,0,0,0
Allegan,Physical Therapy,,97161,,Encounter,0,0,0
Allegan,Physical Therapy,,97162,,Encounter,0,0,0
Allegan,Physical Therapy,,97163,,Encounter,0,0,0
Allegan,Physical Therapy,,97164,,Encounter,0,0,0
Allegan,Occupational Therapy,,97165,,Encounter,1,1,79
Allegan,Occupational Therapy,,97166,,Encounter,1,1,79
Allegan,Occupational Therapy,,97167,,Encounter,0,0,0
Allegan,Occupational Therapy,,97168,,Encounter,0,0,0
Allegan,Occupational or Physical Therapy,,97530,,15 Minutes,3,375,7364
Allegan,"Occupational or Physical Therapy 
(Note: Retired 12/31/17)",,97532,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97535,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0
Allegan,Occupational Therapy,,97755,,15 Minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0
Allegan,"C/O for Orthotic/Prosth Use  or Physical Therapy
(Note: Retired 12/31/17)",,97762,,15 minutes,0,0,0
Allegan,Occupational or Physical Therapy,,97763,,15 Minutes,0,0,0
Allegan,Assessment or Health Services,,97802,,15 Minutes,0,0,0
Allegan,Assessment or Health Services,,97803,,15 Minutes,0,0,0
Allegan,Health Services,,97804,,30 Minutes,0,0,0
Allegan,Substance Use Disorder: Acupuncture,,97810,,Encounter,0,0,0
Allegan,Substance Use Disorder: Acupuncture,,97811,,Encounter,0,0,0
Allegan,New Patient Evaluation and Management,,99201,,Encounter,0,0,0
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0
Allegan,New Patient Evaluation and Management,,99202,,Encounter,0,0,0
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0
Allegan,New Patient Evaluation and Management,,99203,,Encounter,0,0,0
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0
Allegan,New Patient Evaluation and Management,,99204,,Encounter,0,0,0
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0
Allegan,New Patient Evaluation and Management,,99205,,Encounter,0,0,0
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0
Allegan,Established Patient Evaluation and Management,,99211,,Encounter,0,0,0
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0
Allegan,Established Patient Evaluation and Management,,99212,,Encounter,1,1,204
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0
Allegan,Established Patient Evaluation and Management,,99213,,Encounter,71,188,32630
Allegan,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0
Allegan,Established Patient Evaluation and Management,,99214,,Encounter,3,3,836
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0
Allegan,Established Patient Evaluation and Management,,99215,,Encounter,2,2,774
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0
Allegan,Additional Codes-Physician Services,,99221,,30 Minutes,4,4,446
Allegan,Additional Codes-Physician Services,,99222,,50 Minutes,0,0,0
Allegan,Additional Codes-Physician Services,,99223,,70 Minutes,1,1,113
Allegan,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0
Allegan,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0
Allegan,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0
Allegan,Additional Codes-Physician Services,,99231,,15 Minutes,3,9,539
Allegan,Additional Codes-Physician Services,,99232,,25 minutes,2,9,1017
Allegan,Additional Codes-Physician Services,,99233,,35 Minutes,3,8,806
Allegan,Additional Codes-Physician Services,,99238,,<= 30 Minutes,4,5,466
Allegan,Additional Codes-Physician Services,,99239,,> 30 Minutes,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99241,HF,15 Minutes,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99242,HF,30 Minutes,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99243,HF,40 Minutes,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99244,HF,60 Minutes,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99245,HF,80 Minutes,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99251,HF,20 Minutes,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99252,HF,40 Minutes,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99253,HF,55 Minutes,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99254,HF,80 Minutes,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99255,HF,110 Minutes,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0
Allegan,Assessment,,99324,,Encounter,0,0,0
Allegan,Assessment,,99325,,Encounter,0,0,0
Allegan,Assessment,,99326,,Encounter,0,0,0
Allegan,Assessment,,99327,,Encounter,0,0,0
Allegan,Assessment,,99328,,Encounter,0,0,0
Allegan,Assessment,,99334,,Encounter,0,0,0
Allegan,Assessment,,99335,,Encounter,0,0,0
Allegan,Assessment,,99336,,Encounter,0,0,0
Allegan,Assessment,,99337,,Encounter,0,0,0
Allegan,Assessment,,99341,,Encounter,0,0,0
Allegan,Assessment,,99342,,Encounter,0,0,0
Allegan,Assessment,,99343,,Encounter,0,0,0
Allegan,Assessment,,99344,,Encounter,0,0,0
Allegan,Assessment,,99345,,Encounter,0,0,0
Allegan,Assessment,,99347,,Encounter,0,0,0
Allegan,Assessment,,99348,,Encounter,0,0,0
Allegan,Assessment,,99349,,Encounter,0,0,0
Allegan,Assessment,,99350,,Encounter,0,0,0
Allegan,Medication Administration,,99506,,Encounter,0,0,0
Allegan,Medication Management,,99605,,15 Minutes,0,0,0
Allegan,Transportation,,A0080,,Per mile,0,0,0
Allegan,Transportation,,A0090,,Per mile,0,0,0
Allegan,Transportation,,A0100,,Per one-way trip,0,0,0
Allegan,Substance Use Disorder: Transportation,,A0100,HF,Per one-way trip,0,0,0
Allegan,Transportation,,A0110,,Per one-way trip,0,0,0
Allegan,Substance Use Disorder: Transportation,,A0110,HF,Per one-way trip,0,0,0
Allegan,Transportation,,A0120,,Per one-way trip,0,0,0
Allegan,Transportation,,A0130,,Per one-way trip,0,0,0
Allegan,Transportation,,A0140,,Per one-way trip,0,0,0
Allegan,Transportation,,A0170,,,0,0,0
Allegan,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0
Allegan,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0
Allegan,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0
Allegan,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0
Allegan,Substance Use Disorder: Recovery Support Services,,G0409,,15 Minutes,0,0,0
Allegan,Occupational Therapy,,G0515,,15 Minutes,0,0,0
Allegan,Substance Use Disorder: Individual Assessment,,H0001,,Encounter,0,0,0
Allegan,Assessment ,,H0002,,Encounter,0,0,0
Allegan,Substance Use Disorder: Laboratory,,H0003,,Encounter,0,0,0
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0
Allegan,Substance Use Disorder: Case Management,,H0006,,Encounter,0,0,0
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0
Allegan,Substance Use Disorder: Outpatient Care,0906,H0015,,Day,0,0,0
Allegan,Crisis Residential Services,,H0018,,Day,27,148,96099
Allegan,Substance Use Disorder: Residential,1002,H0018,HF,Day,0,0,0
Allegan,Substance Use Disorder: Residential,1002,H0019,HF,Day,0,0,0
Allegan,Substance Use Disorder: Methadone,,H0020,,Encounter,0,0,0
Allegan,Substance Use Disorder: Early Intervention,,H0022,,Encounter,0,0,0
Allegan,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0
Allegan,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0
Allegan,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0
Allegan,Assessment ,,H0031,,Encounter,122,126,41400
Allegan,Assessment for Autism,,H0031,U5,Encounter,9,10,5871
Allegan,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,0,0,0
Allegan,Treatment Planning,,H0032,,Encounter,50,71,19291
Allegan,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,22,25,6758
Allegan,Substance Use Disorder: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0
Allegan,Health Services,,H0034,,15 Minutes,0,0,0
Allegan,Home Based Services,,H0036,,15 Minutes,85,5995,457450
Allegan,Home Based Services,,H0036,ST,15 Minutes,0,0,0
Allegan,Peer Directed and Operated Support Services,,H0038,,15 minutes,0,0,0
Allegan,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0
Allegan,Substance Use Disorder: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0
Allegan,Peer Directed and Operated Support Services,,NA,,,0,0,0
Allegan,Assertive Community Treatment (ACT),,H0039,,15 Minutes,0,0,0
Allegan,Assertive Community Treatment (ACT),,H0039,TG,15 Minutes,0,0,0
Allegan,Community Living Supports in Independent living/own home,,H0043,,Per Diem,0,0,0
Allegan,Community Living Supports in Independent living/own home,,H0043,TF,Per Diem,0,0,0
Allegan,Community Living Supports in Independent living/own home,,H0043,TG,Per Diem,0,0,0
Allegan,Community Living Supports in Independent living/own home,,H0043,TT,Per Diem,0,0,0
Allegan,Community Living Supports in Independent living/own home,,H0043,TF/TT,Per Diem,0,0,0
Allegan,Community Living Supports in Independent living/own home,,H0043,TG/TT,Per Diem,0,0,0
Allegan,Respite,,H0045,,Day,0,0,0
Allegan,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0
Allegan,Substance Use Disorder: Laboratory,,H0048,,Encounter,0,0,0
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0
Allegan,Behavior Treatment Plan Review,,H2000,,Encounter,0,0,0
Allegan,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,0,0,0
Allegan,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0
Allegan,Crisis Intervention,,H2011,,15 Minutes,3,9,478
Allegan,"Substance Use Disorder: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0
Allegan,Crisis Intervention,,H2011,TJ,15 Minutes,0,0,0
Allegan,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,0,0,0
Allegan,Out of Home Non Vocational Habilitation,,H2014,HK,15 Minutes,0,0,0
Allegan,Community Living Supports (15 Minutes),,H2015,,15 Minutes,2,164,494
Allegan,Community Living Supports (15 Minutes),,H2015,TT,15 Minutes,0,0,0
Allegan,Community Living Supports (Daily),,H2016,,Per Diem,0,0,0
Allegan,Behavior Services,,H2019,,15 Minutes,0,0,0
Allegan,Behavior Services,,H2019,TT,15 Minutes,0,0,0
Allegan,Wraparound,,H2021,,15 Minutes,22,999,95784
Allegan,Wraparound (SED Waiver),,H2022,,Day,0,0,0
Allegan,Wraparound (SED Waiver),,H2022,TT,Day,0,0,0
Allegan,Supported Employment Services,,H2023,,15 minutes,0,0,0
Allegan,Mental Health Therapy,,H2027,,15 Minutes,0,0,0
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0
Allegan,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0,0,0
Allegan,Home Based Services,,H2033,,15 Minutes,0,0,0
Allegan,Substance Use Disorder: Recovery Housing,,H2034,,Day,0,0,0
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0
Allegan,Telemedicine Facility Fee,,Q3014,GT,Per Service,0,0,0
Allegan,Transportation,,S0209,,Per Mile,0,0,0
Allegan,Transportation,,S0215,,Per Mile,0,0,0
Allegan,Substance Use Disorder: Transportation,,S0215,HF,Per Mile,0,0,0
Allegan,Family Training - EBP,,S5110,,15 Minutes,0,0,0
Allegan,Family Training,,S5111,,Encounter,11,75,11555
Allegan,Family Training,,S5111,HA,Encounter,0,0,0
Allegan,Family Training,,S5111,HM,Encounter,7,45,7797
Allegan,Foster Care,,S5140,,Day,0,0,0
Allegan,Foster Care,,S5145,,Day,0,0,0
Allegan,Respite,,S5150,,15 Minutes,0,0,0
Allegan,Respite,,S5151,,Per Diem,0,0,0
Allegan,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0
Allegan,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0
Allegan,Environmental Modification ,,S5165,,Service,0,0,0
Allegan,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0
Allegan,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0
Allegan,Health Services,,S9445,,Encounter,0,0,0
Allegan,Health Services,,S9446,,Encounter,0,0,0
Allegan,Health Services,,S9470,,Encounter,0,0,0
Allegan,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0
Allegan,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0
Allegan,Intensive Crisis Stabilization-Enrolled Program,,S9484,TJ,Hour,0,0,0
Allegan,Residential Room and Board,,S9976,,Day,0,0,0
Allegan,Substance Use Disorder: Residential Room and Board,,S9976,HF,Day,0,0,0
Allegan,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0
Allegan,Private Duty Nursing,,T1000,TD,Up to 15 min,0,0,0
Allegan,Private Duty Nursing,,T1000,TE,Up to 15 min,0,0,0
Allegan,Assessment,,T1001,,Encounter,0,0,0
Allegan,Health Services,,T1002,,Up to 15 min,0,0,0
Allegan,Respite Care,,T1005,,15 Minutes,9,3945,16138
Allegan,Respite Care,,T1005,TD,15 Minutes,0,0,0
Allegan,Respite Care,,T1005,TE,15 Minutes,0,0,0
Allegan,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,2,846,1845
Allegan,Substance Use Disorder: Treatment Planning,,T1007,HF,Encounter,0,0,0
Allegan,Substance Use Disorder: Child Sitting Services,,T1009,,Encounter,0,0,0
Allegan,Substance Use Disorder: Recovery Support Services,,T1012,,Encounter,0,0,0
Allegan,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0
Allegan,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,22,159,19102
Allegan,Targeted Case Management ,,T1017,,15 minutes,13,277,27782
Allegan,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,0,0,0
Allegan,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,0,0,0
Allegan,Assessments,,T1023,,Encounter,71,81,13942
Allegan,Prevention Services - Direct Model ,,T1027,,15 Minutes,0,0,0
Allegan,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,0,0,0
Allegan,Transportation,,T2001,,Encounter,0,0,0
Allegan,Substance Use Disorder: Transportation,,T2001,HF,Encounter,0,0,0
Allegan,Transportation,,T2002,,Per Diem,0,0,0
Allegan,Substance Use Disorder: Transportation,,T2002,HF,Per Diem,0,0,0
Allegan,Transportation,,T2003,,Encounter / Trip,0,0,0
Allegan,Substance Use Disorder: Transportation,,T2003,HF,Encounter / Trip,0,0,0
Allegan,Transportation,,T2004,,Encounter,0,0,0
Allegan,Substance Use Disorder: Transportation,,T2004,HF,Encounter,0,0,0
Allegan,Transportation,,T2005,,Encounter,0,0,0
Allegan,Substance Use Disorder: Transportation,,T2005,HF,Encounter,0,0,0
Allegan,Out of Home Prevocational Service,,T2015,,Hour,0,0,0
Allegan,Prevention Services - Direct Model ,,T2024,,,0,0,0
Allegan,Fiscal Intermediary Services,,T2025,,Month,5,40,2541
Allegan,Enhanced Medical Equipment-Supplies,,T2028,,Item,0,0,0
Allegan,Enhanced Medical Equipment-Supplies,,T2029,,Item,0,0,0
Allegan,Respite Care,,T2036,,Per session. One night = one session,35,286,35640
Allegan,Respite Care,,T2037,,Per session. One day/partial day = one session,0,0,0
Allegan,Housing Assistance,,T2038,,Service,0,0,0
Allegan,Enhanced Medical Equipment-Supplies,,T2039,,Item,0,0,0
