CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost
Allegan,Therapy-Family Therapy,,90846,,Encounter,5,8,3296.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0.00
Allegan,Therapy-Family Therapy,,90847,,Encounter,13,29,11948.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter,0,0,0.00
Allegan,Therapy-Family Therapy,,90849,,Encounter,0,0,0.00
Allegan,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0.00
Allegan,Therapy-Group Therapy,,90853,,Encounter,4,131,50959.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0.00
Allegan,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0.00
Allegan,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0.00
Allegan,Assessments-Other,,90887,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92507,,Encounter,10,59,13570.00
Allegan,Speech & Language Therapy,,92508,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92521,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92522,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92523,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92524,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92526,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92610,,Encounter,0,0,0.00
Allegan,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92626,,First Hour,0,0,0.00
Allegan,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92627,,Each Additional 15 Minutes,0,0,0.00
Allegan,Auditory Rehabilitation Preling Hearing Loss (Children's Waiver),,92630,,Encounter,0,0,0.00
Allegan,Auditory Rehabilitation; Post-Lingual Hearing Loss (Children's Waiver),,92633,,Encounter,0,0,0.00
Allegan,Psychological Testing PSYCH/PHYS,,96101,,Per Hour,12,18,2862.00
Allegan,Assessment for Autism,,96101,U5,Hour,22,44,10120.00
Allegan,Psychological Testing by Technician,,96102,,Per Hour,0,0,0.00
Allegan,Assessment for Autism,,96102,U5,Hour,0,0,0.00
Allegan,Psychological Testing by Comp,,96103,,Per Hour,0,0,0.00
Allegan,Assessments-Other,,96105,,Encounter,0,0,0.00
Allegan,Assessments-Other,,96110,,Encounter,0,0,0.00
Allegan,Assessments-Other,,96111,,Encounter,0,0,0.00
Allegan,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0.00
Allegan,Neuropsych test by Psych/Phys,,96118,,Per Hour,0,0,0.00
Allegan,Assessment for Autism,,96118,U5,Hour,0,0,0.00
Allegan,Neuropsych test by Tech,,96119,,Per Hour,0,0,0.00
Allegan,Assessment for Autism,,96119,U5,Hour,0,0,0.00
Allegan,Neuropsych test Admin w/Comp,,96120,,Per Hour,0,0,0.00
Allegan,Assessments-Other,,96127,,,0,0,0.00
Allegan,Medication Administration,,96372,,Encounter,7,101,2626.00
Allegan,Physical Therapy,,97001,,Encounter,0,0,0.00
Allegan,Physical Therapy,,97002,,Encounter,0,0,0.00
Allegan,Occupational Therapy,,97003,,Encounter,23,24,3600.00
Allegan,Occupational Therapy,,97004,,Encounter,24,24,2760.00
Allegan,Occupational or Physical Therapy,,97110,,15 Minutes,26,139,5560.00
Allegan,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97150,,Encounter,0,0,0.00
Allegan,Occupational or Physical Therapy,,97530,,15 Minutes,32,1131,44109.00
Allegan,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97533,,15 Minutes,20,182,7280.00
Allegan,Occupational or Physical Therapy,,97535,,15 Minutes,1,6,246.00
Allegan,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97542,,15 Minutes,1,1,39.00
Allegan,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0.00
Allegan,Occupational Therapy,,97755,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0.00
Allegan,Prosthetic Training (Children's Waiver),,97761,,15 Minutes,0,0,0.00
Allegan,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,2,8,312.00
Allegan,Assessment or Health Services,,97802,,15 Minutes,0,0,0.00
Allegan,Assessment or Health Services,,97803,,15 Minutes,0,0,0.00
Allegan,Health Services,,97804,,30 Minutes,0,0,0.00
Allegan,Substance Abuse: Acupuncture,,97810,,Encounter,0,0,0.00
Allegan,Substance Abuse: Acupuncture,,97811,,Encounter,0,0,0.00
Allegan,New Patient Evaluation and Management,,99201,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99201,U5,Encounter,0,0,0.00
Allegan,Substance Abuse: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0.00
Allegan,New Patient Evaluation and Management,,99202,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99202,U5,Encounter,0,0,0.00
Allegan,Substance Abuse: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0.00
Allegan,New Patient Evaluation and Management,,99203,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99203,U5,Encounter,0,0,0.00
Allegan,Substance Abuse: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0.00
Allegan,New Patient Evaluation and Management,,99204,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99204,U5,Encounter,0,0,0.00
Allegan,Substance Abuse: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0.00
Allegan,New Patient Evaluation and Management,,99205,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99205,U5,Encounter,0,0,0.00
Allegan,Substance Abuse: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0.00
Allegan,Established Patient Evaluation and Management,,99211,,Encounter,1,1,78.00
Allegan,Assessment for Autism,,99211,U5,Encounter,0,0,0.00
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0.00
Allegan,Established Patient Evaluation and Management,,99212,,Encounter,2,2,176.00
Allegan,Assessment for Autism,,99212,U5,Encounter,0,0,0.00
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0.00
Allegan,Established Patient Evaluation and Management,,99213,,Encounter,185,716,75896.00
Allegan,Assessment for Autism,,99213,U5,Encounter,0,0,0.00
Allegan,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0.00
Allegan,Established Patient Evaluation and Management,,99214,,Encounter,11,12,2232.00
Allegan,Assessment for Autism,,99214,U5,Encounter,0,0,0.00
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0.00
Allegan,Established Patient Evaluation and Management,,99215,,Encounter,57,57,14079.00
Allegan,Assessment for Autism,,99215,U5,Encounter,0,0,0.00
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0.00
Allegan,Additional Codes-Physician Services,,99221,,30 Minutes,2,3,138.00
Allegan,Additional Codes-Physician Services,,99222,,50 Minutes,3,3,276.00
Allegan,Additional Codes-Physician Services,,99223,,70 Minutes,2,2,272.00
Allegan,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0.00
Allegan,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0.00
Allegan,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0.00
Allegan,Additional Codes-Physician Services,,99231,,15 Minutes,4,11,253.00
Allegan,Additional Codes-Physician Services,,99232,,25 minutes,6,19,874.00
Allegan,Additional Codes-Physician Services,,99233,,35 Minutes,5,33,3036.00
Allegan,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0.00
Allegan,Assessment,,99324,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99324,U5,Encounter,0,0,0.00
Allegan,Assessment,,99325,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99325,U5,Encounter,0,0,0.00
Allegan,Assessment,,99326,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99326,U5,Encounter,0,0,0.00
Allegan,Assessment,,99327,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99327,U5,Encounter,0,0,0.00
Allegan,Assessment,,99328,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99328,U5,Encounter,0,0,0.00
Allegan,Assessment,,99334,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99334,U5,Encounter,0,0,0.00
Allegan,Assessment,,99335,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99335,U5,Encounter,0,0,0.00
Allegan,Assessment,,99336,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99336,U5,Encounter,0,0,0.00
Allegan,Assessment,,99337,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99337,U5,Encounter,0,0,0.00
Allegan,Assessment,,99341,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99341,U5,Encounter,0,0,0.00
Allegan,Assessment,,99342,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99342,U5,Encounter,0,0,0.00
Allegan,Assessment,,99343,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99343,U5,Encounter,0,0,0.00
Allegan,Assessment,,99344,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99344,U5,Encounter,0,0,0.00
Allegan,Assessment,,99345,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99345,U5,Encounter,0,0,0.00
Allegan,Assessment,,99347,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99347,U5,Encounter,0,0,0.00
Allegan,Assessment,,99348,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99348,U5,Encounter,0,0,0.00
Allegan,Assessment,,99349,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99349,U5,Encounter,0,0,0.00
Allegan,Assessment,,99350,,Encounter,0,0,0.00
Allegan,Assessment for Autism,,99350,U5,Encounter,0,0,0.00
Allegan,Medication Administration,,99506,,Encounter,0,0,0.00
Allegan,Medication Management,,99605,,15 Minutes,0,0,0.00
Allegan,Transportation,,A0080,,Per mile,0,0,0.00
Allegan,Transportation,,A0090,,Per mile,0,0,0.00
Allegan,Transportation,,A0100,,Per one-way trip,0,0,0.00
Allegan,Substance Abuse: Transportation,,A0100,,Per one-way trip,0,0,0.00
Allegan,Transportation,,A0110,,Per one-way trip,0,0,0.00
Allegan,Substance Abuse: Transportation,,A0110,HF,Per one-way trip,0,0,0.00
Allegan,Transportation,,A0120,,Per one-way trip,0,0,0.00
Allegan,Transportation,,A0130,,Per one-way trip,0,0,0.00
Allegan,Transportation,,A0140,,Per one-way trip,0,0,0.00
Allegan,Transportation,,A0170,,,0,0,0.00
Allegan,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0.00
Allegan,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0.00
Allegan,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0.00
Allegan,Activity Therapy (Children's Waiver),,G0176,,Encounter,0,0,0.00
Allegan,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0.00
Allegan,Substance Abuse: Recovery Support Services,,G0409,,15 Minutes,0,0,0.00
Allegan,Substance Abuse: Individual Assessment,,H0001,,Encounter,0,0,0.00
Allegan,Assessment,,H0002,,Encounter,17,17,2142.00
Allegan,Substance Abuse: Laboratory,,H0003,,Encounter,0,0,0.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0.00
Allegan,Substance Abuse: Case Management,,H0006,,Encounter,0,0,0.00
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0.00
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0.00
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0.00
Allegan,Substance Abuse: Outpatient Care,906,H0015,,Day,0,0,0.00
Allegan,Crisis Residential Services,,H0018,,Day,0,0,0.00
Allegan,Substance Abuse: Residential,1002,H0018,HF,Day,0,0,0.00
Allegan,Substance Abuse: Residential,1002,H0019,HF,Day,0,0,0.00
Allegan,Substance Abuse: Methadone,,H0020,,Encounter,0,0,0.00
Allegan,Substance Abuse: Early Intervention,,H0022,,Encounter,0,0,0.00
Allegan,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0.00
Allegan,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0.00
Allegan,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0.00
Allegan,Crisis Intervention,,H0030,,Per Service,0,0,0.00
Allegan,Assessment,,H0031,,Encounter,88,91,28028.00
Allegan,Assessment for Autism,,H0031,U5,Encounter,36,113,61431.32
Allegan,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,73,73,80940.94
Allegan,Treatment Planning,,H0032,,Encounter,145,237,76788.00
Allegan,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,21,26,8424.00
Allegan,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0.00
Allegan,Health Services,,H0034,,15 Minutes,0,0,0.00
Allegan,Home Based Services,,H0036,,15 Minutes,9,1034,81903.14
Allegan,Home Based Services,,H0036,ST,15 Minutes,0,0,0.00
Allegan,Peer Directed and Operated Support Services,,H0038,,15 minutes,0,0,0.00
Allegan,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0.00
Allegan,Substance Abuse: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0.00
Allegan,Peer Directed and Operated Support Services,,NA,,,0,0,0.00
Allegan,Assertive Community Treatment (ACT),,H0039,,15 Minutes,3,433,25980.00
Allegan,Community Living Supports in Independent living/own home,,H0043,,Per diem,38,12029,1977327.02
Allegan,Respite,,H0045,,Day,6,118,5326.52
Allegan,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0.00
Allegan,Substance Abuse: Laboratory,,H0048,,Encounter,0,0,0.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0.00
Allegan,Behavior Treatment Plan Review,,H2000,,Encounter,38,159,16059.00
Allegan,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,39,288,29088.00
Allegan,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0.00
Allegan,Crisis Intervention,,H2011,,15 Minutes,6,19,855.00
Allegan,"Substance Abuse: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0.00
Allegan,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,201,109867,179083.21
Allegan,Community Living Supports (15 Minutes),,H2015,,15 Minutes,251,645932,2157412.88
Allegan,Community Living Supports (Daily),,H2016,,Per Diem,21,6328,646215.36
Allegan,Community Living Supports (Daily),,H2016,TF,Per Diem,11,3096,252664.56
Allegan,Community Living Supports (Daily),,H2016,TG,Per Diem,38,11858,1359994.02
Allegan,Behavior Services,,H2019,,15 Minutes,10,231,9702.00
Allegan,Behavior Services,,H2019,TT,15 Minutes,11,626,40064.00
Allegan,Applied Behavioral Intervention (ABI).,,H2019,U5,15 Minutes,6,4161,90252.09
Allegan,Early Intensive Behavioral Intervention (EIBI),,H2019,"U5, TG",15 Minutes,20,26503,574850.07
Allegan,Crisis Intervention,,H2020,,Day,0,0,0.00
Allegan,Wraparound,,H2021,,15 Minutes,1,68,12648.00
Allegan,Supported Employment Services,,H2023,,15 minutes,137,20051,809470.49
Allegan,Mental Health Therapy,,H2027,,15 Minutes,0,0,0.00
Allegan,Substance Abuse Services: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0.00
Allegan,Clubhouse Psychosocial Rehabilitation Programs,,H2030,,15 Minutes,0,0,0.00
Allegan,Home Based Services,,H2033,,15 Minutes,0,0,0.00
Allegan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0.00
Allegan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0.00
Allegan,Repair/Svc DME Non-Oxygen Equipment (Children's Waiver),,K0739,,15 Minutes,0,0,0.00
Allegan,Medication Review,,M0064,,"Encounter Face-to-Face, generally less than 10 minutes",0,0,0.00
Allegan,Transportation,,S0209,,Per Mile,0,0,0.00
Allegan,Transportation,,S0215,,Per Mile,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,S0215,HF,Per Mile,0,0,0.00
Allegan,Home Care Training to Home Care Client ABA,,S5108,U5,15 Minutes,26,3695,118831.20
Allegan,Family Training - EBP,,S5110,,15 Minutes,0,0,0.00
Allegan,Family Training,,S5111,,Encounter,62,1056,288288.00
Allegan,Family Training,,S5111,HA,Encounter,0,0,0.00
Allegan,Family Training,,S5111,HM,Encounter,0,0,0.00
Allegan,"Home Care Training, Non-Family (Children's Waiver)",,S5116,,Encounter,0,0,0.00
Allegan,Foster Care,,S5140,,Day,0,0,0.00
Allegan,Foster Care,,S5145,,Day,0,0,0.00
Allegan,Respite,,S5150,,15 Minutes,0,0,0.00
Allegan,Respite,,S5151,,Per Diem,0,0,0.00
Allegan,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0.00
Allegan,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0.00
Allegan,Environmental Modification,,S5165,,Service,4,4,55868.00
Allegan,Enhanced Medical Equipment-Supplies,,S5199,,Item,1,2,80.00
Allegan,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0.00
Allegan,Private Duty Nursing,582,S9123,,Hour,0,0,0.00
Allegan,Private Duty Nursing,,S9123,,Hour,0,0,0.00
Allegan,Private Duty Nursing,,S9123,TT,Hour,0,0,0.00
Allegan,Private Duty Nursing,582,S9124,,Hour,0,0,0.00
Allegan,Private Duty Nursing,,S9124,,Hour,0,0,0.00
Allegan,Private Duty Nursing,,S9124,TT,Hour,0,0,0.00
Allegan,Health Services,,S9445,,Encounter,0,0,0.00
Allegan,Health Services,,S9446,,Encounter,0,0,0.00
Allegan,Health Services,,S9470,,Encounter,0,0,0.00
Allegan,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0.00
Allegan,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0.00
Allegan,Residential Room and Board,,S9976,,Day,0,0,0.00
Allegan,Substance Abuse Services: Residential Room and Board,,S9976,HF,Day,0,0,0.00
Allegan,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0.00
Allegan,Private Duty Nursing,,T1000,TD,Up to 15 min,1,11959,96030.77
Allegan,Private Duty Nursing,,T1000,TE,Up to 15 min,1,3594,28859.82
Allegan,Assessment,,T1001,,Encounter,43,48,7200.00
Allegan,Health Services,,T1002,,Up to 15 min,53,1633,269445.00
Allegan,Respite Care,,T1005,,15 Minutes,95,60079,231904.94
Allegan,Respite Care,,T1005,TD,15 Minutes,0,0,0.00
Allegan,Respite Care,,T1005,TE,15 Minutes,2,2650,10229.00
Allegan,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,0,0,0.00
Allegan,Substance Abuse: Treatment Planning,,T1007,HF,Encounter,0,0,0.00
Allegan,Substance Abuse: Child Sitting Services,,T1009,,Encounter,0,0,0.00
Allegan,Substance Abuse: Recovery Support Services,,T1012,,Encounter,0,0,0.00
Allegan,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0.00
Allegan,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,509,12545,1179230.00
Allegan,Targeted Case Management,,T1017,,15 minutes,15,628,27004.00
Allegan,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,10,161,6923.00
Allegan,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,30,8821,114849.42
Allegan,Personal Care in Licensed Specialized Residential Setting,,T1020,TF,Day,20,5771,244690.40
Allegan,Personal Care in Licensed Specialized Residential Setting,,T1020,TG,Day,22,6752,891669.12
Allegan,Assessments,,T1023,,Encounter,12,16,4304.00
Allegan,Prevention Services - Direct Model,,T1027,,15 Minutes,0,0,0.00
Allegan,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,5,91,3640.00
Allegan,Transportation,,T2001,,Encounter,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,T2001,HF,Encounter,0,0,0.00
Allegan,Transportation,,T2002,,Per Diem,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,T2002,HF,Per Diem,0,0,0.00
Allegan,Transportation,,T2003,,Encounter / Trip,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,T2003,HF,Encounter / Trip,0,0,0.00
Allegan,Transportation,,T2004,,Encounter,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,T2004,HF,Encounter,0,0,0.00
Allegan,Transportation,,T2005,,Encounter,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,T2005,HF,Encounter,0,0,0.00
