CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIA-Cases,SumOfMIA-Units,SumOfMIA-Cost
Allegan,Substance Abuse: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0.00
Allegan,New Patient Evaluation and Management,,99205,,Encounter,0,0,0.00
Allegan,Substance Abuse: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0.00
Allegan,Established Patient Evaluation and Management,,99211,,Encounter,4,10,780.00
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0.00
Allegan,Established Patient Evaluation and Management,,99212,,Encounter,20,20,1760.00
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0.00
Allegan,Established Patient Evaluation and Management,,99213,,Encounter,541,1839,194934.00
Allegan,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0.00
Allegan,Established Patient Evaluation and Management,,99214,,Encounter,64,76,14136.00
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0.00
Allegan,Established Patient Evaluation and Management,,99215,,Encounter,90,90,22230.00
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0.00
Allegan,Additional Codes-Physician Services,,99221,,30 Minutes,4,4,184.00
Allegan,Additional Codes-Physician Services,,99222,,50 Minutes,9,11,1012.00
Allegan,Additional Codes-Physician Services,,99223,,70 Minutes,40,43,5848.00
Allegan,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0.00
Allegan,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0.00
Allegan,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0.00
Allegan,Additional Codes-Physician Services,,99231,,15 Minutes,30,176,4048.00
Allegan,Additional Codes-Physician Services,,99232,,25 minutes,43,170,7820.00
Allegan,Additional Codes-Physician Services,,99233,,35 Minutes,35,96,8832.00
Allegan,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0.00
Allegan,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0.00
Allegan,Assessment,,99324,,Encounter,0,0,0.00
Allegan,Assessment,,99325,,Encounter,0,0,0.00
Allegan,Assessment,,99326,,Encounter,0,0,0.00
Allegan,Assessment,,99327,,Encounter,0,0,0.00
Allegan,Assessment,,99328,,Encounter,0,0,0.00
Allegan,Assessment,,99334,,Encounter,0,0,0.00
Allegan,Assessment,,99335,,Encounter,0,0,0.00
Allegan,Assessment,,99336,,Encounter,0,0,0.00
Allegan,Assessment,,99337,,Encounter,0,0,0.00
Allegan,Assessment,,99341,,Encounter,0,0,0.00
Allegan,Assessment,,99342,,Encounter,0,0,0.00
Allegan,Assessment,,99343,,Encounter,0,0,0.00
Allegan,Assessment,,99344,,Encounter,0,0,0.00
Allegan,Assessment,,99345,,Encounter,0,0,0.00
Allegan,Assessment,,99347,,Encounter,0,0,0.00
Allegan,Assessment,,99348,,Encounter,0,0,0.00
Allegan,Assessment,,99349,,Encounter,0,0,0.00
Allegan,Assessment,,99350,,Encounter,0,0,0.00
Allegan,Medication Administration,,99506,,Encounter,0,0,0.00
Allegan,Medication Management,,99605,,15 Minutes,0,0,0.00
Allegan,Transportation,,A0080,,Per mile,0,0,0.00
Allegan,Transportation,,A0090,,Per mile,0,0,0.00
Allegan,Transportation,,A0100,,Per one-way trip,0,0,0.00
Allegan,Substance Abuse: Transportation,,A0100,,Per one-way trip,0,0,0.00
Allegan,Transportation,,A0110,,Per one-way trip,0,0,0.00
Allegan,Substance Abuse: Transportation,,A0110,HF,Per one-way trip,0,0,0.00
Allegan,Transportation,,A0120,,Per one-way trip,0,0,0.00
Allegan,Transportation,,A0130,,Per one-way trip,0,0,0.00
Allegan,Transportation,,A0140,,Per one-way trip,0,0,0.00
Allegan,Transportation,,A0170,,,0,0,0.00
Allegan,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0.00
Allegan,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0.00
Allegan,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0.00
Allegan,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0.00
Allegan,Substance Abuse: Recovery Support Services,,G0409,,15 Minutes,0,0,0.00
Allegan,Substance Abuse: Individual Assessment,,H0001,,Encounter,0,0,0.00
Allegan,Assessment,,H0002,,Encounter,0,0,0.00
Allegan,Substance Abuse: Laboratory,,H0003,,Encounter,0,0,0.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0.00
Allegan,Substance Abuse: Case Management,,H0006,,Encounter,0,0,0.00
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0.00
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0.00
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0.00
Allegan,Substance Abuse: Outpatient Care,906,H0015,,Day,0,0,0.00
Allegan,Crisis Residential Services,,H0018,,Day,47,231,74317.32
Allegan,Substance Abuse: Residential,1002,H0018,HF,Day,0,0,0.00
Allegan,Substance Abuse: Residential,1002,H0019,HF,Day,0,0,0.00
Allegan,Substance Abuse: Methadone,,H0020,,Encounter,0,0,0.00
Allegan,Substance Abuse: Early Intervention,,H0022,,Encounter,0,0,0.00
Allegan,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0.00
Allegan,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0.00
Allegan,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0.00
Allegan,Crisis Intervention,,H0030,,Per Service,0,0,0.00
Allegan,Assessment,,H0031,,Encounter,469,485,149380.00
Allegan,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,0,0,0.00
Allegan,Treatment Planning,,H0032,,Encounter,280,329,106596.00
Allegan,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,204,295,95580.00
Allegan,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0.00
Allegan,Health Services,,H0034,,15 Minutes,0,0,0.00
Allegan,Home Based Services,,H0036,,15 Minutes,11,826,65427.46
Allegan,Home Based Services,,H0036,ST,15 Minutes,0,0,0.00
Allegan,Peer Directed and Operated Support Services,,H0038,,15 minutes,17,301,22274.00
Allegan,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0.00
Allegan,Substance Abuse: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0.00
Allegan,Peer Directed and Operated Support Services,,NA,,,0,0,0.00
Allegan,Assertive Community Treatment (ACT),,H0039,,15 Minutes,77,9894,593640.00
Allegan,Community Living Supports in Independent living/own home,,H0043,,Per diem,5,1230,202187.40
Allegan,Respite,,H0045,,Day,5,95,4288.30
Allegan,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0.00
Allegan,Substance Abuse: Laboratory,,H0048,,Encounter,0,0,0.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0.00
Allegan,Behavior Treatment Plan Review,,H2000,,Encounter,8,31,3131.00
Allegan,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,6,57,5757.00
Allegan,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0.00
Allegan,Crisis Intervention,,H2011,,15 Minutes,68,276,12420.00
Allegan,"Substance Abuse: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0.00
Allegan,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,34,11210,18272.30
Allegan,Community Living Supports (15 Minutes),,H2015,,15 Minutes,38,91851,306782.34
Allegan,Community Living Supports (Daily),,H2016,,Per Diem,10,2561,261529.32
Allegan,Community Living Supports (Daily),,H2016,TF,Per Diem,13,3333,272006.13
Allegan,Community Living Supports (Daily),,H2016,TG,Per Diem,22,5825,668069.25
Allegan,Behavior Services,,H2019,,15 Minutes,14,447,18774.00
Allegan,Behavior Services,,H2019,TT,15 Minutes,13,682,43648.00
Allegan,Crisis Intervention,,H2020,,Day,0,0,0.00
Allegan,Wraparound,,H2021,,15 Minutes,2,51,9486.00
Allegan,Wraparound (SED Waiver),,H2022,,Day,0,0,0.00
Allegan,Wraparound (SED Waiver),,H2022,TT,Day,0,0,0.00
Allegan,Supported Employment Services,,H2023,,15 minutes,60,5282,216509.18
Allegan,Mental Health Therapy,,H2027,,15 Minutes,0,0,0.00
Allegan,Substance Abuse Services: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0.00
Allegan,Clubhouse Psychosocial Rehabilitation Programs,,H2030,,15 Minutes,0,0,0.00
Allegan,Home Based Services,,H2033,,15 Minutes,0,0,0.00
Allegan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0.00
Allegan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0.00
Allegan,Medication Review,,M0064,,"Encounter Face-to-Face, generally less than 10 minutes",0,0,0.00
Allegan,Transportation,,S0209,,Per Mile,0,0,0.00
Allegan,Transportation,,S0215,,Per Mile,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,S0215,HF,Per Mile,0,0,0.00
Allegan,Family Training - EBP,,S5110,,15 Minutes,0,0,0.00
Allegan,Family Training,,S5111,,Encounter,0,0,0.00
Allegan,Family Training,,S5111,HA,Encounter,0,0,0.00
Allegan,Family Training,,S5111,HM,Encounter,0,0,0.00
Allegan,Foster Care,,S5140,,Day,0,0,0.00
Allegan,Foster Care,,S5145,,Day,0,0,0.00
Allegan,Respite,,S5150,,15 Minutes,0,0,0.00
Allegan,Respite,,S5151,,Per Diem,0,0,0.00
Allegan,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0.00
Allegan,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0.00
Allegan,Environmental Modification,,S5165,,Service,0,0,0.00
Allegan,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0.00
Allegan,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0.00
Allegan,Health Services,,S9445,,Encounter,0,0,0.00
Allegan,Health Services,,S9446,,Encounter,0,0,0.00
Allegan,Health Services,,S9470,,Encounter,0,0,0.00
Allegan,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0.00
Allegan,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0.00
Allegan,Residential Room and Board,,S9976,,Day,0,0,0.00
Allegan,Substance Abuse Services: Residential Room and Board,,S9976,HF,Day,0,0,0.00
Allegan,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0.00
Allegan,Private Duty Nursing,,T1000,TD,Up to 15 min,0,0,0.00
Allegan,Private Duty Nursing,,T1000,TE,Up to 15 min,0,0,0.00
Allegan,Assessment,,T1001,,Encounter,1,1,150.00
Allegan,Health Services,,T1002,,Up to 15 min,4,103,16995.00
Allegan,Respite Care,,T1005,,15 Minutes,0,0,0.00
Allegan,Respite Care,,T1005,TD,15 Minutes,0,0,0.00
Allegan,Respite Care,,T1005,TE,15 Minutes,0,0,0.00
Allegan,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,0,0,0.00
Allegan,Substance Abuse: Treatment Planning,,T1007,HF,Encounter,0,0,0.00
Allegan,Substance Abuse: Child Sitting Services,,T1009,,Encounter,0,0,0.00
Allegan,Substance Abuse: Recovery Support Services,,T1012,,Encounter,0,0,0.00
Allegan,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0.00
Allegan,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,212,5073,476862.00
Allegan,Targeted Case Management,,T1017,,15 minutes,160,5534,237962.00
Allegan,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,35,688,29584.00
Allegan,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,32,8676,112961.52
Allegan,Personal Care in Licensed Specialized Residential Setting,,T1020,TF,Day,10,2896,122790.40
Allegan,Personal Care in Licensed Specialized Residential Setting,,T1020,TG,Day,2,204,26940.24
Allegan,Assessments,,T1023,,Encounter,237,286,76934.00
Allegan,Prevention Services - Direct Model,,T1027,,15 Minutes,0,0,0.00
Allegan,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,0,0,0.00
Allegan,Transportation,,T2001,,Encounter,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,T2001,HF,Encounter,0,0,0.00
Allegan,Transportation,,T2002,,Per Diem,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,T2002,HF,Per Diem,0,0,0.00
Allegan,Transportation,,T2003,,Encounter / Trip,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,T2003,HF,Encounter / Trip,0,0,0.00
Allegan,Transportation,,T2004,,Encounter,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,T2004,HF,Encounter,0,0,0.00
Allegan,Transportation,,T2005,,Encounter,0,0,0.00
Allegan,Substance Abuse Services: Transportation,,T2005,HF,Encounter,0,0,0.00
Allegan,Prevention Services - Direct Model,,T2024,,,0,0,0.00
Allegan,Fiscal Intermediary Services,,T2025,,Month,12,120,11857.20
Allegan,Enhanced Medical Equipment-Supplies,,T2028,,Item,0,0,0.00
Allegan,Enhanced Medical Equipment-Supplies,,T2029,,Item,0,0,0.00
Allegan,Crisis Intervention,,T2034,,Day,0,0,0.00
Allegan,Respite Care,,T2036,,Per session. One night = one session,0,0,0.00
Allegan,Respite Care,,T2037,,Per session. One day/partial day = one session,0,0,0.00
Allegan,Housing Assistance,,T2038,,Service,1,1,550.00
Allegan,Enhanced Medical Equipment-Supplies,,T2039,,Item,0,0,0.00
Allegan,Goods and Services,,T5999,HK,Per Item,0,0,0.00
Allegan,Wraparound Services,,T5999,,Per Item,0,0,0.00
Allegan,Pharmacy (Drugs and Other Biologicals),,,,,0,0,0.00
Allegan,Other,,,,,0,0,0.00
Allegan,Aggregate for 'J' Codes,,ALL,,,0,0,0.00
AuSable Valley,State Psychiatric Hospital - Inpatient PT22,"0100, 0101, 0114, 0124, 0134, 0154",,PT22,Day,1,50,26548.00
AuSable Valley,State Mental Retardation Facility - Inpatient (ICF/MR) PT65,100,,PT65,Day,0,0,0.00
AuSable Valley,Local Psychiatric Hospital/IMD PT68,"0100, 0101, 0114, 0124, 0134, 0154",,PT68,Day,12,116,55980.00
AuSable Valley,Local Psychiatric Hospital - Acute Community PT73,"0100, 0101, 0114, 0124, 0134, 0154",,PT73,Day,176,1237,578891.00
AuSable Valley,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258",,,,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0.00
AuSable Valley,ECT Anesthesia,370,,,,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0.00
AuSable Valley,ECT Recovery Room,710,,,,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0.00
AuSable Valley,Crisis Observation Care,762,,,Hour,0,0,0.00
AuSable Valley,Additional Codes-ECT Facility Charge,901,,,Encounter,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0.00
AuSable Valley,Outpatient Partial Hospitalization,912,,,Day,0,0,0.00
AuSable Valley,Outpatient Partial Hospitalization,913,,,Day,0,0,0.00
AuSable Valley,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0.00
