"CMH Name","DD Group Num","DD Serv Num","FirstOfService Description","FirstOfRevenue Code","FirstOfModifier","FirstOfHCPCS Code","FirstOfUnit type","SumOfDD-Cases","SumOfDD-Units","SumOfDD-Cost","SumOfOther Cost","FirstOfDD Totals","FirstOfDD Unique Consumers"
"Allegan",47,47,"ABA Adaptive Treatment",,"U5","0364T","First 30 Minutes",82.00,8229.00,266142.00,302357.00,14064180.00,558.00
"Allegan",48,48,"ABA Adaptive Treatment",,"U5","0365T","Each Additional 30 Minutes",82.00,39482.00,1269633.00,1450164.00,14064180.00,558.00
"Allegan",49,49,"ABA Group Adaptive Behavior Treatment",,"U5","0366T","First 30 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",50,50,"ABA Group Adaptive Behavior Treatment",,"U5","0367T","Each Additional 30 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",51,51,"ABA Clinical Observation and Direction of Adaptive Behavior Treatment",,"U5","0368T","First 30 Minutes",82.00,2123.00,144957.00,162966.00,14064180.00,558.00
"Allegan",52,52,"ABA Clinical Observation and Direction of Adaptive Behavior Treatment",,"U5","0369T","Each Additional 30 Minutes",82.00,3785.00,259810.00,297266.00,14064180.00,558.00
"Allegan",53,53,"ABA Family Behavior Treatment Guidance",,"U5","0370T","Encounter",65.00,434.00,59674.00,64664.00,14064180.00,558.00
"Allegan",54,54,"ABA Family Behavior Treatment Guidance",,"U5","0371T","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",55,55,"ABA Adaptive Behavior Treatment Social Skills Group",,"U5","0372T","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",56,56,"ABA Exposure Adaptive Behavior Treatment",,"U5","0373T","First 60 Minutes",3.00,119.00,15149.00,15149.00,14064180.00,558.00
"Allegan",57,57,"ABA Exposure Adaptive Behavior Treatment",,"U5","0374T","Each Additional 30 Minutes",3.00,674.00,42968.00,42968.00,14064180.00,558.00
"Allegan",58,58,"Drug Screen",,,"80305","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",59,59,"Drug Screen",,,"80306","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",60,60,"Drug Screen",,,"80307","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",61,61,"Interactive Complexity - Add On Code",,,"90785","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",62,62,"Assessment for Autism",,"U5","90785","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",63,63,"Substance Abuse - Interactive Complexity - Add On Code",,"HF","90785","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",64,64,"Assessment",,,"90791
","Encounter",1.00,1.00,734.00,5321.00,14064180.00,558.00
"Allegan",65,65,"Substance Use: Assessment",,"HF","90791","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",66,66,"Assessment for Autism",,"U5","90791","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",67,67,"Assessment",,,"90792","Encounter",23.00,23.00,13885.00,86094.00,14064180.00,558.00
"Allegan",68,68,"Substance Use: Assessment",,"HF","90792","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",69,69,"Assessment for Autism",,"U5","90792","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",70,70,"Mental Health: Outpatient Care",,,"90832","30 Minutes",46.00,184.00,15660.00,49450.00,14064180.00,558.00
"Allegan",71,71,"Substance Use Disorder: Outpatient Care","0900, 0906, 0914, 0915, 0916, 0919","HF","90832","30 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",72,72,"Assessment",,,"90833","30 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",73,73,"Mental Health: Outpatient Care",,,"90834","45 Minutes",40.00,231.00,31261.00,202488.00,14064180.00,558.00
"Allegan",74,74,"Substance Use Disorder: Outpatient Care","0900, 0906, 0914, 0915, 0916, 0919","HF","90834","45 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",75,75,"Assessment",,,"90836","45 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",76,76,"Mental Health: Outpatient Care",,,"90837","60 Minutes",35.00,183.00,30098.00,280157.00,14064180.00,558.00
"Allegan",77,77,"Substance Use Disorder: Outpatient Care",,"HF","90837","60 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",78,78,"Assessment",,,"90838","60 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",79,79,"Psychotherapy for Crisis First 60 Minutes",,,"90839","First 30-74 Min.",0.00,0.00,0.00,752.00,14064180.00,558.00
"Allegan",80,80,"Psychotherapy for Crisis Each Additional 30 Minutes",,,"90840","Each Additional 30 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",81,81,"Therapy-Family Therapy",,,"90846","Encounter",3.00,6.00,1788.00,19209.00,14064180.00,558.00
"Allegan",82,82,"Substance Use Disorder: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919","HF","90846","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",83,83,"Therapy-Family Therapy",,,"90847","Encounter",9.00,25.00,7797.00,62479.00,14064180.00,558.00
"Allegan",84,84,"Substance Use Disorder: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919","HF","90847","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",85,85,"Therapy-Family Therapy",,,"90849","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",86,86,"Therapy-Family Therapy",,"HS","90849","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",87,87,"Substance Use Disorder: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919","HF","90849","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",88,88,"Therapy-Group Therapy",,,"90853","Encounter",2.00,17.00,639.00,84531.00,14064180.00,558.00
"Allegan",89,89,"Substance Use Disorder: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919","HF","90853","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",91,91,"Additional Codes-ECT Physician",,,"90870","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",92,92,"Additional Codes-ECT Physician","0901",,"90870","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",93,93,"Assessments-Other",,,"90887","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",94,94,"Speech & Language Therapy ",,,"92507","Encounter",6.00,64.00,10098.00,12119.00,14064180.00,558.00
"Allegan",95,95,"Speech & Language Therapy ",,,"92508","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",96,96,"Speech & Language Therapy ",,,"92521","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",97,97,"Speech & Language Therapy ",,,"92522","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",98,98,"Speech & Language Therapy ",,,"92523","Encounter",0.00,0.00,0.00,138.00,14064180.00,558.00
"Allegan",99,99,"Speech & Language Therapy ",,,"92524","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",100,100,"Speech & Language Therapy ",,,"92526","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",101,101,"Speech & Language Therapy ",,,"92607","First Hour",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",102,102,"Speech & Language Therapy ",,,"92608","Each Additional  30 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",103,103,"Speech & Language Therapy ",,,"92609","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",104,104,"Speech & Language Therapy ",,,"92610","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",105,105,"Evaluation of Auditory Rehabilitation Status (Children's Waiver)",,,"92626","First Hour",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",106,106,"Evaluation of Auditory Rehabilitation Status (Children's Waiver)",,,"92627","Each Additional 15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",107,107,"Auditory Rehabilitation Preling Hearing Loss (Children's Waiver)",,,"92630","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",108,108,"Auditory Rehabilitation; Post-Lingual Hearing Loss (Children's Waiver)",,,"92633","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",109,109,"Psychological Testing PSYCH/PHYS ",,,"96101","Per Hour",5.00,5.00,708.00,1585.00,14064180.00,558.00
"Allegan",110,110,"Assessment for Autism",,"U5","96101","Hour",5.00,7.00,615.00,615.00,14064180.00,558.00
"Allegan",111,111,"Psychological Testing by Technician ",,,"96102","Per Hour",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",112,112,"Assessment for Autism",,"U5","96102","Hour",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",113,113,"Psychological Testing by Comp ",,,"96103","Per Hour",1.00,1.00,157.00,1816.00,14064180.00,558.00
"Allegan",114,114,"Assessments-Other",,,"96105","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",115,115,"Assessments-Other",,,"96110","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",116,116,"Assessments-Other",,,"96111","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",117,117,"Neurobehavioral Status Exam",,,"96116","Per Hour",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",118,118,"Neuropsych test by Psych/Phys ",,,"96118","Per Hour",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",119,119,"Assessment for Autism",,"U5","96118","Hour",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",120,120,"Neuropsych test by Tech ",,,"96119","Per Hour",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",121,121,"Assessment for Autism",,"U5","96119","Hour",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",122,122,"Neuropsych test Admin w/Comp ",,,"96120","Per Hour",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",123,123,"Assessments-Other",,,"96127",,0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",124,124,"Medication Administration",,,"96372","Encounter",10.00,134.00,5693.00,33030.00,14064180.00,558.00
"Allegan",125,125,"Occupational or Physical Therapy",,,"97110","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",126,126,"Occupational or Physical Therapy",,,"97112","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",127,127,"Occupational or Physical Therapy",,,"97113","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",128,128,"Occupational or Physical Therapy",,,"97116","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",129,129,"Occupational or Physical Therapy",,,"97124","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",130,130,"Occupational or Physical Therapy",,,"97140","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",131,131,"Occupational or Physical Therapy",,,"97150","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",132,132,"Physical Therapy",,,"97161","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",133,133,"Physical Therapy",,,"97162","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",134,134,"Physical Therapy",,,"97163","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",135,135,"Physical Therapy",,,"97164","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",136,136,"Occupational Therapy",,,"97165","Encounter",0.00,0.00,0.00,79.00,14064180.00,558.00
"Allegan",137,137,"Occupational Therapy",,,"97166","Encounter",0.00,0.00,0.00,79.00,14064180.00,558.00
"Allegan",138,138,"Occupational Therapy",,,"97167","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",139,139,"Occupational Therapy",,,"97168","Encounter",4.00,4.00,314.00,314.00,14064180.00,558.00
"Allegan",140,140,"Occupational or Physical Therapy",,,"97530","15 Minutes",13.00,2906.00,57068.00,64432.00,14064180.00,558.00
"Allegan",141,141,"Occupational or Physical Therapy 
(Note: Retired 12/31/17)",,,"97532","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",142,142,"Occupational or Physical Therapy",,,"97533","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",143,143,"Occupational or Physical Therapy",,,"97535","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",144,144,"Occupational or Physical Therapy",,,"97537","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",145,145,"Occupational or Physical Therapy",,,"97542","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",146,146,"Occupational or Physical Therapy",,,"97750","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",147,147,"Occupational Therapy",,,"97755","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",148,148,"Occupational or Physical Therapy",,,"97760","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",149,149,"Prosthetic Training (Children's Waiver)",,,"97761","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",150,150,"C/O for Orthotic/Prosth Use  or Physical Therapy
(Note: Retired 12/31/17)",,,"97762","15 minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",151,151,"Occupational or Physical Therapy",,,"97763","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",152,152,"Assessment or Health Services",,,"97802","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",153,153,"Assessment or Health Services",,,"97803","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",154,154,"Health Services",,,"97804","30 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",155,155,"Substance Use Disorder: Acupuncture",,,"97810","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",156,156,"Substance Use Disorder: Acupuncture",,,"97811","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",157,157,"New Patient Evaluation and Management",,,"99201","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",158,158,"Substance Use Disorder: New Patient Evaluation and Management",,"HF","99201","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",159,159,"New Patient Evaluation and Management",,,"99202","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",160,160,"Substance Use Disorder: New Patient Evaluation and Management",,"HF","99202","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",161,161,"New Patient Evaluation and Management",,,"99203","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",162,162,"Substance Use Disorder: New Patient Evaluation and Management",,"HF","99203","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",163,163,"New Patient Evaluation and Management",,,"99204","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",164,164,"Substance Use Disorder: New Patient Evaluation and Management",,"HF","99204","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",165,165,"New Patient Evaluation and Management",,,"99205","Encounter",1.00,1.00,184.00,184.00,14064180.00,558.00
"Allegan",166,166,"Substance Use Disorder: New Patient Evaluation and Management",,"HF","99205","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",167,167,"Established Patient Evaluation and Management",,,"99211","Encounter",0.00,0.00,0.00,1083.00,14064180.00,558.00
"Allegan",168,168,"Substance Use Disorder: Established Patient Evaluation and Management",,"HF","99211","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",169,169,"Established Patient Evaluation and Management",,,"99212","Encounter",2.00,2.00,246.00,2195.00,14064180.00,558.00
"Allegan",170,170,"Substance Use Disorder: Established Patient Evaluation and Management",,"HF","99212","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",171,171,"Established Patient Evaluation and Management",,,"99213","Encounter",193.00,724.00,93439.00,325148.00,14064180.00,558.00
"Allegan",172,172,"Sustance Abuse: Established Patient Evaluation and Management",,"HF","99213","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",173,173,"Established Patient Evaluation and Management",,,"99214","Encounter",21.00,27.00,5545.00,16081.00,14064180.00,558.00
"Allegan",174,174,"Substance Use Disorder: Established Patient Evaluation and Management",,"HF","99214","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",175,175,"Established Patient Evaluation and Management",,,"99215","Encounter",17.00,18.00,4761.00,20846.00,14064180.00,558.00
"Allegan",176,176,"Substance Use Disorder: Established Patient Evaluation and Management",,"HF","99215","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",177,177,"Additional Codes-Physician Services",,,"99221","30 Minutes",1.00,1.00,111.00,803.00,14064180.00,558.00
"Allegan",178,178,"Additional Codes-Physician Services",,,"99222","50 Minutes",0.00,0.00,0.00,493.00,14064180.00,558.00
"Allegan",179,179,"Additional Codes-Physician Services",,,"99223","70 Minutes",1.00,2.00,0.00,2261.00,14064180.00,558.00
"Allegan",180,180,"Additional Codes-Physician Services",,,"99224","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",181,181,"Additional Codes-Physician Services",,,"99225","25 minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",182,182,"Additional Codes-Physician Services",,,"99226","35 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",183,183,"Additional Codes-Physician Services",,,"99231","15 Minutes",2.00,5.00,175.00,3056.00,14064180.00,558.00
"Allegan",184,184,"Additional Codes-Physician Services",,,"99232","25 minutes",3.00,11.00,467.00,8702.00,14064180.00,558.00
"Allegan",185,185,"Additional Codes-Physician Services",,,"99233","35 Minutes",2.00,5.00,180.00,6623.00,14064180.00,558.00
"Allegan",186,186,"Additional Codes-Physician Services",,,"99238","<= 30 Minutes",0.00,0.00,0.00,981.00,14064180.00,558.00
"Allegan",187,187,"Additional Codes-Physician Services",,,"99239","> 30 Minutes",1.00,2.00,28.00,1741.00,14064180.00,558.00
"Allegan",188,188,"Substance Use Disorder: Physician Consultations",,"HF","99241","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",189,189,"Substance Use Disorder: Physician Consultations",,"HF","99242","30 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",190,190,"Substance Use Disorder: Physician Consultations",,"HF","99243","40 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",191,191,"Substance Use Disorder: Physician Consultations",,"HF","99244","60 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",192,192,"Substance Use Disorder: Physician Consultations",,"HF","99245","80 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",193,193,"Substance Use Disorder: Physician Consultations",,"HF","99251","20 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",194,194,"Substance Use Disorder: Physician Consultations",,"HF","99252","40 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",195,195,"Substance Use Disorder: Physician Consultations",,"HF","99253","55 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",196,196,"Substance Use Disorder: Physician Consultations",,"HF","99254","80 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",197,197,"Substance Use Disorder: Physician Consultations",,"HF","99255","110 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",198,198,"Nursing Facility Services evaluation and management",,,"99304","25 minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",199,199,"Nursing Facility Services evaluation and management",,,"99305","35 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",200,200,"Nursing Facility Services evaluation and management",,,"99306","45 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",201,201,"Nursing Facility Services evaluation and management",,,"99307","10 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",202,202,"Nursing Facility Services evaluation and management",,,"99308","15 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",203,203,"Nursing Facility Services evaluation and management",,,"99309","25 minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",204,204,"Nursing Facility Services evaluation and management",,,"99310","35 Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",205,205,"Assessment",,,"99324","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",206,206,"Assessment",,,"99325","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",207,207,"Assessment",,,"99326","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",208,208,"Assessment",,,"99327","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",209,209,"Assessment",,,"99328","Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
