CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIA-Cases,SumOfMIA-Units,SumOfMIA-Cost,SumOfOther Cost,FirstOfMIA Unique Consumers
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0,956
Allegan,Additional Codes-ECT Physician,,90870,,Encounter,1,5,2777,2777,956
Allegan,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0,0,956
Allegan,Assessments-Other,,90887,,Encounter,0,0,0,0,956
Allegan,Speech & Language Therapy ,,92507,,Encounter,1,3,150,3600,956
Allegan,Speech & Language Therapy ,,92508,,Encounter,0,0,0,0,956
Allegan,Speech & Language Therapy ,,92521,,Encounter,0,0,0,0,956
Allegan,Speech & Language Therapy ,,92522,,Encounter,0,0,0,0,956
Allegan,Speech & Language Therapy ,,92523,,Encounter,1,1,195.92,1106.93,956
Allegan,Speech & Language Therapy ,,92524,,Encounter,0,0,0,0,956
Allegan,Speech & Language Therapy ,,92526,,Encounter,0,0,0,0,956
Allegan,Speech & Language Therapy ,,92607,,First Hour,0,0,0,0,956
Allegan,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0,0,956
Allegan,Speech & Language Therapy ,,92609,,Encounter,0,0,0,0,956
Allegan,Speech & Language Therapy ,,92610,,Encounter,0,0,0,0,956
Allegan,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,5,5,805,4025,956
Allegan,Psychological Testing by Technician ,,96102,,Per Hour,0,0,0,0,956
Allegan,Psychological Testing by Comp ,,96103,,Per Hour,0,0,0,0,956
Allegan,Assessments-Other,,96105,,Encounter,0,0,0,0,956
Allegan,Assessments-Other,,96110,,Encounter,0,0,0,0,956
Allegan,Assessments-Other,,96111,,Encounter,0,0,0,0,956
Allegan,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0,0,956
Allegan,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0,0,956
Allegan,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0,0,956
Allegan,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0,0,956
Allegan,Assessments-Other,,96127,,,0,0,0,0,956
Allegan,Medication Administration,,96372,,Encounter,48,585,33345,40128,956
Allegan,Physical Therapy,,97001,,Encounter,0,0,0,0,956
Allegan,Physical Therapy,,97002,,Encounter,0,0,0,0,956
Allegan,Occupational Therapy,,97003,,Encounter,1,1,106,3074,956
Allegan,Occupational Therapy,,97004,,Encounter,0,0,0,2600,956
Allegan,Occupational or Physical Therapy,,97110,,15 Minutes,1,5,300,4140,956
Allegan,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0,956
Allegan,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0,956
Allegan,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0,956
Allegan,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0,956
Allegan,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0,78,956
Allegan,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0,956
Allegan,Occupational or Physical Therapy,,97530,,15 Minutes,0,0,0,60885,956
Allegan,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0,0,956
Allegan,Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0,5697,956
Allegan,Occupational or Physical Therapy,,97535,,15 Minutes,0,0,0,495,956
Allegan,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,52,956
Allegan,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0,0,956
Allegan,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,0,956
Allegan,Occupational Therapy,,97755,,15 Minutes,0,0,0,0,956
Allegan,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,0,956
Allegan,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,0,0,0,338,956
Allegan,Assessment or Health Services,,97802,,15 Minutes,0,0,0,0,956
Allegan,Assessment or Health Services,,97803,,15 Minutes,0,0,0,0,956
Allegan,Health Services,,97804,,30 Minutes,0,0,0,0,956
Allegan,Substance Abuse: Acupuncture,,97810,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: Acupuncture,,97811,,Encounter,0,0,0,0,956
Allegan,New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,0,956
Allegan,New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0,956
Allegan,New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0,956
Allegan,New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0,956
Allegan,New Patient Evaluation and Management,,99205,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0,956
Allegan,Established Patient Evaluation and Management,,99211,,Encounter,2,8,632,632,956
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0,956
Allegan,Established Patient Evaluation and Management,,99212,,Encounter,5,7,1288,1288,956
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0,956
Allegan,Established Patient Evaluation and Management,,99213,,Encounter,427,1467,253826,413355,956
Allegan,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0,956
Allegan,Established Patient Evaluation and Management,,99214,,Encounter,39,47,18612,28116,956
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0,956
Allegan,Established Patient Evaluation and Management,,99215,,Encounter,64,67,26398,41370,956
Allegan,Substance Abuse: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0,956
Allegan,Additional Codes-Physician Services,,99221,,30 Minutes,2,2,40.12,616.18,956
Allegan,Additional Codes-Physician Services,,99222,,50 Minutes,13,14,912.8,1458.02,956
Allegan,Additional Codes-Physician Services,,99223,,70 Minutes,17,17,1326.86,1608.86,956
Allegan,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0,956
Allegan,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0,956
Allegan,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0,956
Allegan,Additional Codes-Physician Services,,99231,,15 Minutes,18,73,2674.02,6870.02,956
Allegan,Additional Codes-Physician Services,,99232,,25 minutes,29,140,7120,8633,956
Allegan,Additional Codes-Physician Services,,99233,,35 Minutes,25,60,3212.26,4592.27,956
Allegan,Physician Consultations,,99241,,15 Minutes,0,0,0,0,956
Allegan,Substance Abuse: New or Established Patient Evaluation and Management,,99241,HF,15 Minutes,0,0,0,0,956
Allegan,Physician Consultations,,99242,,30 Minutes,0,0,0,0,956
Allegan,Substance Abuse: New or Established Patient Evaluation and Management,,99242,HF,30 Minutes,0,0,0,0,956
Allegan,Physician Consultations,,99243,,40 Minutes,0,0,0,0,956
Allegan,Substance Abuse: New or Established Patient Evaluation and Management,,99243,HF,40 Minutes,0,0,0,0,956
Allegan,Physician Consultations,,99244,,60 Minutes,0,0,0,0,956
Allegan,Substance Abuse: New or Established Patient Evaluation and Management,,99244,HF,60 Minutes,0,0,0,0,956
Allegan,Physician Consultations,,99245,,80 Minutes,0,0,0,0,956
Allegan,Substance Abuse: New or Established Patient Evaluation and Management,,99245,HF,80 Minutes,0,0,0,0,956
Allegan,Physician Consultations,,99251,,20 Minutes,0,0,0,0,956
Allegan,Physician Consultations,,99252,,40 Minutes,0,0,0,0,956
Allegan,Physician Consultations,,99253,,55 Minutes,0,0,0,0,956
Allegan,Physician Consultations,,99254,,80 Minutes,0,0,0,0,956
Allegan,Physician Consultations,,99255,,110 Minutes,0,0,0,0,956
Allegan,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0,0,956
Allegan,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0,0,956
Allegan,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0,0,956
Allegan,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0,0,956
Allegan,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0,0,956
Allegan,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0,0,956
Allegan,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0,0,956
Allegan,Assessment,,99324,,Encounter,0,0,0,0,956
Allegan,Assessment,,99325,,Encounter,0,0,0,0,956
Allegan,Assessment,,99326,,Encounter,0,0,0,0,956
Allegan,Assessment,,99327,,Encounter,0,0,0,0,956
Allegan,Assessment,,99328,,Encounter,0,0,0,0,956
Allegan,Assessment,,99334,,Encounter,2,3,179,445.21,956
Allegan,Assessment,,99335,,Encounter,2,3,255.08,440.12,956
Allegan,Assessment,,99336,,Encounter,1,1,175,448.78,956
Allegan,Assessment,,99337,,Encounter,2,4,760,760,956
Allegan,Assessment,,99341,,Encounter,0,0,0,0,956
Allegan,Assessment,,99342,,Encounter,0,0,0,0,956
Allegan,Assessment,,99343,,Encounter,0,0,0,0,956
Allegan,Assessment,,99344,,Encounter,0,0,0,0,956
Allegan,Assessment,,99345,,Encounter,0,0,0,0,956
Allegan,Assessment,,99347,,Encounter,0,0,0,0,956
Allegan,Assessment,,99348,,Encounter,0,0,0,0,956
Allegan,Assessment,,99349,,Encounter,0,0,0,0,956
Allegan,Assessment,,99350,,Encounter,0,0,0,0,956
Allegan,Medication Administration,,99506,,Encounter,0,0,0,0,956
Allegan,Medication Management,,99605,,15 Minutes,0,0,0,0,956
Allegan,Transportation,,A0080,,Per mile,0,0,0,0,956
Allegan,Transportation,,A0090,,Per mile,0,0,0,0,956
Allegan,Transportation,,A0100,,Per one-way trip,0,0,0,0,956
Allegan,Substance Abuse: Transportation,,A0100,,Per one-way trip,0,0,0,0,956
Allegan,Transportation,,A0110,,Per one-way trip,0,0,0,0,956
Allegan,Substance Abuse: Transportation,,A0110,HF,Per one-way trip,0,0,0,0,956
Allegan,Transportation,,A0120,,Per one-way trip,0,0,0,0,956
Allegan,Transportation,,A0130,,Per one-way trip,0,0,0,0,956
Allegan,Transportation,,A0140,,Per one-way trip,0,0,0,0,956
Allegan,Transportation,,A0170,,,0,0,0,0,956
Allegan,Additional Codes-Transportation,,A0425,,Per Mile,4,199,2204,2204,956
Allegan,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,7,7,4435.29,6906.29,956
Allegan,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0,0,956
Allegan,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0,0,956
Allegan,Substance Abuse: Recovery Support Services,,G0409,,15 Minutes,0,0,0,0,956
Allegan,Substance Abuse: Individual Assessment,,H0001,,Encounter,0,0,0,0,956
Allegan,Assessment ,,H0002,,Encounter,2,2,262,2882,956
Allegan,Substance Abuse: Laboratory,,H0003,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0,0,956
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: Case Management,,H0006,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0,0,956
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0,0,956
Allegan,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0,0,956
Allegan,Substance Abuse: Outpatient Care,906,H0015,,Day,0,0,0,0,956
Allegan,Crisis Residential Services,,H0018,,Day,53,249,98942,158567,956
Allegan,Substance Abuse: Residential,1002,H0018,HF,Day,0,0,0,0,956
Allegan,Substance Abuse: Residential,1002,H0019,HF,Day,0,0,0,0,956
Allegan,Substance Abuse: Methadone,,H0020,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: Early Intervention,,H0022,,Encounter,0,0,0,0,956
Allegan,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0,0,956
Allegan,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0,0,956
Allegan,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0,7350,956
Allegan,Assessment ,,H0031,,Encounter,200,209,64372,79156,956
Allegan,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,2,2,616,22792,956
Allegan,Treatment Planning,,H0032,,Encounter,240,295,67555,138316,956
Allegan,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,157,194,44426,57479,956
Allegan,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0,956
Allegan,Health Services,,H0034,,15 Minutes,0,0,0,0,956
Allegan,Home Based Services,,H0036,,15 Minutes,2,11,677,790997,956
Allegan,Home Based Services,,H0036,ST,15 Minutes,0,0,0,1355,956
Allegan,Peer Directed and Operated Support Services,,H0038,,15 minutes,14,331,31445,31445,956
Allegan,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0,0,956
Allegan,Substance Abuse: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0,0,956
Allegan,Peer Directed and Operated Support Services,,NA,,,0,0,0,0,956
Allegan,Assertive Community Treatment (ACT),,H0039,,15 Minutes,117,9541,634215,679616,956
Allegan,Community Living Supports in Independent living/own home,,H0043,,Per diem,5,1417,218572,2288667,956
Allegan,Respite,,H0045,,Day,1,2,100,1300,956
Allegan,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: Laboratory,,H0048,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0,0,956
Allegan,Behavior Treatment Plan Review,,H2000,,Encounter,7,30,4590,27387,956
Allegan,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,8,61,9333,48654,956
Allegan,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0,0,956
Allegan,Crisis Intervention,,H2011,,15 Minutes,36,108,7992,14356,956
Allegan,"Substance Abuse: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0,0,956
Allegan,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,33,8260,64534,421716,956
Allegan,Out of Home Non Vocational Habilitation,,H2014,HK,15 Minutes,0,0,0,533932,956
Allegan,Community Living Supports (15 Minutes),,H2015,,15 Minutes,43,65380,231111,2114335,956
Allegan,Community Living Supports (Daily),,H2016,,Per Diem,44,12677,1447864,4063495,956
Allegan,Behavior Services,,H2019,,15 Minutes,11,502,25027,33701,956
Allegan,Behavior Services,,H2019,TT,15 Minutes,11,1207,60174,74333,956
Allegan,Wraparound,,H2021,,15 Minutes,0,0,0,53760,956
Allegan,Wraparound (SED Waiver),,H2022,,Day,0,0,0,4875,956
Allegan,Wraparound (SED Waiver),,H2022,TT,Day,0,0,0,0,956
Allegan,Supported Employment Services,,H2023,,15 minutes,66,5120,360360,1765763,956
Allegan,Mental Health Therapy,,H2027,,15 Minutes,0,0,0,0,956
Allegan,Substance Abuse Services: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0,0,956
Allegan,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0,0,0,0,956
Allegan,Home Based Services,,H2033,,15 Minutes,0,0,0,0,956
Allegan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0,0,956
Allegan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0,0,956
Allegan,Transportation,,S0209,,Per Mile,0,0,0,0,956
Allegan,Transportation,,S0215,,Per Mile,0,0,0,0,956
Allegan,Substance Abuse Services: Transportation,,S0215,HF,Per Mile,0,0,0,0,956
Allegan,Family Training - EBP,,S5110,,15 Minutes,0,0,0,0,956
Allegan,Family Training,,S5111,,Encounter,0,0,0,116250,956
Allegan,Family Training,,S5111,HA,Encounter,0,0,0,0,956
Allegan,Family Training,,S5111,HM,Encounter,0,0,0,4050,956
Allegan,BHT/ABA Family Training,,S5111,U5,Encounter,0,0,0,17183.22,956
Allegan,Foster Care,,S5140,,Day,0,0,0,0,956
Allegan,Foster Care,,S5145,,Day,0,0,0,0,956
Allegan,Respite,,S5150,,15 Minutes,0,0,0,0,956
Allegan,Respite,,S5151,,Per Diem,0,0,0,0,956
Allegan,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0,0,956
Allegan,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0,0,956
Allegan,Environmental Modification ,,S5165,,Service,0,0,0,46599.4,956
Allegan,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0,0,956
Allegan,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0,0,956
Allegan,Health Services,,S9445,,Encounter,0,0,0,375,956
Allegan,Health Services,,S9446,,Encounter,1,1,95,95,956
Allegan,Health Services,,S9470,,Encounter,0,0,0,0,956
Allegan,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0,0,956
Allegan,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0,0,956
Allegan,Residential Room and Board,,S9976,,Day,0,0,0,0,956
Allegan,Substance Abuse Services: Residential Room and Board,,S9976,HF,Day,0,0,0,0,956
Allegan,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0,0,956
Allegan,Private Duty Nursing,,T1000,TD,Up to 15 min,0,0,0,81511.25,956
Allegan,Private Duty Nursing,,T1000,TE,Up to 15 min,0,0,0,18642.08,956
Allegan,Assessment,,T1001,,Encounter,5,5,635,5715,956
Allegan,Health Services,,T1002,,Up to 15 min,5,22,1760,36880,956
Allegan,Respite Care,,T1005,,15 Minutes,1,19,74,184025,956
Allegan,Respite Care,,T1005,TD,15 Minutes,0,0,0,0,956
Allegan,Respite Care,,T1005,TE,15 Minutes,0,0,0,9160,956
Allegan,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,0,0,0,1025,956
Allegan,Substance Abuse: Treatment Planning,,T1007,HF,Encounter,0,0,0,0,956
Allegan,Substance Abuse: Child Sitting Services,,T1009,,Encounter,0,0,0,0,956
Allegan,Substance Abuse: Recovery Support Services,,T1012,,Encounter,0,0,0,0,956
Allegan,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0,0,956
Allegan,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,193,4763,474914,1655667,956
Allegan,Targeted Case Management ,,T1017,,15 minutes,147,3736,361556,442365,956
Allegan,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,30,644,62324,81486,956
Allegan,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,44,12704,267953,1616694,956
Allegan,Assessments,,T1023,,Encounter,185,234,41652,64614,956
Allegan,Prevention Services - Direct Model ,,T1027,,15 Minutes,0,0,0,0,956
Allegan,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,0,0,0,808.41,956
Allegan,Transportation,,T2001,,Encounter,0,0,0,0,956
Allegan,Substance Abuse Services: Transportation,,T2001,HF,Encounter,0,0,0,0,956
Allegan,Transportation,,T2002,,Per Diem,0,0,0,0,956
Allegan,Substance Abuse Services: Transportation,,T2002,HF,Per Diem,0,0,0,0,956
Allegan,Transportation,,T2003,,Encounter / Trip,0,0,0,0,956
Allegan,Substance Abuse Services: Transportation,,T2003,HF,Encounter / Trip,0,0,0,0,956
Allegan,Transportation,,T2004,,Encounter,0,0,0,0,956
Allegan,Substance Abuse Services: Transportation,,T2004,HF,Encounter,0,0,0,0,956
Allegan,Transportation,,T2005,,Encounter,0,0,0,0,956
Allegan,Substance Abuse Services: Transportation,,T2005,HF,Encounter,0,0,0,0,956
Allegan,Prevention Services - Direct Model ,,T2024,,,0,0,0,0,956
Allegan,Fiscal Intermediary Services,,T2025,,Month,14,114,13375,124950,956
Allegan,Enhanced Medical Equipment-Supplies,,T2028,,Item,0,0,0,0,956
Allegan,Enhanced Medical Equipment-Supplies,,T2029,,Item,0,0,0,4769.29,956
Allegan,Respite Care,,T2036,,Per session. One night = one session,1,5,762,73041,956
Allegan,Respite Care,,T2037,,Per session. One day/partial day = one session,0,0,0,2967.5,956
Allegan,Housing Assistance,,T2038,,Service,0,0,0,0,956
Allegan,Enhanced Medical Equipment-Supplies,,T2039,,Item,0,0,0,0,956
Allegan,Goods and Services ,,T5999,HK,Per Item,0,0,0,0,956
Allegan,Wraparound Services,,T5999,,Per Item,0,0,0,0,956
