"CMH Name","MIC Group Num","MIC Serv Num","FirstOfMIC Totals","FirstOfService description","FirstOfRevenue Code","FirstOfModifier","FirstOfHCPCS Code","FirstOfUnit type","SumOfMIC-Cases","SumOfMIC-Units","SumOfMIC-Cost","SumOfOther Cost","FirstOfMIC Unique Consumers"
"Allegan",63,63,2723319.14,"Assessment for Autism",,"U5","90836","45 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",64,64,2723319.14,"Mental Health: Outpatient Care",,,"90837","60 Minutes",68.00,330.00,77744.00,425941.00,445.00
"Allegan",65,65,2723319.14,"Substance abuse: Outpatient Care",,"HF","90837","60 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",66,66,2723319.14,"Assessment",,,"90838","60 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",67,67,2723319.14,"Assessment for Autism",,"U5","90838","60 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",68,68,2723319.14,"Psychotherapy for Crisis First 60 Minutes",,,"90839","First 30-74 Min.",3.00,3.00,519.00,5017.00,445.00
"Allegan",69,69,2723319.14,"Psychotherapy for Crisis Each Additional 30 Minutes",,,"90840","Each Additional 30 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",70,70,2723319.14,"Therapy-Family Therapy",,,"90846","Encounter",23.00,46.00,16882.00,17616.00,445.00
"Allegan",71,71,2723319.14,"Substance Abuse: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919","HF","90846","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",72,72,2723319.14,"Therapy-Family Therapy",,,"90847","Encounter",49.00,173.00,64529.00,77211.00,445.00
"Allegan",73,73,2723319.14,"Substance Abuse: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919",,"90847","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",74,74,2723319.14,"Therapy-Family Therapy",,,"90849","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",75,75,2723319.14,"Therapy-Family Therapy",,"HS","90849","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",76,76,2723319.14,"Substance Abuse: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919","HF","90849","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",77,77,2723319.14,"Therapy-Group Therapy",,,"90853","Encounter",1.00,13.00,4017.00,159753.00,445.00
"Allegan",78,78,2723319.14,"Substance Abuse: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919","HF","90853","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",79,79,2723319.14,"Pharmacological Management (SED Waiver)",,,"90863",,0.00,0.00,0.00,0.00,445.00
"Allegan",80,80,2723319.14,"Additional Codes-ECT Physician",,,"90870","Encounter",0.00,0.00,0.00,2777.00,445.00
"Allegan",81,81,2723319.14,"Additional Codes-ECT Physician","0901",,"90870","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",82,82,2723319.14,"Assessments-Other",,,"90887","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",83,83,2723319.14,"Speech & Language Therapy ",,,"92507","Encounter",3.00,14.00,700.00,3600.00,445.00
"Allegan",84,84,2723319.14,"Speech & Language Therapy ",,,"92508","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",85,85,2723319.14,"Speech & Language Therapy ",,,"92521","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",86,86,2723319.14,"Speech & Language Therapy ",,,"92522","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",87,87,2723319.14,"Speech & Language Therapy ",,,"92523","Encounter",2.00,2.00,362.45,1106.93,445.00
"Allegan",88,88,2723319.14,"Speech & Language Therapy ",,,"92524","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",89,89,2723319.14,"Speech & Language Therapy ",,,"92526","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",90,90,2723319.14,"Speech & Language Therapy ",,,"92607","First Hour",0.00,0.00,0.00,0.00,445.00
"Allegan",91,91,2723319.14,"Speech & Language Therapy ",,,"92608","Each Additional  30 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",92,92,2723319.14,"Speech & Language Therapy ",,,"92609","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",93,93,2723319.14,"Speech & Language Therapy ",,,"92610","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",98,98,2723319.14,"Psychological Testing PSYCH/PHYS ",,,"96101","Per Hour",4.00,7.00,1127.00,4025.00,445.00
"Allegan",99,99,2723319.14,"Assessment for Autism",,"U5","96101","Hour",13.00,20.00,3200.00,3520.00,445.00
"Allegan",100,100,2723319.14,"Psychological Testing by Technician ",,,"96102","Per Hour",0.00,0.00,0.00,0.00,445.00
"Allegan",101,101,2723319.14,"Assessment for Autism",,"U5","96102","Hour",0.00,0.00,0.00,0.00,445.00
"Allegan",102,102,2723319.14,"Psychological Testing by Comp ",,,"96103","Per Hour",0.00,0.00,0.00,0.00,445.00
"Allegan",103,103,2723319.14,"Assessments-Other",,,"96105","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",104,104,2723319.14,"Assessments-Other",,,"96110","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",105,105,2723319.14,"Assessments-Other",,,"96111","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",106,106,2723319.14,"Neurobehavioral Status Exam",,,"96116","Per Hour",0.00,0.00,0.00,0.00,445.00
"Allegan",107,107,2723319.14,"Neuropsych test by Psych/Phys ",,,"96118","Per Hour",0.00,0.00,0.00,0.00,445.00
"Allegan",108,108,2723319.14,"Assessment for Autism",,"U5","96118","Hour",0.00,0.00,0.00,0.00,445.00
"Allegan",109,109,2723319.14,"Neuropsych test by Tech ",,,"96119","Per Hour",0.00,0.00,0.00,0.00,445.00
"Allegan",110,110,2723319.14,"Assessment for Autism",,"U5","96119","Hour",0.00,0.00,0.00,0.00,445.00
"Allegan",111,111,2723319.14,"Neuropsych test Admin w/Comp ",,,"96120","Per Hour",0.00,0.00,0.00,0.00,445.00
"Allegan",112,112,2723319.14,"Assessments-Other",,,"96127",,0.00,0.00,0.00,0.00,445.00
"Allegan",113,113,2723319.14,"Medication Administration",,,"96372","Encounter",4.00,31.00,1767.00,40128.00,445.00
"Allegan",114,114,2723319.14,"Physical Therapy",,,"97001","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",115,115,2723319.14,"Physical Therapy",,,"97002","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",116,116,2723319.14,"Occupational Therapy",,,"97003","Encounter",7.00,7.00,742.00,3074.00,445.00
"Allegan",117,117,2723319.14,"Occupational Therapy",,,"97004","Encounter",3.00,4.00,260.00,2600.00,445.00
"Allegan",118,118,2723319.14,"Occupational or Physical Therapy",,,"97110","15 Minutes",0.00,0.00,0.00,4140.00,445.00
"Allegan",119,119,2723319.14,"Occupational or Physical Therapy",,,"97112","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",120,120,2723319.14,"Occupational or Physical Therapy",,,"97113","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",121,121,2723319.14,"Occupational or Physical Therapy",,,"97116","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",122,122,2723319.14,"Occupational or Physical Therapy",,,"97124","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",123,123,2723319.14,"Occupational or Physical Therapy",,,"97140","15 Minutes",0.00,0.00,0.00,78.00,445.00
"Allegan",124,124,2723319.14,"Occupational or Physical Therapy",,,"97150","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",125,125,2723319.14,"Occupational or Physical Therapy",,,"97530","15 Minutes",9.00,319.00,8613.00,60885.00,445.00
"Allegan",126,126,2723319.14,"Occupational or Physical Therapy",,,"97532","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",127,127,2723319.14,"Occupational or Physical Therapy",,,"97533","15 Minutes",5.00,58.00,1566.00,5697.00,445.00
"Allegan",128,128,2723319.14,"Occupational or Physical Therapy",,,"97535","15 Minutes",0.00,0.00,0.00,495.00,445.00
"Allegan",129,129,2723319.14,"Occupational or Physical Therapy",,,"97537","15 Minutes",0.00,0.00,0.00,52.00,445.00
"Allegan",130,130,2723319.14,"Occupational or Physical Therapy",,,"97542","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",131,131,2723319.14,"Occupational or Physical Therapy",,,"97750","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",132,132,2723319.14,"Occupational Therapy",,,"97755","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",133,133,2723319.14,"Occupational or Physical Therapy",,,"97760","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",135,135,2723319.14,"C/O for Orthotic/Prosth Use  or Physical Therapy",,,"97762","15 minutes",0.00,0.00,0.00,338.00,445.00
"Allegan",136,136,2723319.14,"Assessment or Health Services",,,"97802","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",137,137,2723319.14,"Assessment or Health Services",,,"97803","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",138,138,2723319.14,"Health Services",,,"97804","30 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",139,139,2723319.14,"Substance Abuse: Acupuncture",,,"97810","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",140,140,2723319.14,"Substance Abuse: Acupuncture",,,"97811","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",141,141,2723319.14,"New Patient Evaluation and Management",,,"99201","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",142,142,2723319.14,"Assessment for Autism",,"U5","99201","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",143,143,2723319.14,"Substance Abuse: New Patient Evaluation and Management",,"HF","99201","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",144,144,2723319.14,"New Patient Evaluation and Management",,,"99202","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",145,145,2723319.14,"Assessment for Autism",,"U5","99202","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",146,146,2723319.14,"Substance Abuse: New Patient Evaluation and Management",,"HF","99202","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",147,147,2723319.14,"New Patient Evaluation and Management",,,"99203","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",148,148,2723319.14,"Assessment for Autism",,"U5","99203","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",149,149,2723319.14,"Substance Abuse: New Patient Evaluation and Management",,"HF","99203","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",150,150,2723319.14,"New Patient Evaluation and Management",,,"99204","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",151,151,2723319.14,"Assessment for Autism",,"U5","99204","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",152,152,2723319.14,"Substance Abuse: New Patient Evaluation and Management",,"HF","99204","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",153,153,2723319.14,"New Patient Evaluation and Management",,,"99205","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",154,154,2723319.14,"Assessment for Autism",,"U5","99205","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",155,155,2723319.14,"Substance Abuse: New Patient Evaluation and Management",,"HF","99205","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",156,156,2723319.14,"Established Patient Evaluation and Management",,,"99211","Encounter",0.00,0.00,0.00,632.00,445.00
"Allegan",157,157,2723319.14,"Assessment for Autism",,"U5","99211","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",158,158,2723319.14,"Substance Abuse: Established Patient Evaluation and Management",,"HF","99211","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",159,159,2723319.14,"Established Patient Evaluation and Management",,,"99212","Encounter",0.00,0.00,0.00,1288.00,445.00
"Allegan",160,160,2723319.14,"Assessment for Autism",,"U5","99212","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",161,161,2723319.14,"Substance Abuse: Established Patient Evaluation and Management",,"HF","99212","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",162,162,2723319.14,"Established Patient Evaluation and Management",,,"99213","Encounter",95.00,273.00,47236.00,413355.00,445.00
"Allegan",163,163,2723319.14,"Assessment for Autism",,"U5","99213","Encounter",5.00,10.00,1770.00,4071.00,445.00
"Allegan",164,164,2723319.14,"Sustance Abuse: Established Patient Evaluation and Management",,"HF","99213","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",165,165,2723319.14,"Established Patient Evaluation and Management",,,"99214","Encounter",7.00,7.00,2772.00,28116.00,445.00
"Allegan",166,166,2723319.14,"Assessment for Autism",,"U5","99214","Encounter",0.00,0.00,0.00,396.00,445.00
"Allegan",167,167,2723319.14,"Substance Abuse: Established Patient Evaluation and Management",,"HF","99214","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",168,168,2723319.14,"Established Patient Evaluation and Management",,,"99215","Encounter",16.00,17.00,6698.00,41370.00,445.00
"Allegan",169,169,2723319.14,"Assessment for Autism",,"U5","99215","Encounter",0.00,0.00,0.00,394.00,445.00
"Allegan",170,170,2723319.14,"Substance Abuse: Established Patient Evaluation and Management",,"HF","99215","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",171,171,2723319.14,"Additional Codes-Physician Services",,,"99221","30 Minutes",7.00,7.00,576.06,616.18,445.00
"Allegan",172,172,2723319.14,"Additional Codes-Physician Services",,,"99222","50 Minutes",6.00,6.00,545.22,1458.02,445.00
"Allegan",173,173,2723319.14,"Additional Codes-Physician Services",,,"99223","70 Minutes",2.00,2.00,188.00,1608.86,445.00
"Allegan",174,174,2723319.14,"Additional Codes-Physician Services",,,"99224","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",175,175,2723319.14,"Additional Codes-Physician Services",,,"99225","25 minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",176,176,2723319.14,"Additional Codes-Physician Services",,,"99226","35 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",177,177,2723319.14,"Additional Codes-Physician Services",,,"99231","15 Minutes",8.00,43.00,4008.00,6870.02,445.00
"Allegan",178,178,2723319.14,"Additional Codes-Physician Services",,,"99232","25 minutes",11.00,13.00,1137.00,8633.00,445.00
"Allegan",179,179,2723319.14,"Additional Codes-Physician Services",,,"99233","35 Minutes",7.00,10.00,910.01,4592.27,445.00
"Allegan",180,180,2723319.14,"Physician Consultations",,,"99241","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",181,181,2723319.14,"Substance Abuse: New or Established Patient Evaluation and Management",,"HF","99241","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",182,182,2723319.14,"Physician Consultations",,,"99242","30 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",183,183,2723319.14,"Substance Abuse: New or Established Patient Evaluation and Management",,"HF","99242","30 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",184,184,2723319.14,"Physician Consultations",,,"99243","40 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",185,185,2723319.14,"Substance Abuse: New or Established Patient Evaluation and Management",,"HF","99243","40 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",186,186,2723319.14,"Physician Consultations",,,"99244","60 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",187,187,2723319.14,"Substance Abuse: New or Established Patient Evaluation and Management",,"HF","99244","60 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",188,188,2723319.14,"Physician Consultations",,,"99245","80 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",189,189,2723319.14,"Substance Abuse: New or Established Patient Evaluation and Management",,"HF","99245","80 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",190,190,2723319.14,"Physician Consultations",,,"99251","20 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",191,191,2723319.14,"Physician Consultations",,,"99252","40 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",192,192,2723319.14,"Physician Consultations",,,"99253","55 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",193,193,2723319.14,"Physician Consultations",,,"99254","80 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",194,194,2723319.14,"Physician Consultations",,,"99255","110 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",195,195,2723319.14,"Nursing Facility Services evaluation and management",,,"99304","25 minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",196,196,2723319.14,"Nursing Facility Services evaluation and management",,,"99305","35 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",197,197,2723319.14,"Nursing Facility Services evaluation and management",,,"99306","45 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",198,198,2723319.14,"Nursing Facility Services evaluation and management",,,"99307","10 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",199,199,2723319.14,"Nursing Facility Services evaluation and management",,,"99308","15 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",200,200,2723319.14,"Nursing Facility Services evaluation and management",,,"99309","25 minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",201,201,2723319.14,"Nursing Facility Services evaluation and management",,,"99310","35 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",202,202,2723319.14,"Assessment",,,"99324","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",203,203,2723319.14,"Assessment for Autism",,"U5","99324","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",204,204,2723319.14,"Assessment",,,"99325","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",205,205,2723319.14,"Assessment for Autism",,"U5","99325","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",206,206,2723319.14,"Assessment",,,"99326","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",207,207,2723319.14,"Assessment for Autism",,"U5","99326","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",208,208,2723319.14,"Assessment",,,"99327","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",209,209,2723319.14,"Assessment for Autism",,"U5","99327","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",210,210,2723319.14,"Assessment",,,"99328","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",211,211,2723319.14,"Assessment for Autism",,"U5","99328","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",212,212,2723319.14,"Assessment",,,"99334","Encounter",0.00,0.00,0.00,445.21,445.00
"Allegan",213,213,2723319.14,"Assessment for Autism",,"U5","99334","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",214,214,2723319.14,"Assessment",,,"99335","Encounter",0.00,0.00,0.00,440.12,445.00
"Allegan",215,215,2723319.14,"Assessment for Autism",,"U5","99335","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",216,216,2723319.14,"Assessment",,,"99336","Encounter",0.00,0.00,0.00,448.78,445.00
"Allegan",217,217,2723319.14,"Assessment for Autism",,"U5","99336","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",218,218,2723319.14,"Assessment",,,"99337","Encounter",0.00,0.00,0.00,760.00,445.00
"Allegan",219,219,2723319.14,"Assessment for Autism",,"U5","99337","Encounter",0.00,0.00,0.00,0.00,445.00
