CMH Name,FirstOfService description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIC-Cases,SumOfMIC-Units,SumOfMIC-Cost,SumOfOther Cost,FirstOfMIC Unique Consumers
Allegan,Assessments-Other,,96105,,Encounter,0,0,0,0,316
Allegan,Assessments-Other,,96110,,Encounter,0,0,0,0,316
Allegan,Assessments-Other,,96111,,Encounter,0,0,0,0,316
Allegan,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0,0,316
Allegan,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0,0,316
Allegan,Assessment for Autism,,96118,U5,Hour,0,0,0,0,316
Allegan,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0,0,316
Allegan,Assessment for Autism,,96119,U5,Hour,0,0,0,0,316
Allegan,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0,0,316
Allegan,Assessments-Other,,96127,,,0,0,0,0,316
Allegan,Medication Administration,,96372,,Encounter,0,0,0,28495.7,316
Allegan,Physical Therapy - Note: retired 1/1/17,,97001,,Encounter,0,0,0,0,316
Allegan,Physical Therapy - Note: retired 1/1/17,,97002,,Encounter,0,0,0,0,316
Allegan,Occupational Therapy - Note: retired 1/1/17,,97003,,Encounter,0,0,0,1685.7,316
Allegan,Occupational Therapy - Note: retired 1/1/17,,97004,,Encounter,0,0,0,551.95,316
Allegan,Occupational or Physical Therapy,,97110,,15 Minutes,0,0,0,2560.6,316
Allegan,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0,316
Allegan,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0,316
Allegan,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0,316
Allegan,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0,316
Allegan,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0,344.18,316
Allegan,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0,316
Allegan,Physical Therapy,,97161,,Encounter,0,0,0,0,316
Allegan,Physical Therapy,,97162,,Encounter,0,0,0,0,316
Allegan,Physical Therapy,,97163,,Encounter,0,0,0,0,316
Allegan,Physical Therapy,,97164,,Encounter,0,0,0,0,316
Allegan,Occupational Therapy,,97165,,Encounter,1,1,71.36,2337.49,316
Allegan,Occupational Therapy,,97166,,Encounter,2,2,154.78,238.2,316
Allegan,Occupational Therapy,,97167,,Encounter,2,2,222.46,556.15,316
Allegan,Occupational Therapy,,97168,,Encounter,2,2,136.41,4170.07,316
Allegan,Occupational or Physical Therapy,,97530,,15 Minutes,7,642,11599.39,65330.48,316
Allegan,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0,0,316
Allegan,Occupational or Physical Therapy,,97533,,15 Minutes,2,11,311.65,4249.82,316
Allegan,Occupational or Physical Therapy,,97535,,15 Minutes,1,3,141.66,824.18,316
Allegan,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,0,316
Allegan,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0,0,316
Allegan,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,0,316
Allegan,Occupational Therapy,,97755,,15 Minutes,0,0,0,0,316
Allegan,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,0,316
Allegan,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,0,0,0,183.63,316
Allegan,Assessment or Health Services,,97802,,15 Minutes,0,0,0,0,316
Allegan,Assessment or Health Services,,97803,,15 Minutes,0,0,0,0,316
Allegan,Health Services,,97804,,30 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Acupuncture,,97810,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: Acupuncture,,97811,,Encounter,0,0,0,0,316
Allegan,New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,0,316
Allegan,New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0,316
Allegan,New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0,316
Allegan,New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0,316
Allegan,New Patient Evaluation and Management,,99205,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0,316
Allegan,Established Patient Evaluation and Management,,99211,,Encounter,1,1,100.74,494.24,316
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0,316
Allegan,Established Patient Evaluation and Management,,99212,,Encounter,0,0,0,1983.36,316
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0,316
Allegan,Established Patient Evaluation and Management,,99213,,Encounter,81,238,43842.66,373928.98,316
Allegan,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0,316
Allegan,Established Patient Evaluation and Management,,99214,,Encounter,7,11,3277.32,21870.49,316
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0,316
Allegan,Established Patient Evaluation and Management,,99215,,Encounter,7,8,2788.97,30085.72,316
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0,316
Allegan,Additional Codes-Physician Services,,99221,,30 Minutes,9,10,874.59,1245.97,316
Allegan,Additional Codes-Physician Services,,99222,,50 Minutes,3,3,302.21,1438.62,316
Allegan,Additional Codes-Physician Services,,99223,,70 Minutes,3,3,302.21,2842.35,316
Allegan,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0,316
Allegan,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0,316
Allegan,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0,316
Allegan,Additional Codes-Physician Services,,99231,,15 Minutes,10,24,2292.08,5216.41,316
Allegan,Additional Codes-Physician Services,,99232,,25 minutes,10,14,1254.2,8309.94,316
Allegan,Additional Codes-Physician Services,,99233,,35 Minutes,6,9,906.63,7826.43,316
Allegan,Substance Use Disorder: Physician Consultations,,99241,HF,15 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Physician Consultations,,99242,HF,30 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Physician Consultations,,99243,HF,40 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Physician Consultations,,99244,HF,60 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Physician Consultations,,99245,HF,80 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Physician Consultations,,99251,HF,20 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Physician Consultations,,99252,HF,40 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Physician Consultations,,99253,HF,55 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Physician Consultations,,99254,HF,80 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Physician Consultations,,99255,HF,110 Minutes,0,0,0,0,316
Allegan,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0,0,316
Allegan,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0,0,316
Allegan,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0,0,316
Allegan,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0,0,316
Allegan,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0,0,316
Allegan,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0,0,316
Allegan,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0,0,316
Allegan,Assessment,,99324,,Encounter,0,0,0,0,316
Allegan,Assessment,,99325,,Encounter,0,0,0,0,316
Allegan,Assessment,,99326,,Encounter,0,0,0,0,316
Allegan,Assessment,,99327,,Encounter,0,0,0,0,316
Allegan,Assessment,,99328,,Encounter,0,0,0,0,316
Allegan,Assessment,,99334,,Encounter,0,0,0,177.9,316
Allegan,Assessment,,99335,,Encounter,0,0,0,81.72,316
Allegan,Assessment,,99336,,Encounter,0,0,0,114.15,316
Allegan,Assessment,,99337,,Encounter,0,0,0,0,316
Allegan,Assessment,,99341,,Encounter,0,0,0,0,316
Allegan,Assessment,,99342,,Encounter,0,0,0,0,316
Allegan,Assessment,,99343,,Encounter,0,0,0,0,316
Allegan,Assessment,,99344,,Encounter,0,0,0,0,316
Allegan,Assessment,,99345,,Encounter,0,0,0,0,316
Allegan,Assessment,,99347,,Encounter,0,0,0,0,316
Allegan,Assessment,,99348,,Encounter,0,0,0,0,316
Allegan,Assessment,,99349,,Encounter,0,0,0,0,316
Allegan,Assessment,,99350,,Encounter,0,0,0,0,316
Allegan,Medication Administration,,99506,,Encounter,0,0,0,0,316
Allegan,Medication Management,,99605,,15 Minutes,0,0,0,0,316
Allegan,Transportation,,A0080,,Per mile,0,0,0,0,316
Allegan,Transportation,,A0090,,Per mile,0,0,0,0,316
Allegan,Transportation,,A0100,,Per one-way trip,0,0,0,0,316
Allegan,Substance Use Disorder: Transportation,,A0100,HF,Per one-way trip,0,0,0,0,316
Allegan,Transportation,,A0110,,Per one-way trip,0,0,0,0,316
Allegan,Substance Use Disorder: Transportation,,A0110,HF,Per one-way trip,0,0,0,0,316
Allegan,Transportation,,A0120,,Per one-way trip,0,0,0,0,316
Allegan,Transportation,,A0130,,Per one-way trip,0,0,0,0,316
Allegan,Transportation,,A0140,,Per one-way trip,0,0,0,0,316
Allegan,Transportation,,A0170,,,0,0,0,0,316
Allegan,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0,438.1,316
Allegan,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0,3430.81,316
Allegan,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0,0,316
Allegan,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0,0,316
Allegan,Substance Use Disorder: Recovery Support Services,,G0409,,15 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Individual Assessment,,H0001,,Encounter,0,0,0,0,316
Allegan,Assessment ,,H0002,,Encounter,1,1,137.46,1656.9,316
Allegan,Substance Use Disorder: Laboratory,,H0003,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: Case Management,,H0006,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0,0,316
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0,0,316
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0,0,316
Allegan,Substance Use Disorder: Outpatient Care,906,H0015,,Day,0,0,0,0,316
Allegan,Crisis Residential Services,,H0018,,Day,17,80,50856.21,188582.56,316
Allegan,Substance Use Disorder: Residential,1002,H0018,HF,Day,0,0,0,0,316
Allegan,Substance Use Disorder: Residential,1002,H0019,HF,Day,0,0,0,0,316
Allegan,Substance Use Disorder: Methadone,,H0020,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: Early Intervention,,H0022,,Encounter,0,0,0,0,316
Allegan,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0,0,316
Allegan,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0,0,316
Allegan,Assessment ,,H0031,,Encounter,26,26,7503.09,82416.44,316
Allegan,Assessment for Autism,,H0031,U5,Encounter,20,41,20456.86,80825.32,316
Allegan,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,0,0,0,48802.65,316
Allegan,Treatment Planning,,H0032,,Encounter,51,86,21141.34,95720.64,316
Allegan,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,25,31,7449.26,65813.48,316
Allegan,Substance Use Disorder: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0,316
Allegan,Health Services,,H0034,,15 Minutes,0,0,0,0,316
Allegan,Home Based Services,,H0036,,15 Minutes,108,8129,537346.28,603132.68,316
Allegan,Home Based Services,,H0036,ST,15 Minutes,0,0,0,0,316
Allegan,Peer Directed and Operated Support Services,,H0038,,15 minutes,0,0,0,33262.62,316
Allegan,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0,0,316
Allegan,Peer Directed and Operated Support Services,,NA,,,0,0,0,0,316
Allegan,Assertive Community Treatment (ACT),,H0039,,15 Minutes,0,0,0,853035.8,316
Allegan,Community Living Supports in Independent living/own home,,H0043,,Per diem,0,0,0,2424649.04,316
Allegan,Respite,,H0045,,Day,1,3,755.52,755.52,316
Allegan,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: Laboratory,,H0048,,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0,0,316
Allegan,Behavior Treatment Plan Review,,H2000,,Encounter,0,0,0,29701.54,316
Allegan,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,1,2,133.77,30996.64,316
Allegan,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0,0,316
Allegan,Crisis Intervention,,H2011,,15 Minutes,18,33,2562.49,9142.65,316
Allegan,"Substance Use Disorder: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0,0,316
Allegan,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,0,0,0,1014164.5,316
Allegan,Out of Home Non Vocational Habilitation,,H2014,HK,15 Minutes,0,0,0,278724.65,316
Allegan,Community Living Supports (15 Minutes),,H2015,,15 Minutes,5,924,4410.98,2018617.35,316
Allegan,Community Living Supports (Daily),,H2016,,Per Diem,0,0,0,4953398.63,316
Allegan,Behavior Services,,H2019,,15 Minutes,0,0,0,29512.62,316
Allegan,Behavior Services,,H2019,TT,15 Minutes,0,0,0,78080.26,316
Allegan,Wraparound,,H2021,,15 Minutes,23,871,87741.52,93450.26,316
Allegan,Wraparound (SED Waiver),,H2022,,Day,1,1,341.04,341.04,316
Allegan,Wraparound (SED Waiver),,H2022,TT,Day,0,0,0,0,316
Allegan,Supported Employment Services,,H2023,,15 minutes,0,0,0,626488.43,316
Allegan,Mental Health Therapy,,H2027,,15 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0,0,316
Allegan,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0,0,0,0,316
Allegan,Home Based Services,,H2033,,15 Minutes,0,0,0,0,316
Allegan,Substance Use Disorder: Recovery Housing,,H2034,,Day,0,0,0,0,316
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0,0,316
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0,0,316
Allegan,Telemedicine Facility Fee,,Q3014,GT,Per Service,0,0,0,0,316
Allegan,Transportation,,S0209,,Per Mile,0,0,0,0,316
Allegan,Transportation,,S0215,,Per Mile,0,0,0,0,316
Allegan,Substance Use Disorder: Transportation,,S0215,HF,Per Mile,0,0,0,0,316
Allegan,Family Training - EBP,,S5110,,15 Minutes,0,0,0,0,316
Allegan,Family Training,,S5111,,Encounter,11,187,32942.02,169816.01,316
Allegan,Family Training,,S5111,HA,Encounter,0,0,0,0,316
Allegan,Family Training,,S5111,HM,Encounter,10,66,10388.45,13693.87,316
Allegan,"Home Care Training, Non-Family (Children's Waiver)",,S5116,,Encounter,0,0,0,0,316
Allegan,Foster Care,,S5140,,Day,0,0,0,0,316
Allegan,Foster Care,,S5145,,Day,0,0,0,0,316
Allegan,Respite,,S5150,,15 Minutes,0,0,0,0,316
Allegan,Respite,,S5151,,Per Diem,0,0,0,0,316
Allegan,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0,0,316
Allegan,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0,0,316
Allegan,Environmental Modification ,,S5165,,Service,0,0,0,0,316
Allegan,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0,0,316
Allegan,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0,0,316
Allegan,Health Services,,S9445,,Encounter,0,0,0,0,316
Allegan,Health Services,,S9446,,Encounter,0,0,0,181.2,316
