CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost,SumOfOther Cost
Allegan,Substance Use: Assessment,,90791,HF,Encounter,0,0,0,0
Allegan,Assessment for Autism,,90791,U5,Encounter,0,0,0,0
Allegan,Assessment,,90792,,Encounter,23,23,13885,86094
Allegan,Substance Use: Assessment,,90792,HF,Encounter,0,0,0,0
Allegan,Assessment for Autism,,90792,U5,Encounter,0,0,0,0
Allegan,Mental Health: Outpatient Care,,90832,,30 Minutes,46,184,15660,49450
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0,0
Allegan,Assessment,,90833,,30 Minutes,0,0,0,0
Allegan,Mental Health: Outpatient Care,,90834,,45 Minutes,40,231,31261,202488
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0
Allegan,Assessment,,90836,,45 Minutes,0,0,0,0
Allegan,Mental Health: Outpatient Care,,90837,,60 Minutes,35,183,30098,280157
Allegan,Substance Use Disorder: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0
Allegan,Assessment,,90838,,60 Minutes,0,0,0,0
Allegan,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,0,0,0,752
Allegan,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,0
Allegan,Therapy-Family Therapy,,90846,,Encounter,3,6,1788,19209
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0
Allegan,Therapy-Family Therapy,,90847,,Encounter,9,25,7797,62479
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,HF,Encounter,0,0,0,0
Allegan,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0
Allegan,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0
Allegan,Therapy-Group Therapy,,90853,,Encounter,2,17,639,84531
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0
Allegan,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,0
Allegan,Additional Codes-ECT Physician,0901,90870,,Encounter,0,0,0,0
Allegan,Assessments-Other,,90887,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy ,,92507,,Encounter,6,64,10098,12119
Allegan,Speech & Language Therapy ,,92508,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy ,,92521,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy ,,92522,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy ,,92523,,Encounter,0,0,0,138
Allegan,Speech & Language Therapy ,,92524,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy ,,92526,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy ,,92607,,First Hour,0,0,0,0
Allegan,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0,0
Allegan,Speech & Language Therapy ,,92609,,Encounter,0,0,0,0
Allegan,Speech & Language Therapy ,,92610,,Encounter,0,0,0,0
Allegan,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92626,,First Hour,0,0,0,0
Allegan,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92627,,Each Additional 15 Minutes,0,0,0,0
Allegan,Auditory Rehabilitation Preling Hearing Loss (Children's Waiver),,92630,,Encounter,0,0,0,0
Allegan,Auditory Rehabilitation; Post-Lingual Hearing Loss (Children's Waiver),,92633,,Encounter,0,0,0,0
Allegan,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,5,5,708,1585
Allegan,Assessment for Autism,,96101,U5,Hour,5,7,615,615
Allegan,Psychological Testing by Technician ,,96102,,Per Hour,0,0,0,0
Allegan,Assessment for Autism,,96102,U5,Hour,0,0,0,0
Allegan,Psychological Testing by Comp ,,96103,,Per Hour,1,1,157,1816
Allegan,Assessments-Other,,96105,,Encounter,0,0,0,0
Allegan,Assessments-Other,,96110,,Encounter,0,0,0,0
Allegan,Assessments-Other,,96111,,Encounter,0,0,0,0
Allegan,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0,0
Allegan,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0,0
Allegan,Assessment for Autism,,96118,U5,Hour,0,0,0,0
Allegan,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0,0
Allegan,Assessment for Autism,,96119,U5,Hour,0,0,0,0
Allegan,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0,0
Allegan,Assessments-Other,,96127,,,0,0,0,0
Allegan,Medication Administration,,96372,,Encounter,10,134,5693,33030
Allegan,Occupational or Physical Therapy,,97110,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0
Allegan,Physical Therapy,,97161,,Encounter,0,0,0,0
Allegan,Physical Therapy,,97162,,Encounter,0,0,0,0
Allegan,Physical Therapy,,97163,,Encounter,0,0,0,0
Allegan,Physical Therapy,,97164,,Encounter,0,0,0,0
Allegan,Occupational Therapy,,97165,,Encounter,0,0,0,79
Allegan,Occupational Therapy,,97166,,Encounter,0,0,0,79
Allegan,Occupational Therapy,,97167,,Encounter,0,0,0,0
Allegan,Occupational Therapy,,97168,,Encounter,4,4,314,314
Allegan,Occupational or Physical Therapy,,97530,,15 Minutes,13,2906,57068,64432
Allegan,"Occupational or Physical Therapy 
(Note: Retired 12/31/17)",,97532,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97535,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,0
Allegan,Occupational Therapy,,97755,,15 Minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,0
Allegan,Prosthetic Training (Children's Waiver),,97761,,15 Minutes,0,0,0,0
Allegan,"C/O for Orthotic/Prosth Use  or Physical Therapy
(Note: Retired 12/31/17)",,97762,,15 minutes,0,0,0,0
Allegan,Occupational or Physical Therapy,,97763,,15 Minutes,0,0,0,0
Allegan,Assessment or Health Services,,97802,,15 Minutes,0,0,0,0
Allegan,Assessment or Health Services,,97803,,15 Minutes,0,0,0,0
Allegan,Health Services,,97804,,30 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Acupuncture,,97810,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: Acupuncture,,97811,,Encounter,0,0,0,0
Allegan,New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,0
Allegan,New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0
Allegan,New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0
Allegan,New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0
Allegan,New Patient Evaluation and Management,,99205,,Encounter,1,1,184,184
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0
Allegan,Established Patient Evaluation and Management,,99211,,Encounter,0,0,0,1083
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0
Allegan,Established Patient Evaluation and Management,,99212,,Encounter,2,2,246,2195
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0
Allegan,Established Patient Evaluation and Management,,99213,,Encounter,193,724,93439,325148
Allegan,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0
Allegan,Established Patient Evaluation and Management,,99214,,Encounter,21,27,5545,16081
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0
Allegan,Established Patient Evaluation and Management,,99215,,Encounter,17,18,4761,20846
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0
Allegan,Additional Codes-Physician Services,,99221,,30 Minutes,1,1,111,803
Allegan,Additional Codes-Physician Services,,99222,,50 Minutes,0,0,0,493
Allegan,Additional Codes-Physician Services,,99223,,70 Minutes,1,2,0,2261
Allegan,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0
Allegan,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0
Allegan,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0
Allegan,Additional Codes-Physician Services,,99231,,15 Minutes,2,5,175,3056
Allegan,Additional Codes-Physician Services,,99232,,25 minutes,3,11,467,8702
Allegan,Additional Codes-Physician Services,,99233,,35 Minutes,2,5,180,6623
Allegan,Additional Codes-Physician Services,,99238,,<= 30 Minutes,0,0,0,981
Allegan,Additional Codes-Physician Services,,99239,,> 30 Minutes,1,2,28,1741
Allegan,Substance Use Disorder: Physician Consultations,,99241,HF,15 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99242,HF,30 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99243,HF,40 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99244,HF,60 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99245,HF,80 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99251,HF,20 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99252,HF,40 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99253,HF,55 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99254,HF,80 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Physician Consultations,,99255,HF,110 Minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0,0
Allegan,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0,0
Allegan,Assessment,,99324,,Encounter,0,0,0,0
Allegan,Assessment,,99325,,Encounter,0,0,0,0
Allegan,Assessment,,99326,,Encounter,0,0,0,0
Allegan,Assessment,,99327,,Encounter,0,0,0,0
Allegan,Assessment,,99328,,Encounter,0,0,0,0
Allegan,Assessment,,99334,,Encounter,0,0,0,52
Allegan,Assessment,,99335,,Encounter,0,0,0,0
Allegan,Assessment,,99336,,Encounter,0,0,0,0
Allegan,Assessment,,99337,,Encounter,0,0,0,0
Allegan,Assessment,,99341,,Encounter,0,0,0,0
Allegan,Assessment,,99342,,Encounter,0,0,0,0
Allegan,Assessment,,99343,,Encounter,0,0,0,0
Allegan,Assessment,,99344,,Encounter,0,0,0,0
Allegan,Assessment,,99345,,Encounter,0,0,0,0
Allegan,Assessment,,99347,,Encounter,0,0,0,0
Allegan,Assessment,,99348,,Encounter,0,0,0,0
Allegan,Assessment,,99349,,Encounter,0,0,0,0
Allegan,Assessment,,99350,,Encounter,0,0,0,0
Allegan,Medication Administration,,99506,,Encounter,0,0,0,0
Allegan,Medication Management,,99605,,15 Minutes,0,0,0,0
Allegan,Transportation,,A0080,,Per mile,0,0,0,0
Allegan,Transportation,,A0090,,Per mile,0,0,0,0
Allegan,Transportation,,A0100,,Per one-way trip,0,0,0,0
Allegan,Substance Use Disorder: Transportation,,A0100,HF,Per one-way trip,0,0,0,0
Allegan,Transportation,,A0110,,Per one-way trip,0,0,0,0
Allegan,Substance Use Disorder: Transportation,,A0110,HF,Per one-way trip,0,0,0,0
Allegan,Transportation,,A0120,,Per one-way trip,0,0,0,0
Allegan,Transportation,,A0130,,Per one-way trip,0,0,0,0
Allegan,Transportation,,A0140,,Per one-way trip,0,0,0,0
Allegan,Transportation,,A0170,,,0,0,0,0
Allegan,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0,0
Allegan,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0,0
Allegan,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0,0
Allegan,Activity Therapy (Children's Waiver),,G0176,,Encounter,0,0,0,0
Allegan,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0,0
Allegan,Substance Use Disorder: Recovery Support Services,,G0409,,15 Minutes,0,0,0,0
Allegan,Occupational Therapy,,G0515,,15 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Individual Assessment,,H0001,,Encounter,0,0,0,0
Allegan,Assessment ,,H0002,,Encounter,4,4,1016,1164
Allegan,Substance Use Disorder: Laboratory,,H0003,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: Case Management,,H0006,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0,0
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002+E249,H0012,,Day,0,0,0,0
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0,0
Allegan,Substance Use Disorder: Outpatient Care,0906,H0015,,Day,0,0,0,0
Allegan,Crisis Residential Services,,H0018,,Day,5,26,14451,388165
Allegan,Substance Use Disorder: Residential,1002,H0018,HF,Day,0,0,0,0
Allegan,Substance Use Disorder: Residential,1002,H0019,HF,Day,0,0,0,0
Allegan,Substance Use Disorder: Methadone,,H0020,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: Early Intervention,,H0022,,Encounter,0,0,0,0
Allegan,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0,0
Allegan,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0,0
Allegan,Assessment ,,H0031,,Encounter,106,108,37095,167120
Allegan,Assessment for Autism,,H0031,U5,Encounter,93,118,63038,68909
Allegan,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,96,96,31827,33817
Allegan,Treatment Planning,,H0032,,Encounter,64,72,17948,93190
Allegan,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,31,36,10843,59229
Allegan,Substance Use Disorder: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0
Allegan,Health Services,,H0034,,15 Minutes,0,0,0,0
Allegan,Home Based Services,,H0036,,15 Minutes,6,428,32631,497604
Allegan,Home Based Services,,H0036,ST,15 Minutes,0,0,0,0
Allegan,Peer Directed and Operated Support Services,,H0038,,15 minutes,0,0,0,7838
Allegan,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0,0
Allegan,Peer Directed and Operated Support Services,,NA,,,0,0,0,0
Allegan,Assertive Community Treatment (ACT),,H0039,,15 Minutes,1,48,3650,371857
Allegan,Assertive Community Treatment (ACT),,H0039,TG,15 Minutes,0,0,0,1139
Allegan,Community Living Supports in Independent living/own home,,H0043,,Per Diem,0,0,0,0
Allegan,Community Living Supports in Independent living/own home,,H0043,TF,Per Diem,0,0,0,36728
Allegan,Community Living Supports in Independent living/own home,,H0043,TG,Per Diem,5,1820,796436,796436
Allegan,Community Living Supports in Independent living/own home,,H0043,TT,Per Diem,29,8247,1539108,1620914
Allegan,Community Living Supports in Independent living/own home,,H0043,TF/TT,Per Diem,0,0,0,0
Allegan,Community Living Supports in Independent living/own home,,H0043,TG/TT,Per Diem,0,0,0,0
Allegan,Respite,,H0045,,Day,1,1,69,1675
Allegan,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: Laboratory,,H0048,,Encounter,0,0,0,0
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0,0
Allegan,Behavior Treatment Plan Review,,H2000,,Encounter,40,147,18849,22055
Allegan,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,42,147,18834,21527
Allegan,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0,0
Allegan,Crisis Intervention,,H2011,,15 Minutes,2,8,425,2072
Allegan,"Substance Use Disorder: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0,0
Allegan,Crisis Intervention,,H2011,TJ,15 Minutes,0,0,0,0
Allegan,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,19,23040,92224,103141
Allegan,Out of Home Non Vocational Habilitation,,H2014,HK,15 Minutes,11,5532,27858,27858
Allegan,Community Living Supports (15 Minutes),,H2015,,15 Minutes,199,372107,1691200,1903357
Allegan,Community Living Supports (15 Minutes),,H2015,TT,15 Minutes,18,148167,268445,303539
Allegan,Community Living Supports (Daily),,H2016,,Per Diem,86,25188,3643030,6072256
Allegan,Behavior Services,,H2019,,15 Minutes,3,121,5763,18251
Allegan,Behavior Services,,H2019,TT,15 Minutes,1,120,5683,37274
Allegan,Wraparound,,H2021,,15 Minutes,0,0,0,95784
Allegan,Supported Employment Services,,H2023,,15 minutes,71,8092,99021,155284
Allegan,Mental Health Therapy,,H2027,,15 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0,0
Allegan,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0,0,0,0
Allegan,Home Based Services,,H2033,,15 Minutes,0,0,0,0
Allegan,Substance Use Disorder: Recovery Housing,,H2034,,Day,0,0,0,0
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0,0
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0,0
Allegan,Repair/Svc DME Non-Oxygen Equipment (Children's Waiver),,K0739,,15 Minutes,0,0,0,0
Allegan,Telemedicine Facility Fee,,Q3014,GT,Per Service,0,0,0,0
Allegan,Transportation,,S0209,,Per Mile,0,0,0,0
Allegan,Transportation,,S0215,,Per Mile,0,0,0,0
Allegan,Substance Use Disorder: Transportation,,S0215,HF,Per Mile,0,0,0,0
Allegan,Family Training - EBP,,S5110,,15 Minutes,0,0,0,0
Allegan,Family Training,,S5111,,Encounter,40,407,63796,77430
Allegan,Family Training,,S5111,HA,Encounter,0,0,0,0
Allegan,Family Training,,S5111,HM,Encounter,4,24,4159,11956
Allegan,"Home Care Training, Non-Family (Children's Waiver)",,S5116,,Encounter,0,0,0,0
Allegan,Foster Care,,S5140,,Day,0,0,0,0
Allegan,Foster Care,,S5145,,Day,0,0,0,0
Allegan,Respite,,S5150,,15 Minutes,0,0,0,0
Allegan,Respite,,S5151,,Per Diem,0,0,0,0
Allegan,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0,0
Allegan,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0,0
Allegan,Environmental Modification ,,S5165,,Service,0,0,0,0
Allegan,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0,0
Allegan,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0,0
Allegan,Private Duty Nursing,0582,S9123,,Hour,0,0,0,0
Allegan,Private Duty Nursing,,S9123,,Hour,0,0,0,0
Allegan,Private Duty Nursing,,S9123,TT,Hour,0,0,0,0
Allegan,Private Duty Nursing,0582,S9124,,Hour,0,0,0,0
Allegan,Private Duty Nursing,,S9124,,Hour,0,0,0,0
Allegan,Private Duty Nursing,,S9124,TT,Hour,0,0,0,0
Allegan,Health Services,,S9445,,Encounter,0,0,0,433
Allegan,Health Services,,S9446,,Encounter,1,1,50,50
Allegan,Health Services,,S9470,,Encounter,0,0,0,0
Allegan,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0,0
Allegan,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0,0
Allegan,Intensive Crisis Stabilization-Enrolled Program,,S9484,TJ,Hour,0,0,0,0
Allegan,Residential Room and Board,,S9976,,Day,0,0,0,0
Allegan,Substance Use Disorder: Residential Room and Board,,S9976,HF,Day,0,0,0,0
Allegan,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0,0
Allegan,Private Duty Nursing,,T1000,TD,Up to 15 min,0,0,0,35521
