CMH Name,MIA Group Num,MIA Serv Num,FirstOfService Description,FirstOfRevenue Code,FirstOfModifier,FirstOfHCPCS Code,FirstOfUnit type,SumOfMIA-Cases,SumOfMIA-Units,SumOfMIA-Cost,SumOfOther Cost,FirstOfMIA Totals,FirstOfMIA Unique Consumers
Allegan,25,25,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of tests,0,0,0,0,8125380.01,998
Allegan,26,26,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of tests,0,0,0,0,8125380.01,998
Allegan,27,27,Inpatient Hospital Ancillary Services - Emergency Room,0450,,,# of tests,0,0,0,0,8125380.01,998
Allegan,28,28,Inpatient Hospital Ancillary Services - Pulmonary Function,0460,,,# of units,0,0,0,0,8125380.01,998
Allegan,29,29,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,,0,0,0,0,8125380.01,998
Allegan,30,30,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0,8125380.01,998
Allegan,31,31,Inpatient Hospital Ancillary Services - Pharmacy,0636,,,# of tests,0,0,0,0,8125380.01,998
Allegan,32,32,ECT Recovery Room,0710,,,Hour,0,0,0,0,8125380.01,998
Allegan,33,33,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,Encounter,0,0,0,0,8125380.01,998
Allegan,34,34,Inpatient Hospital Ancillary Services - EEG,0740,,,# of visits,0,0,0,0,8125380.01,998
Allegan,35,35,Crisis Observation Care,0762,,,Day,0,0,0,0,8125380.01,998
Allegan,36,36,Additional Codes-ECT Facility Charge,0901,,,Day,0,0,0,0,8125380.01,998
Allegan,37,37,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of tests,0,0,0,0,8125380.01,998
Allegan,38,38,Outpatient Partial Hospitalization,0912,,,# of visits,9,45,15838.78,21186.98,8125380.01,998
Allegan,39,39,Outpatient Partial Hospitalization,0913,,,Minutes,0,0,0,0,8125380.01,998
Allegan,40,40,Inpatient Hospital Ancillary Services - Other Diagnosis Services,0925,,,Minutes,0,0,0,0,8125380.01,998
Allegan,41,41,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,Encounter,0,0,0,0,8125380.01,998
Allegan,42,42,Additional Codes-ECT Anesthesia,,,00104,First 30 Minutes,0,0,0,0,8125380.01,998
Allegan,43,43,Additional Codes-ECT Anesthesia,0901,,00104,15 Minutes,0,0,0,0,8125380.01,998
Allegan,60,60,Drug Screen,,,80305,Encounter,0,0,0,0,8125380.01,998
Allegan,61,61,Drug Screen,,,80306,Encounter,0,0,0,0,8125380.01,998
Allegan,62,62,Drug Screen,,,80307,Encounter,0,0,0,0,8125380.01,998
Allegan,63,63,Interactive Complexity - Add On Code,,,90785,Encounter,0,0,0,0,8125380.01,998
Allegan,65,65,Substance Abuse - Interactive Complexity - Add On Code,,HF,90785,Encounter,0,0,0,0,8125380.01,998
Allegan,66,66,Assessment,,,90791,Encounter,9,9,6724.87,12485.24,8125380.01,998
Allegan,67,67,Substance Use: Assessment,,HF,90791,Encounter,0,0,0,0,8125380.01,998
Allegan,69,69,Assessment,,,90792,30 Minutes,92,100,66843.04,112929.38,8125380.01,998
Allegan,70,70,Substance Use: Assessment,,HF,90792,30 Minutes,0,0,0,0,8125380.01,998
Allegan,72,72,Mental Health: Outpatient Care,,,90832,45 Minutes,116,315,29866,52479.06,8125380.01,998
Allegan,73,73,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",HF,90832,45 Minutes,85,370,42864.68,42864.68,8125380.01,998
Allegan,74,74,Assessment,,,90833,45 Minutes,0,0,0,0,8125380.01,998
Allegan,75,75,Mental Health: Outpatient Care,,,90834,60 Minutes,194,697,104860.17,143126.13,8125380.01,998
Allegan,76,76,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",HF,90834,60 Minutes,99,448,76251.57,76251.57,8125380.01,998
Allegan,77,77,Assessment,,,90836,60 Minutes,0,0,0,0,8125380.01,998
Allegan,78,78,Mental Health: Outpatient Care,,,90837,First 30-74 Min.,181,1073,211090.62,329516.04,8125380.01,998
Allegan,79,79,Substance Use Disorder: Outpatient Care,,HF,90837,Each Additional 30 Minutes,136,771,147000.86,147000.86,8125380.01,998
Allegan,80,80,Assessment,,,90838,Encounter,0,0,0,0,8125380.01,998
Allegan,81,81,Psychotherapy for Crisis First 60 Minutes,,,90839,Encounter,12,13,2766.3,4525.02,8125380.01,998
Allegan,82,82,Psychotherapy for Crisis Each Additional 30 Minutes,,,90840,Encounter,0,0,0,0,8125380.01,998
Allegan,83,83,Therapy-Family Therapy,,,90846,Encounter,0,0,0,20419.55,8125380.01,998
Allegan,84,84,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",HF,90846,Encounter,0,0,0,0,8125380.01,998
Allegan,85,85,Therapy-Family Therapy,,,90847,Encounter,4,9,1841.66,40690.5,8125380.01,998
Allegan,86,86,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",HF,90847,Encounter,0,0,0,0,8125380.01,998
Allegan,87,87,Therapy-Family Therapy,,,90849,Encounter,0,0,0,0,8125380.01,998
Allegan,88,88,Therapy-Family Therapy,,HS,90849,Encounter,0,0,0,0,8125380.01,998
Allegan,89,89,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",HF,90849,,0,0,0,0,8125380.01,998
Allegan,90,90,Therapy-Group Therapy,,,90853,Encounter,14,196,57509.5,70883.62,8125380.01,998
Allegan,91,91,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",HF,90853,Encounter,48,372,121938.46,121938.46,8125380.01,998
Allegan,93,93,Additional Codes-ECT Physician,,,90870,Encounter,0,0,0,0,8125380.01,998
Allegan,94,94,Additional Codes-ECT Physician,0901,,90870,Encounter,0,0,0,0,8125380.01,998
Allegan,95,95,Assessments-Other,,,90887,Encounter,0,0,0,0,8125380.01,998
Allegan,96,96,Speech & Language Therapy,,,92507,Encounter,1,10,1379.19,9466.96,8125380.01,998
Allegan,97,97,Speech & Language Therapy,,,92508,Encounter,0,0,0,0,8125380.01,998
Allegan,98,98,Speech & Language Therapy,,,92521,Encounter,0,0,0,0,8125380.01,998
Allegan,99,99,Speech & Language Therapy,,,92522,Encounter,0,0,0,0,8125380.01,998
Allegan,100,100,Speech & Language Therapy,,,92523,First Hour,1,1,137.92,551.68,8125380.01,998
Allegan,101,101,Speech & Language Therapy,,,92524,Each Additional  30 Minutes,0,0,0,0,8125380.01,998
Allegan,102,102,Speech & Language Therapy,,,92526,Encounter,0,0,0,0,8125380.01,998
Allegan,103,103,Speech & Language Therapy,,,92607,Encounter,0,0,0,0,8125380.01,998
Allegan,104,104,Speech & Language Therapy,,,92608,First Hour,0,0,0,0,8125380.01,998
Allegan,105,105,Speech & Language Therapy,,,92609,Each Additional 15 Minutes,0,0,0,0,8125380.01,998
Allegan,106,106,Speech & Language Therapy,,,92610,Encounter,0,0,0,0,8125380.01,998
Allegan,111,111,"Assessments - Testing
(Note: code retired 12/31/18)",,,96101,Hour,2,2,326.05,1552.73,8125380.01,998
Allegan,113,113,"Assessments - Testing
(Note: code retired 12/31/18)",,,96102,Encounter,0,0,0,0,8125380.01,998
Allegan,115,115,"Assessments - Testing
(Note: code retired 12/31/18)",,,96103,Encounter,0,0,0,0,8125380.01,998
Allegan,116,116,Assessments-Other,,,96105,First Hour,0,0,0,0,8125380.01,998
Allegan,117,117,Assessments-Other,,,96110,Each Additional 30 Minutes,0,0,0,0,8125380.01,998
Allegan,118,118,"Assessments - Other
(Note: code retired 12/31/18)",,,96111,Per Hour,0,0,0,0,8125380.01,998
Allegan,119,119,Assessments - Testing,,,96112,Per Hour,0,0,0,0,8125380.01,998
Allegan,120,120,Assessments - Testing,,,96113,Hour,0,0,0,0,8125380.01,998
Allegan,121,121,Neurobehavioral Status Exam,,,96116,Per Hour,0,0,0,0,8125380.01,998
Allegan,122,122,"Assessments - Testing
(Note: code retired 12/31/18)",,,96118,Hour,0,0,0,0,8125380.01,998
Allegan,124,124,"Assessments - Testing
(Note: code retired 12/31/18)",,,96119,Each Additional Hour,0,0,0,0,8125380.01,998
Allegan,126,126,"Assessments - Testing
(Note: code retired 12/31/18)",,,96120,First Hour,0,0,0,0,8125380.01,998
Allegan,127,127,Assessments - Testing,,,96121,First Hour,0,0,0,0,8125380.01,998
Allegan,128,128,Assessments-Other,,,96127,Each Additional Hour,0,0,0,0,8125380.01,998
Allegan,129,129,Assessments - Testing,,,96130,Each Additional Hour,10,11,1667.29,1951.34,8125380.01,998
Allegan,131,131,Assessments - Testing,,,96131,First Hour,0,0,0,815.13,8125380.01,998
Allegan,133,133,Assessments - Testing,,,96132,Each Additional Hour,0,0,0,0,8125380.01,998
Allegan,135,135,Assessments - Testing,,,96133,First 30 Minutes,0,0,0,0,8125380.01,998
Allegan,137,137,Assessments - Testing,,,96136,Each Additional 30 Minutes,10,10,1283.06,2261.22,8125380.01,998
Allegan,139,139,Assessments - Testing,,,96137,Each Additional 30 Minutes,0,0,0,326.06,8125380.01,998
Allegan,141,141,Assessments - Testing,,,96138,Encounter,0,0,0,0,8125380.01,998
Allegan,142,142,Assessments - Testing,,,96139,15 Minutes,0,0,0,0,8125380.01,998
Allegan,143,143,Assessments - Testing,,,96146,15 Minutes,0,0,0,0,8125380.01,998
Allegan,144,144,Medication Administration,,,96372,15 Minutes,46,415,25889.92,30035.57,8125380.01,998
Allegan,145,145,Occupational or Physical Therapy,,,97110,15 Minutes,0,0,0,666.93,8125380.01,998
Allegan,146,146,Occupational or Physical Therapy,,,97112,15 Minutes,0,0,0,0,8125380.01,998
Allegan,147,147,Occupational or Physical Therapy,,,97113,15 Minutes,0,0,0,0,8125380.01,998
Allegan,148,148,Occupational or Physical Therapy,,,97116,Encounter,0,0,0,0,8125380.01,998
Allegan,149,149,Occupational or Physical Therapy,,,97124,15 Minutes,0,0,0,0,8125380.01,998
Allegan,150,150,Occupational or Physical Therapy,,,97140,15 Minutes,0,0,0,301.35,8125380.01,998
Allegan,151,151,Occupational or Physical Therapy,,,97150,15 Minutes,0,0,0,4569.7,8125380.01,998
Allegan,159,159,Physical Therapy,,,97161,Encounter,0,0,0,0,8125380.01,998
Allegan,160,160,Physical Therapy,,,97162,Encounter,0,0,0,0,8125380.01,998
Allegan,161,161,Physical Therapy,,,97163,Encounter,0,0,0,0,8125380.01,998
Allegan,162,162,Physical Therapy,,,97164,Encounter,0,0,0,0,8125380.01,998
Allegan,163,163,Occupational Therapy,,,97165,Encounter,0,0,0,671.87,8125380.01,998
Allegan,164,164,Occupational Therapy,,,97166,15 Minutes,0,0,0,2701.66,8125380.01,998
Allegan,165,165,Occupational Therapy,,,97167,15 Minutes,0,0,0,676.27,8125380.01,998
Allegan,166,166,Occupational Therapy,,,97168,15 Minutes,0,0,0,1562.34,8125380.01,998
Allegan,167,167,Occupational or Physical Therapy,,,97530,15 Minutes,0,0,0,108037.65,8125380.01,998
Allegan,168,168,Occupational or Physical Therapy,,,97533,15 Minutes,0,0,0,312.47,8125380.01,998
Allegan,169,169,Occupational or Physical Therapy,,,97535,15 Minutes,0,0,0,768.2,8125380.01,998
Allegan,170,170,Occupational or Physical Therapy,,,97537,15 Minutes,0,0,0,64.22,8125380.01,998
Allegan,171,171,Occupational or Physical Therapy,,,97542,15 Minutes,0,0,0,0,8125380.01,998
Allegan,172,172,Occupational or Physical Therapy,,,97750,15 Minutes,0,0,0,0,8125380.01,998
Allegan,173,173,Occupational Therapy,,,97755,15 Minutes,0,0,0,0,8125380.01,998
Allegan,174,174,Occupational or Physical Therapy,,,97760,15 Minutes,0,0,0,0,8125380.01,998
Allegan,176,176,Occupational or Physical Therapy,,,97763,30 Minutes,0,0,0,158.09,8125380.01,998
Allegan,177,177,Assessment or Health Services,,,97802,Encounter,0,0,0,0,8125380.01,998
Allegan,178,178,Assessment or Health Services,,,97803,Encounter,0,0,0,0,8125380.01,998
Allegan,179,179,Health Services,,,97804,Encounter,0,0,0,0,8125380.01,998
Allegan,180,180,Substance Use Disorder: Acupuncture,,,97810,Encounter,0,0,0,0,8125380.01,998
Allegan,181,181,Substance Use Disorder: Acupuncture,,,97811,Encounter,0,0,0,0,8125380.01,998
Allegan,182,182,New Patient Evaluation and Management,,,99201,Encounter,0,0,0,0,8125380.01,998
Allegan,183,183,Substance Use Disorder: New Patient Evaluation and Management,,HF,99201,Encounter,0,0,0,0,8125380.01,998
Allegan,184,184,New Patient Evaluation and Management,,,99202,Encounter,0,0,0,0,8125380.01,998
Allegan,185,185,Substance Use Disorder: New Patient Evaluation and Management,,HF,99202,Encounter,0,0,0,0,8125380.01,998
Allegan,186,186,New Patient Evaluation and Management,,,99203,Encounter,0,0,0,0,8125380.01,998
Allegan,187,187,Substance Use Disorder: New Patient Evaluation and Management,,HF,99203,Encounter,4,4,1412.47,1412.47,8125380.01,998
Allegan,188,188,New Patient Evaluation and Management,,,99204,Encounter,0,0,0,0,8125380.01,998
Allegan,189,189,Substance Use Disorder: New Patient Evaluation and Management,,HF,99204,Encounter,0,0,0,0,8125380.01,998
Allegan,190,190,New Patient Evaluation and Management,,,99205,Encounter,0,0,0,0,8125380.01,998
Allegan,191,191,Substance Use Disorder: New Patient Evaluation and Management,,HF,99205,Encounter,0,0,0,0,8125380.01,998
Allegan,192,192,Established Patient Evaluation and Management,,,99211,Encounter,0,0,0,0,8125380.01,998
Allegan,193,193,Substance Use Disorder: Established Patient Evaluation and Management,,HF,99211,Encounter,0,0,0,0,8125380.01,998
Allegan,194,194,Established Patient Evaluation and Management,,,99212,Encounter,13,13,1993.95,3080.8,8125380.01,998
Allegan,195,195,Substance Use Disorder: Established Patient Evaluation and Management,,HF,99212,Encounter,41,111,11416.88,11416.88,8125380.01,998
Allegan,196,196,Established Patient Evaluation and Management,,,99213,Encounter,346,1214,235770.93,400074.66,8125380.01,998
Allegan,197,197,Sustance Abuse: Established Patient Evaluation and Management,,HF,99213,Encounter,30,50,7572.79,7572.79,8125380.01,998
Allegan,198,198,Established Patient Evaluation and Management,,,99214,Encounter,13,15,5274.07,8708.81,8125380.01,998
Allegan,199,199,Substance Use Disorder: Established Patient Evaluation and Management,,HF,99214,30 Minutes,1,1,282.51,282.51,8125380.01,998
Allegan,200,200,Established Patient Evaluation and Management,,,99215,50 Minutes,0,0,0,0,8125380.01,998
Allegan,201,201,Substance Use Disorder: Established Patient Evaluation and Management,,HF,99215,70 Minutes,0,0,0,0,8125380.01,998
Allegan,202,202,Additional Codes-Physician Services,,,99221,15 Minutes,6,7,765.29,1135.81,8125380.01,998
Allegan,203,203,Additional Codes-Physician Services,,,99222,25 minutes,5,5,617.53,617.53,8125380.01,998
Allegan,204,204,Additional Codes-Physician Services,,,99223,35 Minutes,21,23,2454.34,2454.34,8125380.01,998
Allegan,205,205,Additional Codes-Physician Services,,,99224,15 Minutes,0,0,0,0,8125380.01,998
Allegan,206,206,Additional Codes-Physician Services,,,99225,25 minutes,0,0,0,0,8125380.01,998
Allegan,207,207,Additional Codes-Physician Services,,,99226,35 Minutes,0,0,0,0,8125380.01,998
Allegan,208,208,Additional Codes-Physician Services,,,99231,<= 30 Minutes,20,62,5939.79,7317.9,8125380.01,998
Allegan,209,209,Additional Codes-Physician Services,,,99232,> 30 Minutes,20,66,6567.03,6674.54,8125380.01,998
Allegan,210,210,Additional Codes-Physician Services,,,99233,15 Minutes,21,79,7119.05,7490.04,8125380.01,998
Allegan,211,211,Additional Codes-Physician Services,,,99238,30 Minutes,6,6,529.74,551.25,8125380.01,998
Allegan,212,212,Additional Codes-Physician Services,,,99239,40 Minutes,23,24,2548.19,2574.58,8125380.01,998
Allegan,213,213,Substance Use Disorder: Physician Consultations,,HF,99241,60 Minutes,0,0,0,0,8125380.01,998
Allegan,214,214,Substance Use Disorder: Physician Consultations,,HF,99242,80 Minutes,0,0,0,0,8125380.01,998
Allegan,215,215,Substance Use Disorder: Physician Consultations,,HF,99243,20 Minutes,0,0,0,0,8125380.01,998
Allegan,216,216,Substance Use Disorder: Physician Consultations,,HF,99244,40 Minutes,0,0,0,0,8125380.01,998
Allegan,217,217,Substance Use Disorder: Physician Consultations,,HF,99245,55 Minutes,0,0,0,0,8125380.01,998
Allegan,218,218,Substance Use Disorder: Physician Consultations,,HF,99251,80 Minutes,0,0,0,0,8125380.01,998
Allegan,219,219,Substance Use Disorder: Physician Consultations,,HF,99252,110 Minutes,0,0,0,0,8125380.01,998
Allegan,220,220,Substance Use Disorder: Physician Consultations,,HF,99253,25 minutes,0,0,0,0,8125380.01,998
Allegan,221,221,Substance Use Disorder: Physician Consultations,,HF,99254,35 Minutes,0,0,0,0,8125380.01,998
Allegan,222,222,Substance Use Disorder: Physician Consultations,,HF,99255,45 Minutes,0,0,0,0,8125380.01,998
Allegan,223,223,Nursing Facility Services evaluation and management,,,99304,10 Minutes,0,0,0,0,8125380.01,998
Allegan,224,224,Nursing Facility Services evaluation and management,,,99305,15 Minutes,0,0,0,0,8125380.01,998
Allegan,225,225,Nursing Facility Services evaluation and management,,,99306,25 minutes,0,0,0,0,8125380.01,998
Allegan,226,226,Nursing Facility Services evaluation and management,,,99307,35 Minutes,0,0,0,0,8125380.01,998
Allegan,227,227,Nursing Facility Services evaluation and management,,,99308,Encounter,0,0,0,0,8125380.01,998
Allegan,228,228,Nursing Facility Services evaluation and management,,,99309,Encounter,0,0,0,0,8125380.01,998
Allegan,229,229,Nursing Facility Services evaluation and management,,,99310,Encounter,0,0,0,0,8125380.01,998
Allegan,230,230,Assessment,,,99324,Encounter,0,0,0,0,8125380.01,998
Allegan,231,231,Assessment,,,99325,Encounter,0,0,0,0,8125380.01,998
Allegan,232,232,Assessment,,,99326,Encounter,0,0,0,0,8125380.01,998
Allegan,233,233,Assessment,,,99327,Encounter,0,0,0,0,8125380.01,998
Allegan,234,234,Assessment,,,99328,Encounter,0,0,0,0,8125380.01,998
Allegan,235,235,Assessment,,,99334,Encounter,1,3,741.03,1656.7,8125380.01,998
Allegan,236,236,Assessment,,,99335,Encounter,0,0,0,0,8125380.01,998
Allegan,237,237,Assessment,,,99336,Encounter,0,0,0,0,8125380.01,998
Allegan,238,238,Assessment,,,99337,Encounter,0,0,0,0,8125380.01,998
Allegan,239,239,Assessment,,,99341,Encounter,0,0,0,0,8125380.01,998
Allegan,240,240,Assessment,,,99342,Encounter,0,0,0,0,8125380.01,998
Allegan,241,241,Assessment,,,99343,Encounter,0,0,0,0,8125380.01,998
Allegan,242,242,Assessment,,,99344,Encounter,0,0,0,0,8125380.01,998
Allegan,243,243,Assessment,,,99345,Encounter,0,0,0,0,8125380.01,998
Allegan,244,244,Assessment,,,99347,Encounter,0,0,0,0,8125380.01,998
Allegan,245,245,Assessment,,,99348,Encounter,0,0,0,0,8125380.01,998
Allegan,246,246,Assessment,,,99349,15 Minutes,0,0,0,0,8125380.01,998
Allegan,247,247,Assessment,,,99350,Per mile,0,0,0,0,8125380.01,998
Allegan,248,248,Medication Administration,,,99506,Per mile,0,0,0,0,8125380.01,998
Allegan,249,249,Medication Management,,,99605,Per one-way trip,0,0,0,0,8125380.01,998
Allegan,250,250,Transportation,,,A0080,Per one-way trip,0,0,0,0,8125380.01,998
Allegan,251,251,Transportation,,,A0090,Per one-way trip,0,0,0,0,8125380.01,998
Allegan,252,252,Transportation,,,A0100,Per one-way trip,0,0,0,0,8125380.01,998
Allegan,253,253,Substance Use Disorder: Transportation,,HF,A0100,Per one-way trip,0,0,0,0,8125380.01,998
Allegan,254,254,Transportation,,,A0110,Per one-way trip,0,0,0,0,8125380.01,998
Allegan,255,255,Substance Use Disorder: Transportation,,HF,A0110,Per one-way trip,0,0,0,0,8125380.01,998
Allegan,256,256,Transportation,,,A0120,,0,0,0,0,8125380.01,998
Allegan,257,257,Transportation,,,A0130,Per Mile,0,0,0,0,8125380.01,998
Allegan,258,258,Transportation,,,A0140,Refer to code descriptions.,0,0,0,0,8125380.01,998
Allegan,259,259,Transportation,,,A0170,Item,0,0,0,0,8125380.01,998
Allegan,260,260,Additional Codes-Transportation,,,A0425,Encounter,0,0,0,0,8125380.01,998
Allegan,261,261,Additional Codes-Transportation,,,A0427,Encounter Session at least 45 min,0,0,0,0,8125380.01,998
Allegan,262,262,Enhanced Medical Equipment-Supplies,,,E1399,15 Minutes,0,0,0,0,8125380.01,998
Allegan,264,264,Family Training/Support EBP only,,,G0177,Encounter,0,0,0,0,8125380.01,998
Allegan,265,265,Substance Use Disorder: Recovery Support Services,,,G0409,Encounter,0,0,0,0,8125380.01,998
Allegan,266,266,Occupational Therapy,,,G0515,Encounter,0,0,0,0,8125380.01,998
Allegan,267,267,Substance Use Disorder: Individual Assessment,,,H0001,15 Minutes,111,112,31999.04,32293.41,8125380.01,998
Allegan,268,268,Assessment,,,H0002,Encounter,0,0,0,2509.63,8125380.01,998
Allegan,269,269,Substance Use Disorder: Laboratory,,,H0003,Encounter,1,1,222.84,222.84,8125380.01,998
Allegan,270,270,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",,H0004,Day,40,1395,311400.87,311400.87,8125380.01,998
Allegan,271,271,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",,H0005,Day,1,3,435.68,435.68,8125380.01,998
Allegan,272,272,Substance Use Disorder: Case Management,,,H0006,Day,1,1,1315.17,1315.17,8125380.01,998
Allegan,273,273,Substance Use Disorder: Sub-Acute Detoxification,1002,,H0010,Day,28,111,66206.8,66206.8,8125380.01,998
Allegan,274,274,Substance Use Disorder: Sub-Acute Detoxification,1002,,H0012,Day,0,0,0,0,8125380.01,998
Allegan,275,275,Substance Use Disorder: Sub-Acute Detoxification,1002,,H0014,Day,0,0,0,0,8125380.01,998
Allegan,276,276,Substance Use Disorder: Outpatient Care,0906,,H0015,Day,25,307,65246.7,65246.7,8125380.01,998
Allegan,277,277,Crisis Residential Services,,,H0018,Encounter,97,444,219931.32,293580.52,8125380.01,998
Allegan,278,278,Substance Use Disorder: Residential,1002,HF,H0018,Encounter,36,374,59526.94,59526.94,8125380.01,998
Allegan,279,279,Substance Use Disorder: Residential,1002,HF,H0019,Encounter,32,1897,223856.73,223856.73,8125380.01,998
Allegan,280,280,Substance Use Disorder: Methadone,,,H0020,Encounter,64,15217,241505.79,241505.79,8125380.01,998
Allegan,281,281,Substance Use Disorder: Early Intervention,,,H0022,Face to Face Contact,0,0,0,0,8125380.01,998
Allegan,282,282,Peer Directed and Operated Support Services,,,H0023,Encounter,0,0,0,0,8125380.01,998
Allegan,283,283,Substance Use Disorder: Recovery Support Services,,HF,H0023,Encounter,0,0,0,0,8125380.01,998
Allegan,284,284,Prevention Services - Direct Model,,,H0025,,0,0,0,0,8125380.01,998
Allegan,285,285,Assessment,,,H0031,Encounter,233,244,75554.24,159208.71,8125380.01,998
Allegan,287,287,Support Intensity Scale (SIS) Face-to-Face Assessment,,HW,H0031,Direct Observation Encounter,0,0,0,24977.75,8125380.01,998
Allegan,288,288,Treatment Planning,,,H0032,15 Minutes,191,210,66349.61,110264.97,8125380.01,998
Allegan,289,289,Monitoring of Treatment - Clinician,,TS,H0032,15 Minutes,132,177,55962.8,78999.04,8125380.01,998
Allegan,290,290,Substance Use Disorder: Pharmalogical Support - Suboxane,,,H0033,15 Minutes,0,0,0,0,8125380.01,998
Allegan,291,291,Health Services,,,H0034,15 minutes,0,0,0,0,8125380.01,998
Allegan,292,292,Home Based Services,,,H0036,15 Minutes,1,104,10532.55,757836.98,8125380.01,998
Allegan,293,293,Home Based Services,,ST,H0036,15 Minutes,0,0,0,4456.08,8125380.01,998
Allegan,294,294,Peer Directed and Operated Support Services,,,H0038,,0,0,0,0,8125380.01,998
Allegan,295,295,Peer Directed and Operated Support Services,,TJ,H0038,15 Minutes,0,0,0,0,8125380.01,998
Allegan,296,296,Substance Use Disorder: Recovery Support Services,,HF,H0038,15 Minutes,1,3,2672,2672,8125380.01,998
Allegan,297,297,Peer Directed and Operated Support Services,,,NA,Per Diem,0,0,0,0,8125380.01,998
Allegan,298,298,Assertive Community Treatment (ACT),,,H0039,Per Diem,27,4146,405169.02,405169.02,8125380.01,998
Allegan,299,299,Assertive Community Treatment (ACT),,TG,H0039,Per Diem,1,2,190.2,190.2,8125380.01,998
Allegan,300,300,Community Living Supports in Independent living/own home,,,H0043,Per Diem,0,0,0,0,8125380.01,998
Allegan,301,301,Community Living Supports in Independent living/own home,,TF,H0043,Per Diem,0,0,0,0,8125380.01,998
Allegan,302,302,Community Living Supports in Independent living/own home,,TG,H0043,Per Diem,0,0,0,757592.44,8125380.01,998
Allegan,303,303,Community Living Supports in Independent living/own home,,TT,H0043,Day,0,0,0,0,8125380.01,998
