CMH Name,MIC Group Num,MIC Serv Num,FirstOfMIC Totals,FirstOfService description,FirstOfRevenue Code,FirstOfModifier,FirstOfHCPCS Code,FirstOfUnit type,SumOfMIC-Cases,SumOfMIC-Units,SumOfMIC-Cost,SumOfOther Cost,FirstOfMIC Unique Consumers
Allegan,52,52,1636564.05,"ABA Clinical Observation and Direction of Adaptive Behavior Treatment
(Note: code retired 12/31/18)",,U5,0368T,Encounter,2,18,1279.25,37389.38,254
Allegan,53,53,1636564.05,"ABA Clinical Observation and Direction of Adaptive Behavior Treatment
(Note: code retired 12/31/18)",,U5,0369T,Encounter,2,49,3482.4,75759.97,254
Allegan,54,54,1636564.05,"ABA Family Behavior Treatment Guidance
(Note: code retired 12/31/18)",,U5,0370T,First 60 Minutes,1,1,142.14,15226.62,254
Allegan,55,55,1636564.05,"ABA Family Behavior Treatment Guidance
(Note: code retired 12/31/18)",,U5,0371T,Per 15 Minutes,0,0,0,0,254
Allegan,56,56,1636564.05,"ABA Adaptive Behavior Treatment Social Skills Group
(Note: code retired 12/31/18)",,U5,0372T,Each Additional 30 Minutes,0,0,0,0,254
Allegan,57,57,1636564.05,ABA Exposure Adaptive Behavior Treatment (reporting units changed effective 1/1/19 - see new line below),,U5,0373T,Encounter,0,0,0,5365.74,254
Allegan,58,58,1636564.05,ABA Exposure Adaptive Behavior Treatment (reporting units of per 15 minutes effective 1/1/19),,U5,0373T,Encounter,0,0,0,29988.32,254
Allegan,59,59,1636564.05,"ABA Exposure Adaptive Behavior Treatment
(Note: code retired 12/31/18)",,U5,0374T,Encounter,0,0,0,12685.89,254
Allegan,60,60,1636564.05,Drug Screen,,,80305,Encounter,0,0,0,0,254
Allegan,61,61,1636564.05,Drug Screen,,,80306,Encounter,0,0,0,0,254
Allegan,62,62,1636564.05,Drug Screen,,,80307,Encounter,0,0,0,0,254
Allegan,63,63,1636564.05,Interactive Complexity - Add On Code,,,90785,Encounter,0,0,0,0,254
Allegan,64,64,1636564.05,Assessment for Autism,,U5,90785,Encounter,0,0,0,0,254
Allegan,65,65,1636564.05,Substance Abuse - Interactive Complexity - Add On Code,,HF,90785,Encounter,0,0,0,0,254
Allegan,66,66,1636564.05,Assessment,,,90791,Encounter,3,3,1697.34,12485.24,254
Allegan,67,67,1636564.05,Substance Use: Assessment,,HF,90791,Encounter,0,0,0,0,254
Allegan,68,68,1636564.05,Assessment for Autism,,U5,90791,Encounter,0,0,0,0,254
Allegan,69,69,1636564.05,Assessment,,,90792,30 Minutes,35,37,27646.7,112929.38,254
Allegan,70,70,1636564.05,Substance Use: Assessment,,HF,90792,30 Minutes,0,0,0,0,254
Allegan,71,71,1636564.05,Assessment for Autism,,U5,90792,30 Minutes,0,0,0,0,254
Allegan,72,72,1636564.05,Mental Health: Outpatient Care,,,90832,45 Minutes,20,37,4170.25,52479.06,254
Allegan,73,73,1636564.05,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",HF,90832,45 Minutes,0,0,0,42864.68,254
Allegan,74,74,1636564.05,Assessment,,,90833,45 Minutes,0,0,0,0,254
Allegan,75,75,1636564.05,Mental Health: Outpatient Care,,,90834,60 Minutes,24,48,8477.42,143126.13,254
Allegan,76,76,1636564.05,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",HF,90834,60 Minutes,0,0,0,76251.57,254
Allegan,77,77,1636564.05,Assessment,,,90836,60 Minutes,0,0,0,0,254
Allegan,78,78,1636564.05,Mental Health: Outpatient Care,,,90837,First 30-74 Min.,46,356,78169.08,329516.04,254
Allegan,79,79,1636564.05,Substance Use Disorder: Outpatient Care,,HF,90837,Each Additional 30 Minutes,0,0,0,147000.86,254
Allegan,80,80,1636564.05,Assessment,,,90838,Encounter,0,0,0,0,254
Allegan,81,81,1636564.05,Psychotherapy for Crisis First 60 Minutes,,,90839,Encounter,6,8,1758.72,4525.02,254
Allegan,82,82,1636564.05,Psychotherapy for Crisis Each Additional 30 Minutes,,,90840,Encounter,0,0,0,0,254
Allegan,83,83,1636564.05,Therapy-Family Therapy,,,90846,Encounter,23,59,11585.22,20419.55,254
Allegan,84,84,1636564.05,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",HF,90846,Encounter,0,0,0,0,254
Allegan,85,85,1636564.05,Therapy-Family Therapy,,,90847,Encounter,37,152,32306.56,40690.5,254
Allegan,86,86,1636564.05,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",HF,90847,Encounter,0,0,0,0,254
Allegan,87,87,1636564.05,Therapy-Family Therapy,,,90849,Encounter,0,0,0,0,254
Allegan,88,88,1636564.05,Therapy-Family Therapy,,HS,90849,Encounter,0,0,0,0,254
Allegan,89,89,1636564.05,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",HF,90849,,0,0,0,0,254
Allegan,90,90,1636564.05,Therapy-Group Therapy,,,90853,Encounter,0,0,0,70883.62,254
Allegan,91,91,1636564.05,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",HF,90853,Encounter,0,0,0,121938.46,254
Allegan,92,92,1636564.05,Pharmacological Management (SED Waiver),,,90863,Encounter,0,0,0,0,254
Allegan,93,93,1636564.05,Additional Codes-ECT Physician,,,90870,Encounter,0,0,0,0,254
Allegan,94,94,1636564.05,Additional Codes-ECT Physician,0901,,90870,Encounter,0,0,0,0,254
Allegan,95,95,1636564.05,Assessments-Other,,,90887,Encounter,0,0,0,0,254
Allegan,96,96,1636564.05,Speech & Language Therapy,,,92507,Encounter,1,7,965.43,9466.96,254
Allegan,97,97,1636564.05,Speech & Language Therapy,,,92508,Encounter,0,0,0,0,254
Allegan,98,98,1636564.05,Speech & Language Therapy,,,92521,Encounter,0,0,0,0,254
Allegan,99,99,1636564.05,Speech & Language Therapy,,,92522,Encounter,0,0,0,0,254
Allegan,100,100,1636564.05,Speech & Language Therapy,,,92523,First Hour,1,1,137.92,551.68,254
Allegan,101,101,1636564.05,Speech & Language Therapy,,,92524,Each Additional  30 Minutes,0,0,0,0,254
Allegan,102,102,1636564.05,Speech & Language Therapy,,,92526,Encounter,0,0,0,0,254
Allegan,103,103,1636564.05,Speech & Language Therapy,,,92607,Encounter,0,0,0,0,254
Allegan,104,104,1636564.05,Speech & Language Therapy,,,92608,First Hour,0,0,0,0,254
Allegan,105,105,1636564.05,Speech & Language Therapy,,,92609,Each Additional 15 Minutes,0,0,0,0,254
Allegan,106,106,1636564.05,Speech & Language Therapy,,,92610,Encounter,0,0,0,0,254
Allegan,111,111,1636564.05,"Assessments - Testing
(Note: code retired 12/31/18)",,,96101,Hour,1,1,163.03,1552.73,254
Allegan,112,112,1636564.05,"Assessment for Autism
(Note: code retired 12/31/18)",,U5,96101,Per Hour,0,0,0,348.83,254
Allegan,113,113,1636564.05,"Assessments - Testing
(Note: code retired 12/31/18)",,,96102,Encounter,0,0,0,0,254
Allegan,114,114,1636564.05,"Assessment for Autism
(Note: code retired 12/31/18)",,U5,96102,Encounter,0,0,0,0,254
Allegan,115,115,1636564.05,"Assessments - Testing
(Note: code retired 12/31/18)",,,96103,Encounter,0,0,0,0,254
Allegan,116,116,1636564.05,Assessments-Other,,,96105,First Hour,0,0,0,0,254
Allegan,117,117,1636564.05,Assessments-Other,,,96110,Each Additional 30 Minutes,0,0,0,0,254
Allegan,118,118,1636564.05,"Assessments - Other
(Note: code retired 12/31/18)",,,96111,Per Hour,0,0,0,0,254
Allegan,119,119,1636564.05,Assessments - Testing,,,96112,Per Hour,0,0,0,0,254
Allegan,120,120,1636564.05,Assessments - Testing,,,96113,Hour,0,0,0,0,254
Allegan,121,121,1636564.05,Neurobehavioral Status Exam,,,96116,Per Hour,0,0,0,0,254
Allegan,122,122,1636564.05,"Assessments - Testing
(Note: code retired 12/31/18)",,,96118,Hour,0,0,0,0,254
Allegan,123,123,1636564.05,"Assessment for Autism
(Note: code retired 12/31/18)",,U5,96118,Per Hour,0,0,0,0,254
Allegan,124,124,1636564.05,"Assessments - Testing
(Note: code retired 12/31/18)",,,96119,Each Additional Hour,0,0,0,0,254
Allegan,125,125,1636564.05,"Assessment for Autism
(Note: code retired 12/31/18)",,U5,96119,,0,0,0,0,254
Allegan,126,126,1636564.05,"Assessments - Testing
(Note: code retired 12/31/18)",,,96120,First Hour,0,0,0,0,254
Allegan,127,127,1636564.05,Assessments - Testing,,,96121,First Hour,0,0,0,0,254
Allegan,128,128,1636564.05,Assessments-Other,,,96127,Each Additional Hour,0,0,0,0,254
Allegan,129,129,1636564.05,Assessments - Testing,,,96130,Each Additional Hour,0,0,0,1951.34,254
Allegan,130,130,1636564.05,Assessment for Autism,,U5,96130,First Hour,3,5,781.76,3605.11,254
Allegan,131,131,1636564.05,Assessments - Testing,,,96131,First Hour,1,2,326.05,815.13,254
Allegan,132,132,1636564.05,Assessment for Autism,,U5,96131,Each Additional Hour,0,0,0,3298.33,254
Allegan,133,133,1636564.05,Assessments - Testing,,,96132,Each Additional Hour,0,0,0,0,254
Allegan,134,134,1636564.05,Assessment for Autism,,U5,96132,First 30 Minutes,2,2,592.24,592.24,254
Allegan,135,135,1636564.05,Assessments - Testing,,,96133,First 30 Minutes,0,0,0,0,254
Allegan,136,136,1636564.05,Assessment for Autism,,U5,96133,Each Additional 30 Minutes,2,7,2072.86,2072.86,254
Allegan,137,137,1636564.05,Assessments - Testing,,,96136,Each Additional 30 Minutes,3,3,489.08,2261.22,254
Allegan,138,138,1636564.05,Assessment for Autism,,U5,96136,First 30 Minutes,3,3,414.57,414.57,254
Allegan,139,139,1636564.05,Assessments - Testing,,,96137,Each Additional 30 Minutes,2,2,163.03,326.06,254
Allegan,140,140,1636564.05,Assessment for Autism,,U5,96137,Encounter,2,8,1184.49,1184.49,254
Allegan,141,141,1636564.05,Assessments - Testing,,,96138,Encounter,0,0,0,0,254
Allegan,142,142,1636564.05,Assessments - Testing,,,96139,15 Minutes,0,0,0,0,254
Allegan,143,143,1636564.05,Assessments - Testing,,,96146,15 Minutes,0,0,0,0,254
Allegan,144,144,1636564.05,Medication Administration,,,96372,15 Minutes,0,0,0,30035.57,254
Allegan,145,145,1636564.05,Occupational or Physical Therapy,,,97110,15 Minutes,0,0,0,666.93,254
Allegan,146,146,1636564.05,Occupational or Physical Therapy,,,97112,15 Minutes,0,0,0,0,254
Allegan,147,147,1636564.05,Occupational or Physical Therapy,,,97113,15 Minutes,0,0,0,0,254
Allegan,148,148,1636564.05,Occupational or Physical Therapy,,,97116,Encounter,0,0,0,0,254
Allegan,149,149,1636564.05,Occupational or Physical Therapy,,,97124,15 Minutes,0,0,0,0,254
Allegan,150,150,1636564.05,Occupational or Physical Therapy,,,97140,15 Minutes,0,0,0,301.35,254
Allegan,151,151,1636564.05,Occupational or Physical Therapy,,,97150,15 Minutes,1,6,1370.91,4569.7,254
Allegan,152,152,1636564.05,"ABA Behavior Identification Assessment 
(new code effective 1/1/19)",,U5,97151,15 Minutes,1,4,142.14,33998.06,254
Allegan,153,153,1636564.05,"ABA Adaptive Behavior Treatment 
(new code effective 1/1/19)",,U5,97153,15 Minutes,1,1106,16375.57,1021562.51,254
Allegan,154,154,1636564.05,"ABA Group Adaptive Behavior Treatment
(new code effective 1/1/19)",,U5,97154,15 Minutes,0,0,0,0,254
Allegan,155,155,1636564.05,"ABA Clinical Observation and Direction of Adaptive Behavior Treatment
(new code effective 1/1/19)",,U5,97155,15 Minutes,1,121,4299.7,291873.48,254
Allegan,156,156,1636564.05,"ABA Family Behavior Treatment Guidance
(new code effective 1/1/19)",,U5,97156,Encounter,0,0,0,49084.15,254
Allegan,157,157,1636564.05,"ABA Family Behavior Treatment Guidance
(new code effective 1/1/19)",,U5,97157,Encounter,0,0,0,0,254
Allegan,158,158,1636564.05,"ABA Adaptive Behavior Treatment Social Skills Group
(new code effective 1/1/19)",,U5,97158,Encounter,1,24,1462.04,4873.47,254
Allegan,159,159,1636564.05,Physical Therapy,,,97161,Encounter,0,0,0,0,254
Allegan,160,160,1636564.05,Physical Therapy,,,97162,Encounter,0,0,0,0,254
Allegan,161,161,1636564.05,Physical Therapy,,,97163,Encounter,0,0,0,0,254
Allegan,162,162,1636564.05,Physical Therapy,,,97164,Encounter,0,0,0,0,254
Allegan,163,163,1636564.05,Occupational Therapy,,,97165,Encounter,2,2,167.97,671.87,254
Allegan,164,164,1636564.05,Occupational Therapy,,,97166,15 Minutes,2,2,247.01,2701.66,254
Allegan,165,165,1636564.05,Occupational Therapy,,,97167,15 Minutes,0,0,0,676.27,254
Allegan,166,166,1636564.05,Occupational Therapy,,,97168,15 Minutes,1,1,142.03,1562.34,254
Allegan,167,167,1636564.05,Occupational or Physical Therapy,,,97530,15 Minutes,10,963,22822.58,108037.65,254
Allegan,168,168,1636564.05,Occupational or Physical Therapy,,,97533,15 Minutes,0,0,0,312.47,254
Allegan,169,169,1636564.05,Occupational or Physical Therapy,,,97535,15 Minutes,0,0,0,768.2,254
Allegan,170,170,1636564.05,Occupational or Physical Therapy,,,97537,15 Minutes,0,0,0,64.22,254
Allegan,171,171,1636564.05,Occupational or Physical Therapy,,,97542,15 Minutes,0,0,0,0,254
Allegan,172,172,1636564.05,Occupational or Physical Therapy,,,97750,15 Minutes,0,0,0,0,254
Allegan,173,173,1636564.05,Occupational Therapy,,,97755,15 Minutes,0,0,0,0,254
Allegan,174,174,1636564.05,Occupational or Physical Therapy,,,97760,15 Minutes,0,0,0,0,254
Allegan,176,176,1636564.05,Occupational or Physical Therapy,,,97763,30 Minutes,0,0,0,158.09,254
Allegan,177,177,1636564.05,Assessment or Health Services,,,97802,Encounter,0,0,0,0,254
Allegan,178,178,1636564.05,Assessment or Health Services,,,97803,Encounter,0,0,0,0,254
Allegan,179,179,1636564.05,Health Services,,,97804,Encounter,0,0,0,0,254
Allegan,180,180,1636564.05,Substance Use Disorder: Acupuncture,,,97810,Encounter,0,0,0,0,254
Allegan,181,181,1636564.05,Substance Use Disorder: Acupuncture,,,97811,Encounter,0,0,0,0,254
Allegan,182,182,1636564.05,New Patient Evaluation and Management,,,99201,Encounter,0,0,0,0,254
Allegan,183,183,1636564.05,Substance Use Disorder: New Patient Evaluation and Management,,HF,99201,Encounter,0,0,0,0,254
Allegan,184,184,1636564.05,New Patient Evaluation and Management,,,99202,Encounter,0,0,0,0,254
Allegan,185,185,1636564.05,Substance Use Disorder: New Patient Evaluation and Management,,HF,99202,Encounter,0,0,0,0,254
Allegan,186,186,1636564.05,New Patient Evaluation and Management,,,99203,Encounter,0,0,0,0,254
Allegan,187,187,1636564.05,Substance Use Disorder: New Patient Evaluation and Management,,HF,99203,Encounter,0,0,0,1412.47,254
Allegan,188,188,1636564.05,New Patient Evaluation and Management,,,99204,Encounter,0,0,0,0,254
Allegan,189,189,1636564.05,Substance Use Disorder: New Patient Evaluation and Management,,HF,99204,Encounter,0,0,0,0,254
Allegan,190,190,1636564.05,New Patient Evaluation and Management,,,99205,Encounter,0,0,0,0,254
Allegan,191,191,1636564.05,Substance Use Disorder: New Patient Evaluation and Management,,HF,99205,Encounter,0,0,0,0,254
Allegan,192,192,1636564.05,Established Patient Evaluation and Management,,,99211,Encounter,0,0,0,0,254
Allegan,193,193,1636564.05,Substance Use Disorder: Established Patient Evaluation and Management,,HF,99211,Encounter,0,0,0,0,254
Allegan,194,194,1636564.05,Established Patient Evaluation and Management,,,99212,Encounter,1,1,217.37,3080.8,254
Allegan,195,195,1636564.05,Substance Use Disorder: Established Patient Evaluation and Management,,HF,99212,Encounter,0,0,0,11416.88,254
Allegan,196,196,1636564.05,Established Patient Evaluation and Management,,,99213,Encounter,62,169,41350.35,400074.66,254
Allegan,197,197,1636564.05,Sustance Abuse: Established Patient Evaluation and Management,,HF,99213,Encounter,0,0,0,7572.79,254
Allegan,198,198,1636564.05,Established Patient Evaluation and Management,,,99214,Encounter,3,3,1663.62,8708.81,254
Allegan,199,199,1636564.05,Substance Use Disorder: Established Patient Evaluation and Management,,HF,99214,30 Minutes,0,0,0,282.51,254
Allegan,200,200,1636564.05,Established Patient Evaluation and Management,,,99215,50 Minutes,0,0,0,0,254
Allegan,201,201,1636564.05,Substance Use Disorder: Established Patient Evaluation and Management,,HF,99215,70 Minutes,0,0,0,0,254
Allegan,202,202,1636564.05,Additional Codes-Physician Services,,,99221,15 Minutes,3,3,370.52,1135.81,254
Allegan,203,203,1636564.05,Additional Codes-Physician Services,,,99222,25 minutes,0,0,0,617.53,254
Allegan,204,204,1636564.05,Additional Codes-Physician Services,,,99223,35 Minutes,0,0,0,2454.34,254
Allegan,205,205,1636564.05,Additional Codes-Physician Services,,,99224,15 Minutes,0,0,0,0,254
Allegan,206,206,1636564.05,Additional Codes-Physician Services,,,99225,25 minutes,0,0,0,0,254
Allegan,207,207,1636564.05,Additional Codes-Physician Services,,,99226,35 Minutes,0,0,0,0,254
Allegan,208,208,1636564.05,Additional Codes-Physician Services,,,99231,<= 30 Minutes,3,20,1350.52,7317.9,254
Allegan,209,209,1636564.05,Additional Codes-Physician Services,,,99232,> 30 Minutes,0,0,0,6674.54,254
Allegan,210,210,1636564.05,Additional Codes-Physician Services,,,99233,15 Minutes,4,4,370.99,7490.04,254
Allegan,211,211,1636564.05,Additional Codes-Physician Services,,,99238,30 Minutes,1,1,21.51,551.25,254
Allegan,212,212,1636564.05,Additional Codes-Physician Services,,,99239,40 Minutes,0,0,0,2574.58,254
Allegan,213,213,1636564.05,Substance Use Disorder: Physician Consultations,,HF,99241,60 Minutes,0,0,0,0,254
Allegan,214,214,1636564.05,Substance Use Disorder: Physician Consultations,,HF,99242,80 Minutes,0,0,0,0,254
Allegan,215,215,1636564.05,Substance Use Disorder: Physician Consultations,,HF,99243,20 Minutes,0,0,0,0,254
Allegan,216,216,1636564.05,Substance Use Disorder: Physician Consultations,,HF,99244,40 Minutes,0,0,0,0,254
Allegan,217,217,1636564.05,Substance Use Disorder: Physician Consultations,,HF,99245,55 Minutes,0,0,0,0,254
Allegan,218,218,1636564.05,Substance Use Disorder: Physician Consultations,,HF,99251,80 Minutes,0,0,0,0,254
Allegan,219,219,1636564.05,Substance Use Disorder: Physician Consultations,,HF,99252,110 Minutes,0,0,0,0,254
Allegan,220,220,1636564.05,Substance Use Disorder: Physician Consultations,,HF,99253,25 minutes,0,0,0,0,254
Allegan,221,221,1636564.05,Substance Use Disorder: Physician Consultations,,HF,99254,35 Minutes,0,0,0,0,254
Allegan,222,222,1636564.05,Substance Use Disorder: Physician Consultations,,HF,99255,45 Minutes,0,0,0,0,254
Allegan,223,223,1636564.05,Nursing Facility Services evaluation and management,,,99304,10 Minutes,0,0,0,0,254
Allegan,224,224,1636564.05,Nursing Facility Services evaluation and management,,,99305,15 Minutes,0,0,0,0,254
Allegan,225,225,1636564.05,Nursing Facility Services evaluation and management,,,99306,25 minutes,0,0,0,0,254
Allegan,226,226,1636564.05,Nursing Facility Services evaluation and management,,,99307,35 Minutes,0,0,0,0,254
Allegan,227,227,1636564.05,Nursing Facility Services evaluation and management,,,99308,Encounter,0,0,0,0,254
Allegan,228,228,1636564.05,Nursing Facility Services evaluation and management,,,99309,Encounter,0,0,0,0,254
Allegan,229,229,1636564.05,Nursing Facility Services evaluation and management,,,99310,Encounter,0,0,0,0,254
Allegan,230,230,1636564.05,Assessment,,,99324,Encounter,0,0,0,0,254
Allegan,231,231,1636564.05,Assessment,,,99325,Encounter,0,0,0,0,254
Allegan,232,232,1636564.05,Assessment,,,99326,Encounter,0,0,0,0,254
Allegan,233,233,1636564.05,Assessment,,,99327,Encounter,0,0,0,0,254
Allegan,234,234,1636564.05,Assessment,,,99328,Encounter,0,0,0,0,254
Allegan,235,235,1636564.05,Assessment,,,99334,Encounter,0,0,0,1656.7,254
Allegan,236,236,1636564.05,Assessment,,,99335,Encounter,0,0,0,0,254
Allegan,237,237,1636564.05,Assessment,,,99336,Encounter,0,0,0,0,254
Allegan,238,238,1636564.05,Assessment,,,99337,Encounter,0,0,0,0,254
Allegan,239,239,1636564.05,Assessment,,,99341,Encounter,0,0,0,0,254
Allegan,240,240,1636564.05,Assessment,,,99342,Encounter,0,0,0,0,254
Allegan,241,241,1636564.05,Assessment,,,99343,Encounter,0,0,0,0,254
Allegan,242,242,1636564.05,Assessment,,,99344,Encounter,0,0,0,0,254
Allegan,243,243,1636564.05,Assessment,,,99345,Encounter,0,0,0,0,254
Allegan,244,244,1636564.05,Assessment,,,99347,Encounter,0,0,0,0,254
Allegan,245,245,1636564.05,Assessment,,,99348,Encounter,0,0,0,0,254
Allegan,246,246,1636564.05,Assessment,,,99349,15 Minutes,0,0,0,0,254
Allegan,247,247,1636564.05,Assessment,,,99350,Per mile,0,0,0,0,254
Allegan,248,248,1636564.05,Medication Administration,,,99506,Per mile,0,0,0,0,254
Allegan,249,249,1636564.05,Medication Management,,,99605,Per one-way trip,0,0,0,0,254
Allegan,250,250,1636564.05,Transportation,,,A0080,Per one-way trip,0,0,0,0,254
Allegan,251,251,1636564.05,Transportation,,,A0090,Per one-way trip,0,0,0,0,254
Allegan,252,252,1636564.05,Transportation,,,A0100,Per one-way trip,0,0,0,0,254
Allegan,253,253,1636564.05,Substance Use Disorder: Transportation,,HF,A0100,Per one-way trip,0,0,0,0,254
Allegan,254,254,1636564.05,Transportation,,,A0110,Per one-way trip,0,0,0,0,254
