"CMH Name","MIC Group Num","MIC Serv Num","FirstOfMIC Totals","FirstOfService description","FirstOfRevenue Code","FirstOfModifier","FirstOfHCPCS Code","FirstOfUnit type","SumOfMIC-Cases","SumOfMIC-Units","SumOfMIC-Cost","SumOfOther Cost","FirstOfMIC Unique Consumers"
"Allegan",23,23,1548578.00,"Inpatient Hospital Ancillary Services - Respiratory Services","0410",,,"# of treatments",0.00,0.00,0.00,0.00,277.00
"Allegan",24,24,1548578.00,"Inpatient Hospital Ancillary Services -Physical Therapy","0420-0424",,,"# of treatments",0.00,0.00,0.00,0.00,277.00
"Allegan",25,25,1548578.00,"Inpatient Hospital Ancillary Services - Occupational Therapy","0430-0434",,,"# of treatments",0.00,0.00,0.00,0.00,277.00
"Allegan",26,26,1548578.00,"Inpatient Hospital Ancillary Services - Speech-Language Pathology","0440-0444",,,"# of treatments",0.00,0.00,0.00,0.00,277.00
"Allegan",27,27,1548578.00,"Inpatient Hospital Ancillary Services - Emergency Room","0450",,,"# of visits",0.00,0.00,0.00,0.00,277.00
"Allegan",28,28,1548578.00,"Inpatient Hospital Ancillary Services - Pulmonary Function","0460",,,"# of tests",0.00,0.00,0.00,0.00,277.00
"Allegan",29,29,1548578.00,"Inpatient Hospital Ancillary Services - Audiology","0470-0472",,,"# of tests",0.00,0.00,0.00,0.00,277.00
"Allegan",30,30,1548578.00,"Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT)","0610-0611",,,"# of tests",0.00,0.00,0.00,0.00,277.00
"Allegan",31,31,1548578.00,"Inpatient Hospital Ancillary Services - Pharmacy","0636",,,"# of units",0.00,0.00,0.00,0.00,277.00
"Allegan",32,32,1548578.00,"ECT Recovery Room","0710",,,,0.00,0.00,0.00,0.00,277.00
"Allegan",33,33,1548578.00,"Inpatient Hospital Ancillary Services -EKG/ECG","0730-0731",,,"# of tests",0.00,0.00,0.00,0.00,277.00
"Allegan",34,34,1548578.00,"Inpatient Hospital Ancillary Services - EEG","0740",,,"# of tests",0.00,0.00,0.00,0.00,277.00
"Allegan",35,35,1548578.00,"Crisis Observation Care","0762",,,"Hour",0.00,0.00,0.00,0.00,277.00
"Allegan",36,36,1548578.00,"Additional Codes-ECT Facility Charge","0901",,,"Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",37,37,1548578.00,"Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services","0900, 0902-0904, 0911, 0914-0919",,,"# of visits",0.00,0.00,0.00,0.00,277.00
"Allegan",38,38,1548578.00,"Outpatient Partial Hospitalization","0912",,,"Day",5.00,21.00,7681.00,21937.00,277.00
"Allegan",39,39,1548578.00,"Outpatient Partial Hospitalization","0913",,,"Day",0.00,0.00,0.00,0.00,277.00
"Allegan",40,40,1548578.00,"Inpatient Hospital Ancillary Services - Other Diagnosis Services","0925",,,"# of tests",0.00,0.00,0.00,0.00,277.00
"Allegan",41,41,1548578.00,"Inpatient Hospital Ancillary Services - Other Therapeutic Services","0940-0942",,,"# of visits",0.00,0.00,0.00,0.00,277.00
"Allegan",42,42,1548578.00,"Additional Codes-ECT Anesthesia",,,"00104","Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",43,43,1548578.00,"Additional Codes-ECT Anesthesia","0901",,"00104","Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",44,44,1548578.00,"ABA Behavior Identification Assessment",,"U5","0359T","Encounter",7.00,11.00,5938.00,68115.00,277.00
"Allegan",45,45,1548578.00,"ABA Behavioral Follow-up Assessment",,"U5","0362T","First 30 Minutes",0.00,0.00,0.00,1317.00,277.00
"Allegan",46,46,1548578.00,"ABA Behavioral Follow-up Assessment",,"U5","0363T","Each Additional 30 Minutes",0.00,0.00,0.00,2079.00,277.00
"Allegan",47,47,1548578.00,"ABA Adaptive Treatment",,"U5","0364T","First 30 Minutes",6.00,1110.00,36215.00,302357.00,277.00
"Allegan",48,48,1548578.00,"ABA Adaptive Treatment",,"U5","0365T","Each Additional 30 Minutes",6.00,5538.00,180531.00,1450164.00,277.00
"Allegan",49,49,1548578.00,"ABA Group Adaptive Behavior Treatment",,"U5","0366T","First 30 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",50,50,1548578.00,"ABA Group Adaptive Behavior Treatment",,"U5","0367T","Each Additional 30 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",51,51,1548578.00,"ABA Clinical Observation and Direction of Adaptive Behavior Treatment",,"U5","0368T","First 30 Minutes",6.00,261.00,18009.00,162966.00,277.00
"Allegan",52,52,1548578.00,"ABA Clinical Observation and Direction of Adaptive Behavior Treatment",,"U5","0369T","Each Additional 30 Minutes",6.00,542.00,37456.00,297266.00,277.00
"Allegan",53,53,1548578.00,"ABA Family Behavior Treatment Guidance",,"U5","0370T","Encounter",5.00,36.00,4990.00,64664.00,277.00
"Allegan",54,54,1548578.00,"ABA Family Behavior Treatment Guidance",,"U5","0371T","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",55,55,1548578.00,"ABA Adaptive Behavior Treatment Social Skills Group",,"U5","0372T","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",56,56,1548578.00,"ABA Exposure Adaptive Behavior Treatment",,"U5","0373T","First 60 Minutes",0.00,0.00,0.00,15149.00,277.00
"Allegan",57,57,1548578.00,"ABA Exposure Adaptive Behavior Treatment",,"U5","0374T","Each Additional 30 Minutes",0.00,0.00,0.00,42968.00,277.00
"Allegan",58,58,1548578.00,"Drug Screen",,,"80305","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",59,59,1548578.00,"Drug Screen",,,"80306","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",60,60,1548578.00,"Drug Screen",,,"80307","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",61,61,1548578.00,"Interactive Complexity - Add On Code",,,"90785","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",62,62,1548578.00,"Assessment for Autism",,"U5","90785","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",63,63,1548578.00,"Substance Abuse - Interactive Complexity - Add On Code",,"HF","90785","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",64,64,1548578.00,"Assessment",,,"90791
","Encounter",0.00,0.00,0.00,5321.00,277.00
"Allegan",65,65,1548578.00,"Substance Use: Assessment",,"HF","90791","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",66,66,1548578.00,"Assessment for Autism",,"U5","90791","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",67,67,1548578.00,"Assessment",,,"90792","Encounter",41.00,41.00,29852.00,86094.00,277.00
"Allegan",68,68,1548578.00,"Substance Use: Assessment",,"HF","90792","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",69,69,1548578.00,"Assessment for Autism",,"U5","90792","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",70,70,1548578.00,"Mental Health: Outpatient Care",,,"90832","30 Minutes",26.00,40.00,4193.00,49450.00,277.00
"Allegan",71,71,1548578.00,"Substance Use Disorder: Outpatient Care","0900, 0906, 0914, 0915, 0916, 0919","HF","90832","30 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",72,72,1548578.00,"Assessment",,,"90833","30 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",73,73,1548578.00,"Mental Health: Outpatient Care",,,"90834","45 Minutes",33.00,71.00,11884.00,202488.00,277.00
"Allegan",74,74,1548578.00,"Substance Use Disorder: Outpatient Care","0900, 0906, 0914, 0915, 0916, 0919","HF","90834","45 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",75,75,1548578.00,"Assessment",,,"90836","45 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",76,76,1548578.00,"Mental Health: Outpatient Care",,,"90837","60 Minutes",48.00,287.00,54036.00,280157.00,277.00
"Allegan",77,77,1548578.00,"Substance Use Disorder: Outpatient Care",,"HF","90837","60 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",78,78,1548578.00,"Assessment",,,"90838","60 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",79,79,1548578.00,"Psychotherapy for Crisis First 60 Minutes",,,"90839","First 30-74 Min.",0.00,0.00,0.00,752.00,277.00
"Allegan",80,80,1548578.00,"Psychotherapy for Crisis Each Additional 30 Minutes",,,"90840","Each Additional 30 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",81,81,1548578.00,"Therapy-Family Therapy",,,"90846","Encounter",21.00,63.00,17421.00,19209.00,277.00
"Allegan",82,82,1548578.00,"Substance Use Disorder: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919","HF","90846","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",83,83,1548578.00,"Therapy-Family Therapy",,,"90847","Encounter",47.00,173.00,53388.00,62479.00,277.00
"Allegan",84,84,1548578.00,"Substance Use Disorder: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919","HF","90847","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",85,85,1548578.00,"Therapy-Family Therapy",,,"90849","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",86,86,1548578.00,"Therapy-Family Therapy",,"HS","90849","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",87,87,1548578.00,"Substance Use Disorder: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919","HF","90849","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",88,88,1548578.00,"Therapy-Group Therapy",,,"90853","Encounter",0.00,0.00,0.00,84531.00,277.00
"Allegan",89,89,1548578.00,"Substance Use Disorder: Outpatient Treatment","0900, 0906, 0914, 0915, 0916, 0919","HF","90853","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",90,90,1548578.00,"Pharmacological Management (SED Waiver)",,,"90863",,0.00,0.00,0.00,0.00,277.00
"Allegan",91,91,1548578.00,"Additional Codes-ECT Physician",,,"90870","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",92,92,1548578.00,"Additional Codes-ECT Physician","0901",,"90870","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",93,93,1548578.00,"Assessments-Other",,,"90887","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",94,94,1548578.00,"Speech & Language Therapy ",,,"92507","Encounter",1.00,4.00,520.00,12119.00,277.00
"Allegan",95,95,1548578.00,"Speech & Language Therapy ",,,"92508","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",96,96,1548578.00,"Speech & Language Therapy ",,,"92521","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",97,97,1548578.00,"Speech & Language Therapy ",,,"92522","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",98,98,1548578.00,"Speech & Language Therapy ",,,"92523","Encounter",1.00,1.00,138.00,138.00,277.00
"Allegan",99,99,1548578.00,"Speech & Language Therapy ",,,"92524","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",100,100,1548578.00,"Speech & Language Therapy ",,,"92526","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",101,101,1548578.00,"Speech & Language Therapy ",,,"92607","First Hour",0.00,0.00,0.00,0.00,277.00
"Allegan",102,102,1548578.00,"Speech & Language Therapy ",,,"92608","Each Additional  30 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",103,103,1548578.00,"Speech & Language Therapy ",,,"92609","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",104,104,1548578.00,"Speech & Language Therapy ",,,"92610","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",109,109,1548578.00,"Psychological Testing PSYCH/PHYS ",,,"96101","Per Hour",0.00,0.00,0.00,1585.00,277.00
"Allegan",110,110,1548578.00,"Assessment for Autism",,"U5","96101","Hour",0.00,0.00,0.00,615.00,277.00
"Allegan",111,111,1548578.00,"Psychological Testing by Technician ",,,"96102","Per Hour",0.00,0.00,0.00,0.00,277.00
"Allegan",112,112,1548578.00,"Assessment for Autism",,"U5","96102","Hour",0.00,0.00,0.00,0.00,277.00
"Allegan",113,113,1548578.00,"Psychological Testing by Comp ",,,"96103","Per Hour",0.00,0.00,0.00,1816.00,277.00
"Allegan",114,114,1548578.00,"Assessments-Other",,,"96105","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",115,115,1548578.00,"Assessments-Other",,,"96110","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",116,116,1548578.00,"Assessments-Other",,,"96111","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",117,117,1548578.00,"Neurobehavioral Status Exam",,,"96116","Per Hour",0.00,0.00,0.00,0.00,277.00
"Allegan",118,118,1548578.00,"Neuropsych test by Psych/Phys ",,,"96118","Per Hour",0.00,0.00,0.00,0.00,277.00
"Allegan",119,119,1548578.00,"Assessment for Autism",,"U5","96118","Hour",0.00,0.00,0.00,0.00,277.00
"Allegan",120,120,1548578.00,"Neuropsych test by Tech ",,,"96119","Per Hour",0.00,0.00,0.00,0.00,277.00
"Allegan",121,121,1548578.00,"Assessment for Autism",,"U5","96119","Hour",0.00,0.00,0.00,0.00,277.00
"Allegan",122,122,1548578.00,"Neuropsych test Admin w/Comp ",,,"96120","Per Hour",0.00,0.00,0.00,0.00,277.00
"Allegan",123,123,1548578.00,"Assessments-Other",,,"96127",,0.00,0.00,0.00,0.00,277.00
"Allegan",124,124,1548578.00,"Medication Administration",,,"96372","Encounter",0.00,0.00,0.00,33030.00,277.00
"Allegan",125,125,1548578.00,"Occupational or Physical Therapy",,,"97110","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",126,126,1548578.00,"Occupational or Physical Therapy",,,"97112","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",127,127,1548578.00,"Occupational or Physical Therapy",,,"97113","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",128,128,1548578.00,"Occupational or Physical Therapy",,,"97116","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",129,129,1548578.00,"Occupational or Physical Therapy",,,"97124","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",130,130,1548578.00,"Occupational or Physical Therapy",,,"97140","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",131,131,1548578.00,"Occupational or Physical Therapy",,,"97150","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",132,132,1548578.00,"Physical Therapy",,,"97161","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",133,133,1548578.00,"Physical Therapy",,,"97162","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",134,134,1548578.00,"Physical Therapy",,,"97163","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",135,135,1548578.00,"Physical Therapy",,,"97164","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",136,136,1548578.00,"Occupational Therapy",,,"97165","Encounter",1.00,1.00,79.00,79.00,277.00
"Allegan",137,137,1548578.00,"Occupational Therapy",,,"97166","Encounter",1.00,1.00,79.00,79.00,277.00
"Allegan",138,138,1548578.00,"Occupational Therapy",,,"97167","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",139,139,1548578.00,"Occupational Therapy",,,"97168","Encounter",0.00,0.00,0.00,314.00,277.00
"Allegan",140,140,1548578.00,"Occupational or Physical Therapy",,,"97530","15 Minutes",3.00,375.00,7364.00,64432.00,277.00
"Allegan",141,141,1548578.00,"Occupational or Physical Therapy 
(Note: Retired 12/31/17)",,,"97532","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",142,142,1548578.00,"Occupational or Physical Therapy",,,"97533","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",143,143,1548578.00,"Occupational or Physical Therapy",,,"97535","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",144,144,1548578.00,"Occupational or Physical Therapy",,,"97537","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",145,145,1548578.00,"Occupational or Physical Therapy",,,"97542","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",146,146,1548578.00,"Occupational or Physical Therapy",,,"97750","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",147,147,1548578.00,"Occupational Therapy",,,"97755","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",148,148,1548578.00,"Occupational or Physical Therapy",,,"97760","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",150,150,1548578.00,"C/O for Orthotic/Prosth Use  or Physical Therapy
(Note: Retired 12/31/17)",,,"97762","15 minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",151,151,1548578.00,"Occupational or Physical Therapy",,,"97763","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",152,152,1548578.00,"Assessment or Health Services",,,"97802","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",153,153,1548578.00,"Assessment or Health Services",,,"97803","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",154,154,1548578.00,"Health Services",,,"97804","30 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",155,155,1548578.00,"Substance Use Disorder: Acupuncture",,,"97810","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",156,156,1548578.00,"Substance Use Disorder: Acupuncture",,,"97811","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",157,157,1548578.00,"New Patient Evaluation and Management",,,"99201","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",158,158,1548578.00,"Substance Use Disorder: New Patient Evaluation and Management",,"HF","99201","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",159,159,1548578.00,"New Patient Evaluation and Management",,,"99202","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",160,160,1548578.00,"Substance Use Disorder: New Patient Evaluation and Management",,"HF","99202","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",161,161,1548578.00,"New Patient Evaluation and Management",,,"99203","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",162,162,1548578.00,"Substance Use Disorder: New Patient Evaluation and Management",,"HF","99203","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",163,163,1548578.00,"New Patient Evaluation and Management",,,"99204","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",164,164,1548578.00,"Substance Use Disorder: New Patient Evaluation and Management",,"HF","99204","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",165,165,1548578.00,"New Patient Evaluation and Management",,,"99205","Encounter",0.00,0.00,0.00,184.00,277.00
"Allegan",166,166,1548578.00,"Substance Use Disorder: New Patient Evaluation and Management",,"HF","99205","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",167,167,1548578.00,"Established Patient Evaluation and Management",,,"99211","Encounter",0.00,0.00,0.00,1083.00,277.00
"Allegan",168,168,1548578.00,"Substance Use Disorder: Established Patient Evaluation and Management",,"HF","99211","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",169,169,1548578.00,"Established Patient Evaluation and Management",,,"99212","Encounter",1.00,1.00,204.00,2195.00,277.00
"Allegan",170,170,1548578.00,"Substance Use Disorder: Established Patient Evaluation and Management",,"HF","99212","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",171,171,1548578.00,"Established Patient Evaluation and Management",,,"99213","Encounter",71.00,188.00,32630.00,325148.00,277.00
"Allegan",172,172,1548578.00,"Sustance Abuse: Established Patient Evaluation and Management",,"HF","99213","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",173,173,1548578.00,"Established Patient Evaluation and Management",,,"99214","Encounter",3.00,3.00,836.00,16081.00,277.00
"Allegan",174,174,1548578.00,"Substance Use Disorder: Established Patient Evaluation and Management",,"HF","99214","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",175,175,1548578.00,"Established Patient Evaluation and Management",,,"99215","Encounter",2.00,2.00,774.00,20846.00,277.00
"Allegan",176,176,1548578.00,"Substance Use Disorder: Established Patient Evaluation and Management",,"HF","99215","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",177,177,1548578.00,"Additional Codes-Physician Services",,,"99221","30 Minutes",4.00,4.00,446.00,803.00,277.00
"Allegan",178,178,1548578.00,"Additional Codes-Physician Services",,,"99222","50 Minutes",0.00,0.00,0.00,493.00,277.00
"Allegan",179,179,1548578.00,"Additional Codes-Physician Services",,,"99223","70 Minutes",1.00,1.00,113.00,2261.00,277.00
"Allegan",180,180,1548578.00,"Additional Codes-Physician Services",,,"99224","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",181,181,1548578.00,"Additional Codes-Physician Services",,,"99225","25 minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",182,182,1548578.00,"Additional Codes-Physician Services",,,"99226","35 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",183,183,1548578.00,"Additional Codes-Physician Services",,,"99231","15 Minutes",3.00,9.00,539.00,3056.00,277.00
"Allegan",184,184,1548578.00,"Additional Codes-Physician Services",,,"99232","25 minutes",2.00,9.00,1017.00,8702.00,277.00
"Allegan",185,185,1548578.00,"Additional Codes-Physician Services",,,"99233","35 Minutes",3.00,8.00,806.00,6623.00,277.00
"Allegan",186,186,1548578.00,"Additional Codes-Physician Services",,,"99238","<= 30 Minutes",4.00,5.00,466.00,981.00,277.00
"Allegan",187,187,1548578.00,"Additional Codes-Physician Services",,,"99239","> 30 Minutes",0.00,0.00,0.00,1741.00,277.00
"Allegan",188,188,1548578.00,"Substance Use Disorder: Physician Consultations",,"HF","99241","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",189,189,1548578.00,"Substance Use Disorder: Physician Consultations",,"HF","99242","30 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",190,190,1548578.00,"Substance Use Disorder: Physician Consultations",,"HF","99243","40 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",191,191,1548578.00,"Substance Use Disorder: Physician Consultations",,"HF","99244","60 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",192,192,1548578.00,"Substance Use Disorder: Physician Consultations",,"HF","99245","80 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",193,193,1548578.00,"Substance Use Disorder: Physician Consultations",,"HF","99251","20 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",194,194,1548578.00,"Substance Use Disorder: Physician Consultations",,"HF","99252","40 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",195,195,1548578.00,"Substance Use Disorder: Physician Consultations",,"HF","99253","55 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",196,196,1548578.00,"Substance Use Disorder: Physician Consultations",,"HF","99254","80 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",197,197,1548578.00,"Substance Use Disorder: Physician Consultations",,"HF","99255","110 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",198,198,1548578.00,"Nursing Facility Services evaluation and management",,,"99304","25 minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",199,199,1548578.00,"Nursing Facility Services evaluation and management",,,"99305","35 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",200,200,1548578.00,"Nursing Facility Services evaluation and management",,,"99306","45 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",201,201,1548578.00,"Nursing Facility Services evaluation and management",,,"99307","10 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",202,202,1548578.00,"Nursing Facility Services evaluation and management",,,"99308","15 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",203,203,1548578.00,"Nursing Facility Services evaluation and management",,,"99309","25 minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",204,204,1548578.00,"Nursing Facility Services evaluation and management",,,"99310","35 Minutes",0.00,0.00,0.00,0.00,277.00
"Allegan",205,205,1548578.00,"Assessment",,,"99324","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",206,206,1548578.00,"Assessment",,,"99325","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",207,207,1548578.00,"Assessment",,,"99326","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",208,208,1548578.00,"Assessment",,,"99327","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",209,209,1548578.00,"Assessment",,,"99328","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",210,210,1548578.00,"Assessment",,,"99334","Encounter",0.00,0.00,0.00,52.00,277.00
"Allegan",211,211,1548578.00,"Assessment",,,"99335","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",212,212,1548578.00,"Assessment",,,"99336","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",213,213,1548578.00,"Assessment",,,"99337","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",214,214,1548578.00,"Assessment",,,"99341","Encounter",0.00,0.00,0.00,0.00,277.00
"Allegan",215,215,1548578.00,"Assessment",,,"99342","Encounter",0.00,0.00,0.00,0.00,277.00
