CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIA-Cases,SumOfMIA-Units,SumOfMIA-Cost,SumOfOther Cost,FirstOfMIA Totals,FirstOfMIA Unique Consumers
Allegan,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0,0,7846395.15,954
Allegan,Crisis Observation Care,762,,,Hour,0,0,0,0,7846395.15,954
Allegan,Additional Codes-ECT Facility Charge,901,,,Encounter,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,0,7846395.15,954
Allegan,Outpatient Partial Hospitalization,912,,,Day,7,43,10287.63,29900.58,7846395.15,954
Allegan,Outpatient Partial Hospitalization,913,,,Day,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0,7846395.15,954
Allegan,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0,0,7846395.15,954
Allegan,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0,0,7846395.15,954
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80300,,per date of service,0,0,0,0,7846395.15,954
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80301,,per date of service,0,0,0,0,7846395.15,954
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80302,,each procedure,0,0,0,0,7846395.15,954
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80303,,per date of service ,0,0,0,0,7846395.15,954
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80304,,each procedure,0,0,0,0,7846395.15,954
Allegan,Drug Screen,,80305,,Encounter,0,0,0,0,7846395.15,954
Allegan,Drug Screen,,80306,,Encounter,0,0,0,0,7846395.15,954
Allegan,Drug Screen,,80307,,Encounter,0,0,0,0,7846395.15,954
Allegan,Interactive Complexity - Add On Code,,90785,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Abuse - Interactive Complexity - Add On Code,,90785,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,"90791
",,Encounter,123,127,43449.5,111422.38,7846395.15,954
Allegan,Substance Use: Assessment,,90791,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,90792,,Encounter,113,116,91135.69,145173.21,7846395.15,954
Allegan,Substance Use: Assessment,,90792,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Mental Health: Outpatient Care,,90832,,30 Minutes,136,409,39594.93,69553.28,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0,0,7846395.15,954
Allegan,Assessment,,90833,,30 Minutes,0,0,0,0,7846395.15,954
Allegan,Mental Health: Outpatient Care,,90834,,45 Minutes,232,1505,241863.32,295473.27,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0,7846395.15,954
Allegan,Assessment,,90836,,45 Minutes,0,0,0,0,7846395.15,954
Allegan,Mental Health: Outpatient Care,,90837,,60 Minutes,206,1334,296017.14,405392.31,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0,7846395.15,954
Allegan,Assessment,,90838,,60 Minutes,0,0,0,0,7846395.15,954
Allegan,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,14,17,3007.1,3456.7,7846395.15,954
Allegan,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,0,7846395.15,954
Allegan,Therapy-Family Therapy,,90846,,Encounter,1,2,394.55,15990.73,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Therapy-Family Therapy,,90847,,Encounter,2,2,782.81,78245.64,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0,7846395.15,954
Allegan,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Therapy-Group Therapy,,90853,,Encounter,23,380,100347.52,110644.98,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,0,7846395.15,954
Allegan,Additional Codes-ECT Physician,901,90870,,Encounter,1,7,4899.36,4899.36,7846395.15,954
Allegan,Assessments-Other,,90887,,Encounter,0,0,0,0,7846395.15,954
Allegan,Speech & Language Therapy ,,92507,,Encounter,1,9,1834.83,12780.11,7846395.15,954
Allegan,Speech & Language Therapy ,,92508,,Encounter,0,0,0,0,7846395.15,954
Allegan,Speech & Language Therapy ,,92521,,Encounter,0,0,0,0,7846395.15,954
Allegan,Speech & Language Therapy ,,92522,,Encounter,0,0,0,0,7846395.15,954
Allegan,Speech & Language Therapy ,,92523,,Encounter,0,0,0,731.88,7846395.15,954
Allegan,Speech & Language Therapy ,,92524,,Encounter,0,0,0,0,7846395.15,954
Allegan,Speech & Language Therapy ,,92526,,Encounter,0,0,0,0,7846395.15,954
Allegan,Speech & Language Therapy ,,92607,,First Hour,0,0,0,0,7846395.15,954
Allegan,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0,0,7846395.15,954
Allegan,Speech & Language Therapy ,,92609,,Encounter,0,0,0,0,7846395.15,954
Allegan,Speech & Language Therapy ,,92610,,Encounter,0,0,0,0,7846395.15,954
Allegan,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,10,16,3089.52,4514.76,7846395.15,954
Allegan,Psychological Testing by Technician ,,96102,,Per Hour,0,0,0,0,7846395.15,954
Allegan,Psychological Testing by Comp ,,96103,,Per Hour,3,3,144.81,172.55,7846395.15,954
Allegan,Assessments-Other,,96105,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessments-Other,,96110,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessments-Other,,96111,,Encounter,0,0,0,0,7846395.15,954
Allegan,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0,0,7846395.15,954
Allegan,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0,0,7846395.15,954
Allegan,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0,0,7846395.15,954
Allegan,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0,0,7846395.15,954
Allegan,Assessments-Other,,96127,,,0,0,0,0,7846395.15,954
Allegan,Medication Administration,,96372,,Encounter,39,485,22497.39,28495.7,7846395.15,954
Allegan,Physical Therapy - Note: retired 1/1/17,,97001,,Encounter,0,0,0,0,7846395.15,954
Allegan,Physical Therapy - Note: retired 1/1/17,,97002,,Encounter,0,0,0,0,7846395.15,954
Allegan,Occupational Therapy - Note: retired 1/1/17,,97003,,Encounter,0,0,0,1685.7,7846395.15,954
Allegan,Occupational Therapy - Note: retired 1/1/17,,97004,,Encounter,0,0,0,551.95,7846395.15,954
Allegan,Occupational or Physical Therapy,,97110,,15 Minutes,0,0,0,2560.6,7846395.15,954
Allegan,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0,344.18,7846395.15,954
Allegan,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0,7846395.15,954
Allegan,Physical Therapy,,97161,,Encounter,0,0,0,0,7846395.15,954
Allegan,Physical Therapy,,97162,,Encounter,0,0,0,0,7846395.15,954
Allegan,Physical Therapy,,97163,,Encounter,0,0,0,0,7846395.15,954
Allegan,Physical Therapy,,97164,,Encounter,0,0,0,0,7846395.15,954
Allegan,Occupational Therapy,,97165,,Encounter,0,0,0,2337.49,7846395.15,954
Allegan,Occupational Therapy,,97166,,Encounter,0,0,0,238.2,7846395.15,954
Allegan,Occupational Therapy,,97167,,Encounter,0,0,0,556.15,7846395.15,954
Allegan,Occupational Therapy,,97168,,Encounter,0,0,0,4170.07,7846395.15,954
Allegan,Occupational or Physical Therapy,,97530,,15 Minutes,1,1,7.13,65330.48,7846395.15,954
Allegan,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0,4249.82,7846395.15,954
Allegan,Occupational or Physical Therapy,,97535,,15 Minutes,1,3,21.44,824.18,7846395.15,954
Allegan,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Occupational Therapy,,97755,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,0,0,0,183.63,7846395.15,954
Allegan,Assessment or Health Services,,97802,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Assessment or Health Services,,97803,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Health Services,,97804,,30 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Acupuncture,,97810,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Acupuncture,,97811,,Encounter,0,0,0,0,7846395.15,954
Allegan,New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,New Patient Evaluation and Management,,99205,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Established Patient Evaluation and Management,,99211,,Encounter,2,2,393.5,494.24,7846395.15,954
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Established Patient Evaluation and Management,,99212,,Encounter,6,7,1050.26,1983.36,7846395.15,954
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Established Patient Evaluation and Management,,99213,,Encounter,409,1522,229338.23,373928.98,7846395.15,954
Allegan,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Established Patient Evaluation and Management,,99214,,Encounter,45,51,15211.87,21870.49,7846395.15,954
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Established Patient Evaluation and Management,,99215,,Encounter,57,60,21118.32,30085.72,7846395.15,954
Allegan,Substance Use Disorder: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Additional Codes-Physician Services,,99221,,30 Minutes,2,2,169.91,1245.97,7846395.15,954
Allegan,Additional Codes-Physician Services,,99222,,50 Minutes,9,9,834.2,1438.62,7846395.15,954
Allegan,Additional Codes-Physician Services,,99223,,70 Minutes,25,27,2439.4,2842.35,7846395.15,954
Allegan,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0,7846395.15,954
Allegan,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0,7846395.15,954
Allegan,Additional Codes-Physician Services,,99231,,15 Minutes,20,47,2454.23,5216.41,7846395.15,954
Allegan,Additional Codes-Physician Services,,99232,,25 minutes,28,72,5947.64,8309.94,7846395.15,954
Allegan,Additional Codes-Physician Services,,99233,,35 Minutes,25,67,5912.43,7826.43,7846395.15,954
Allegan,Substance Use Disorder: Physician Consultations,,99241,HF,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Physician Consultations,,99242,HF,30 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Physician Consultations,,99243,HF,40 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Physician Consultations,,99244,HF,60 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Physician Consultations,,99245,HF,80 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Physician Consultations,,99251,HF,20 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Physician Consultations,,99252,HF,40 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Physician Consultations,,99253,HF,55 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Physician Consultations,,99254,HF,80 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Physician Consultations,,99255,HF,110 Minutes,0,0,0,0,7846395.15,954
Allegan,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0,0,7846395.15,954
Allegan,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0,0,7846395.15,954
Allegan,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0,0,7846395.15,954
Allegan,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0,0,7846395.15,954
Allegan,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0,0,7846395.15,954
Allegan,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0,0,7846395.15,954
Allegan,Assessment,,99324,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99325,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99326,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99327,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99328,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99334,,Encounter,1,2,93.87,177.9,7846395.15,954
Allegan,Assessment,,99335,,Encounter,0,0,0,81.72,7846395.15,954
Allegan,Assessment,,99336,,Encounter,2,2,114.15,114.15,7846395.15,954
Allegan,Assessment,,99337,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99341,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99342,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99343,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99344,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99345,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99347,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99348,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99349,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment,,99350,,Encounter,0,0,0,0,7846395.15,954
Allegan,Medication Administration,,99506,,Encounter,0,0,0,0,7846395.15,954
Allegan,Medication Management,,99605,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Transportation,,A0080,,Per mile,0,0,0,0,7846395.15,954
Allegan,Transportation,,A0090,,Per mile,0,0,0,0,7846395.15,954
Allegan,Transportation,,A0100,,Per one-way trip,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Transportation,,A0100,HF,Per one-way trip,0,0,0,0,7846395.15,954
Allegan,Transportation,,A0110,,Per one-way trip,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Transportation,,A0110,HF,Per one-way trip,0,0,0,0,7846395.15,954
Allegan,Transportation,,A0120,,Per one-way trip,0,0,0,0,7846395.15,954
Allegan,Transportation,,A0130,,Per one-way trip,0,0,0,0,7846395.15,954
Allegan,Transportation,,A0140,,Per one-way trip,0,0,0,0,7846395.15,954
Allegan,Transportation,,A0170,,,0,0,0,0,7846395.15,954
Allegan,Additional Codes-Transportation,,A0425,,Per Mile,1,16,438.1,438.1,7846395.15,954
Allegan,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,2,2,3430.81,3430.81,7846395.15,954
Allegan,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0,0,7846395.15,954
Allegan,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Recovery Support Services,,G0409,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Individual Assessment,,H0001,,Encounter,0,0,0,0,7846395.15,954
Allegan,Assessment ,,H0002,,Encounter,0,0,0,1656.9,7846395.15,954
Allegan,Substance Use Disorder: Laboratory,,H0003,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Case Management,,H0006,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Care,906,H0015,,Day,0,0,0,0,7846395.15,954
Allegan,Crisis Residential Services,,H0018,,Day,63,302,133549.98,188582.56,7846395.15,954
Allegan,Substance Use Disorder: Residential,1002,H0018,HF,Day,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Residential,1002,H0019,HF,Day,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Methadone,,H0020,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Early Intervention,,H0022,,Encounter,0,0,0,0,7846395.15,954
Allegan,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0,0,7846395.15,954
Allegan,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0,0,7846395.15,954
Allegan,Assessment ,,H0031,,Encounter,196,198,64587.86,82416.44,7846395.15,954
Allegan,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,5,5,1615.98,48802.65,7846395.15,954
Allegan,Treatment Planning,,H0032,,Encounter,181,192,46018.24,95720.64,7846395.15,954
Allegan,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,166,209,50194.07,65813.48,7846395.15,954
Allegan,Substance Use Disorder: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0,7846395.15,954
Allegan,Health Services,,H0034,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Home Based Services,,H0036,,15 Minutes,2,132,8726.3,603132.68,7846395.15,954
Allegan,Home Based Services,,H0036,ST,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Peer Directed and Operated Support Services,,H0038,,15 minutes,18,316,31567.94,33262.62,7846395.15,954
Allegan,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Peer Directed and Operated Support Services,,NA,,,0,0,0,0,7846395.15,954
Allegan,Assertive Community Treatment (ACT),,H0039,,15 Minutes,83,11500,846327.38,853035.8,7846395.15,954
Allegan,Community Living Supports in Independent living/own home,,H0043,,Per diem,5,1051,151170.25,2424649.04,7846395.15,954
Allegan,Respite,,H0045,,Day,0,0,0,755.52,7846395.15,954
Allegan,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Laboratory,,H0048,,Encounter,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Behavior Treatment Plan Review,,H2000,,Encounter,8,28,4495.37,29701.54,7846395.15,954
Allegan,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,9,33,5298.11,30996.64,7846395.15,954
Allegan,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0,0,7846395.15,954
Allegan,Crisis Intervention,,H2011,,15 Minutes,30,68,5415.39,9142.65,7846395.15,954
Allegan,"Substance Use Disorder: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,41,7606,182130.66,1014164.5,7846395.15,954
Allegan,Out of Home Non Vocational Habilitation,,H2014,HK,15 Minutes,0,0,0,278724.65,7846395.15,954
Allegan,Community Living Supports (15 Minutes),,H2015,,15 Minutes,41,71962,248590.93,2018617.35,7846395.15,954
Allegan,Community Living Supports (Daily),,H2016,,Per Diem,52,14846,1982702.25,4953398.63,7846395.15,954
Allegan,Behavior Services,,H2019,,15 Minutes,16,357,19226.79,29512.62,7846395.15,954
Allegan,Behavior Services,,H2019,TT,15 Minutes,15,1109,59349.56,78080.26,7846395.15,954
Allegan,Wraparound,,H2021,,15 Minutes,0,0,0,93450.26,7846395.15,954
Allegan,Wraparound (SED Waiver),,H2022,,Day,0,0,0,341.04,7846395.15,954
Allegan,Wraparound (SED Waiver),,H2022,TT,Day,0,0,0,0,7846395.15,954
Allegan,Supported Employment Services,,H2023,,15 minutes,57,2473,185103.37,626488.43,7846395.15,954
Allegan,Mental Health Therapy,,H2027,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Home Based Services,,H2033,,15 Minutes,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Recovery Housing,,H2034,,Day,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0,0,7846395.15,954
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0,0,7846395.15,954
Allegan,Telemedicine Facility Fee,,Q3014,GT,Per Service,0,0,0,0,7846395.15,954
Allegan,Transportation,,S0209,,Per Mile,0,0,0,0,7846395.15,954
Allegan,Transportation,,S0215,,Per Mile,0,0,0,0,7846395.15,954
