"","FY","PIHP","PIHPname","CMHSP","Population","Phase","Name","Item","Desc","People","Undup"
"22",2011,3,"LRP","Allegan","MIA","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",521,FALSE
"23",2011,3,"LRP","Allegan","MIA","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",173,FALSE
"24",2011,3,"LRP","Allegan","MIA","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",348,FALSE
"25",2011,3,"LRP","Allegan","MIA","Eligibility","no_elig_deter","9","Of the # in Row 7 - How many did not receive eligibility determination (dropped out, no show, etc.) ",72,FALSE
"26",2011,3,"LRP","Allegan","MIA","Eligibility","rfr_to_FFS","10","Of the # in Row 7 - how many were not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"27",2011,3,"LRP","Allegan","MIA","Eligibility","rfr_to_MHP","11","Of the # in Row 7 - how many were not served because they were MA HP enrolled and referred out to MA health plan",11,FALSE
"28",2011,3,"LRP","Allegan","MIA","Eligibility","not_eligible","12","Of the # in Row 7 - how many otherwise did not meet cmhsp non-entitlement eligibility criteria",13,FALSE
"29",2011,3,"LRP","Allegan","MIA","Eligibility","rfr_to_mh_Y","12a","     Of the # in row 12 - How many were referred out to other mental health providers",0,FALSE
"30",2011,3,"LRP","Allegan","MIA","Eligibility","rfr_to_mh_N","12b","     Of the # in row 12 - How many were not referred out to other mental health providers",13,FALSE
"31",2011,3,"LRP","Allegan","MIA","Eligibility","eligible","13","Of the # in Row 7 - How many people met the cmhsp eligibility criteria",252,FALSE
"32",2011,3,"LRP","Allegan","MIA","Placement","urgent_crit","14","Of the # in Row 13 - How many met emergency/urgent conditions criteria",29,FALSE
"33",2011,3,"LRP","Allegan","MIA","Placement","immed_crit","15","Of the # in Row 13 - How many met immediate admission criteria",252,FALSE
"34",2011,3,"LRP","Allegan","MIA","Waiting","waiting","16"," Of the # in Row 13 - How many were put on a waiting list",0,FALSE
"35",2011,3,"LRP","Allegan","MIA","Waiting","some_wait","16a","     Of the # in row 16 - How many received some cmhsp services, but wait listed for other services",0,FALSE
"36",2011,3,"LRP","Allegan","MIA","Waiting","all_wait","16b","       Of the # in row 16 - How many were wait listed for all cmhsp services",0,FALSE
"37",2011,3,"LRP","Allegan","MIC","Start","total_in","1","Total # of people who telephoned or walked in",219,FALSE
"38",2011,3,"LRP","Allegan","MIC","Entry","out_nonMH","3","# referred out due to non MH needs (of row 1)",0,FALSE
"39",2011,3,"LRP","Allegan","MIC","Entry","seeking_SUD","4","# seeking substance abuse services (of row 1)",0,FALSE
"40",2011,3,"LRP","Allegan","MIC","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",219,FALSE
"41",2011,3,"LRP","Allegan","MIC","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",30,FALSE
"42",2011,3,"LRP","Allegan","MIC","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",189,FALSE
"43",2011,3,"LRP","Allegan","MIC","Eligibility","no_elig_deter","9","Of the # in Row 7 - How many did not receive eligibility determination (dropped out, no show, etc.) ",39,FALSE
"44",2011,3,"LRP","Allegan","MIC","Eligibility","rfr_to_FFS","10","Of the # in Row 7 - how many were not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",1,FALSE
"45",2011,3,"LRP","Allegan","MIC","Eligibility","rfr_to_MHP","11","Of the # in Row 7 - how many were not served because they were MA HP enrolled and referred out to MA health plan",13,FALSE
"46",2011,3,"LRP","Allegan","MIC","Eligibility","not_eligible","12","Of the # in Row 7 - how many otherwise did not meet cmhsp non-entitlement eligibility criteria",3,FALSE
"47",2011,3,"LRP","Allegan","MIC","Eligibility","rfr_to_mh_Y","12a","     Of the # in row 12 - How many were referred out to other mental health providers",0,FALSE
"48",2011,3,"LRP","Allegan","MIC","Eligibility","rfr_to_mh_N","12b","     Of the # in row 12 - How many were not referred out to other mental health providers",3,FALSE
"49",2011,3,"LRP","Allegan","MIC","Eligibility","eligible","13","Of the # in Row 7 - How many people met the cmhsp eligibility criteria",133,FALSE
"50",2011,3,"LRP","Allegan","MIC","Placement","urgent_crit","14","Of the # in Row 13 - How many met emergency/urgent conditions criteria",5,FALSE
"51",2011,3,"LRP","Allegan","MIC","Placement","immed_crit","15","Of the # in Row 13 - How many met immediate admission criteria",133,FALSE
"52",2011,3,"LRP","Allegan","MIC","Waiting","waiting","16"," Of the # in Row 13 - How many were put on a waiting list",0,FALSE
"53",2011,3,"LRP","Allegan","MIC","Waiting","some_wait","16a","     Of the # in row 16 - How many received some cmhsp services, but wait listed for other services",0,FALSE
"54",2011,3,"LRP","Allegan","MIC","Waiting","all_wait","16b","       Of the # in row 16 - How many were wait listed for all cmhsp services",0,FALSE
"55",2011,3,"LRP","Allegan","Other","Start","total_in","1","Total # of people who telephoned or walked in",33,FALSE
"56",2011,3,"LRP","Allegan","Other","Entry","out_nonMH","3","# referred out due to non MH needs (of row 1)",0,FALSE
"57",2011,3,"LRP","Allegan","Other","Entry","seeking_SUD","4","# seeking substance abuse services (of row 1)",8,FALSE
"58",2011,3,"LRP","Allegan","Other","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",25,FALSE
"59",2011,3,"LRP","Allegan","Other","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",33,FALSE
"60",2011,3,"LRP","Allegan","Other","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",0,FALSE
"61",2011,3,"LRP","Allegan","Other","Eligibility","no_elig_deter","9","Of the # in Row 7 - How many did not receive eligibility determination (dropped out, no show, etc.) ",0,FALSE
"62",2011,3,"LRP","Allegan","Other","Eligibility","rfr_to_FFS","10","Of the # in Row 7 - how many were not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"63",2011,3,"LRP","Allegan","Other","Eligibility","rfr_to_MHP","11","Of the # in Row 7 - how many were not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"64",2011,3,"LRP","Allegan","Other","Eligibility","not_eligible","12","Of the # in Row 7 - how many otherwise did not meet cmhsp non-entitlement eligibility criteria",0,FALSE
"65",2011,3,"LRP","Allegan","Other","Eligibility","rfr_to_mh_Y","12a","     Of the # in row 12 - How many were referred out to other mental health providers",0,FALSE
"66",2011,3,"LRP","Allegan","Other","Eligibility","rfr_to_mh_N","12b","     Of the # in row 12 - How many were not referred out to other mental health providers",0,FALSE
"67",2011,3,"LRP","Allegan","Other","Eligibility","eligible","13","Of the # in Row 7 - How many people met the cmhsp eligibility criteria",0,FALSE
"68",2011,3,"LRP","Allegan","Other","Placement","urgent_crit","14","Of the # in Row 13 - How many met emergency/urgent conditions criteria",0,FALSE
"69",2011,3,"LRP","Allegan","Other","Placement","immed_crit","15","Of the # in Row 13 - How many met immediate admission criteria",0,FALSE
"70",2011,3,"LRP","Allegan","Other","Waiting","waiting","16"," Of the # in Row 13 - How many were put on a waiting list",0,FALSE
"71",2011,3,"LRP","Allegan","Other","Waiting","some_wait","16a","     Of the # in row 16 - How many received some cmhsp services, but wait listed for other services",0,FALSE
"72",2011,3,"LRP","Allegan","Other","Waiting","all_wait","16b","       Of the # in row 16 - How many were wait listed for all cmhsp services",0,FALSE
"73",2012,3,"LRP","Allegan","DD","Start","total_in","1","Total # of people who telephoned or walked in",66,FALSE
"74",2012,3,"LRP","Allegan","DD","Entry","out_nonMH","3","# referred out due to non MH needs (of row 1)",0,FALSE
"75",2012,3,"LRP","Allegan","DD","Entry","seeking_SUD","4","# seeking substance abuse services (of row 1)",0,FALSE
"76",2012,3,"LRP","Allegan","DD","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",66,FALSE
"77",2012,3,"LRP","Allegan","DD","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",0,FALSE
"78",2012,3,"LRP","Allegan","DD","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",66,FALSE
"79",2012,3,"LRP","Allegan","DD","Eligibility","no_elig_deter","9","Of the # in Row 7 - How many did not receive eligibility determination (dropped out, no show, etc.) ",0,FALSE
"80",2012,3,"LRP","Allegan","DD","Eligibility","rfr_to_FFS","10","Of the # in Row 7 - how many were not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"81",2012,3,"LRP","Allegan","DD","Eligibility","rfr_to_MHP","11","Of the # in Row 7 - how many were not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"82",2012,3,"LRP","Allegan","DD","Eligibility","not_eligible","12","Of the # in Row 7 - how many otherwise did not meet cmhsp non-entitlement eligibility criteria",13,FALSE
"83",2012,3,"LRP","Allegan","DD","Eligibility","rfr_to_mh_Y","12a","     Of the # in row 12 - How many were referred out to other mental health providers",0,FALSE
"84",2012,3,"LRP","Allegan","DD","Eligibility","rfr_to_mh_N","12b","     Of the # in row 12 - How many were not referred out to other mental health providers",0,FALSE
"85",2012,3,"LRP","Allegan","DD","Eligibility","eligible","13","Of the # in Row 7 - How many people met the cmhsp eligibility criteria",53,FALSE
"86",2012,3,"LRP","Allegan","DD","Placement","urgent_crit","14","Of the # in Row 13 - How many met emergency/urgent conditions criteria",0,FALSE
"87",2012,3,"LRP","Allegan","DD","Placement","immed_crit","15","Of the # in Row 13 - How many met immediate admission criteria",53,FALSE
"88",2012,3,"LRP","Allegan","DD","Waiting","waiting","16"," Of the # in Row 13 - How many were put on a waiting list",0,FALSE
"89",2012,3,"LRP","Allegan","DD","Waiting","some_wait","16a","     Of the # in row 16 - How many received some cmhsp services, but wait listed for other services",0,FALSE
"90",2012,3,"LRP","Allegan","DD","Waiting","all_wait","16b","       Of the # in row 16 - How many were wait listed for all cmhsp services",0,FALSE
"91",2012,3,"LRP","Allegan","MIA","Start","total_in","1","Total # of people who telephoned or walked in",492,FALSE
"92",2012,3,"LRP","Allegan","MIA","Entry","out_nonMH","3","# referred out due to non MH needs (of row 1)",42,FALSE
"93",2012,3,"LRP","Allegan","MIA","Entry","seeking_SUD","4","# seeking substance abuse services (of row 1)",0,FALSE
"94",2012,3,"LRP","Allegan","MIA","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",492,FALSE
"95",2012,3,"LRP","Allegan","MIA","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",39,FALSE
"96",2012,3,"LRP","Allegan","MIA","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",411,FALSE
"97",2012,3,"LRP","Allegan","MIA","Eligibility","no_elig_deter","9","Of the # in Row 7 - How many did not receive eligibility determination (dropped out, no show, etc.) ",46,FALSE
"98",2012,3,"LRP","Allegan","MIA","Eligibility","rfr_to_FFS","10","Of the # in Row 7 - how many were not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"99",2012,3,"LRP","Allegan","MIA","Eligibility","rfr_to_MHP","11","Of the # in Row 7 - how many were not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"100",2012,3,"LRP","Allegan","MIA","Eligibility","not_eligible","12","Of the # in Row 7 - how many otherwise did not meet cmhsp non-entitlement eligibility criteria",47,FALSE
"101",2012,3,"LRP","Allegan","MIA","Eligibility","rfr_to_mh_Y","12a","     Of the # in row 12 - How many were referred out to other mental health providers",30,FALSE
"102",2012,3,"LRP","Allegan","MIA","Eligibility","rfr_to_mh_N","12b","     Of the # in row 12 - How many were not referred out to other mental health providers",17,FALSE
"103",2012,3,"LRP","Allegan","MIA","Eligibility","eligible","13","Of the # in Row 7 - How many people met the cmhsp eligibility criteria",318,FALSE
"104",2012,3,"LRP","Allegan","MIA","Placement","urgent_crit","14","Of the # in Row 13 - How many met emergency/urgent conditions criteria",0,FALSE
"105",2012,3,"LRP","Allegan","MIA","Placement","immed_crit","15","Of the # in Row 13 - How many met immediate admission criteria",318,FALSE
"106",2012,3,"LRP","Allegan","MIA","Waiting","waiting","16"," Of the # in Row 13 - How many were put on a waiting list",0,FALSE
"107",2012,3,"LRP","Allegan","MIA","Waiting","some_wait","16a","     Of the # in row 16 - How many received some cmhsp services, but wait listed for other services",0,FALSE
"108",2012,3,"LRP","Allegan","MIA","Waiting","all_wait","16b","       Of the # in row 16 - How many were wait listed for all cmhsp services",0,FALSE
"109",2012,3,"LRP","Allegan","MIC","Start","total_in","1","Total # of people who telephoned or walked in",235,FALSE
"110",2012,3,"LRP","Allegan","MIC","Entry","out_nonMH","3","# referred out due to non MH needs (of row 1)",47,FALSE
"111",2012,3,"LRP","Allegan","MIC","Entry","seeking_SUD","4","# seeking substance abuse services (of row 1)",0,FALSE
"112",2012,3,"LRP","Allegan","MIC","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",235,FALSE
"113",2012,3,"LRP","Allegan","MIC","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",10,FALSE
"114",2012,3,"LRP","Allegan","MIC","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",178,FALSE
"115",2012,3,"LRP","Allegan","MIC","Eligibility","no_elig_deter","9","Of the # in Row 7 - How many did not receive eligibility determination (dropped out, no show, etc.) ",15,FALSE
"116",2012,3,"LRP","Allegan","MIC","Eligibility","rfr_to_FFS","10","Of the # in Row 7 - how many were not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"117",2012,3,"LRP","Allegan","MIC","Eligibility","rfr_to_MHP","11","Of the # in Row 7 - how many were not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"118",2012,3,"LRP","Allegan","MIC","Eligibility","not_eligible","12","Of the # in Row 7 - how many otherwise did not meet cmhsp non-entitlement eligibility criteria",6,FALSE
"119",2012,3,"LRP","Allegan","MIC","Eligibility","rfr_to_mh_Y","12a","     Of the # in row 12 - How many were referred out to other mental health providers",4,FALSE
"120",2012,3,"LRP","Allegan","MIC","Eligibility","rfr_to_mh_N","12b","     Of the # in row 12 - How many were not referred out to other mental health providers",2,FALSE
"121",2012,3,"LRP","Allegan","MIC","Eligibility","eligible","13","Of the # in Row 7 - How many people met the cmhsp eligibility criteria",152,FALSE
"122",2012,3,"LRP","Allegan","MIC","Placement","urgent_crit","14","Of the # in Row 13 - How many met emergency/urgent conditions criteria",0,FALSE
"123",2012,3,"LRP","Allegan","MIC","Placement","immed_crit","15","Of the # in Row 13 - How many met immediate admission criteria",152,FALSE
"124",2012,3,"LRP","Allegan","MIC","Waiting","waiting","16"," Of the # in Row 13 - How many were put on a waiting list",0,FALSE
"125",2012,3,"LRP","Allegan","MIC","Waiting","some_wait","16a","     Of the # in row 16 - How many received some cmhsp services, but wait listed for other services",0,FALSE
"126",2012,3,"LRP","Allegan","MIC","Waiting","all_wait","16b","       Of the # in row 16 - How many were wait listed for all cmhsp services",0,FALSE
"127",2012,3,"LRP","Allegan","Other","Start","total_in","1","Total # of people who telephoned or walked in",53,FALSE
"128",2012,3,"LRP","Allegan","Other","Entry","out_nonMH","3","# referred out due to non MH needs (of row 1)",53,FALSE
"129",2012,3,"LRP","Allegan","Other","Entry","seeking_SUD","4","# seeking substance abuse services (of row 1)",3,FALSE
"130",2012,3,"LRP","Allegan","Other","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",0,FALSE
"131",2012,3,"LRP","Allegan","Other","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",0,FALSE
"132",2012,3,"LRP","Allegan","Other","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",0,FALSE
"133",2012,3,"LRP","Allegan","Other","Eligibility","no_elig_deter","9","Of the # in Row 7 - How many did not receive eligibility determination (dropped out, no show, etc.) ",0,FALSE
"134",2012,3,"LRP","Allegan","Other","Eligibility","rfr_to_FFS","10","Of the # in Row 7 - how many were not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"135",2012,3,"LRP","Allegan","Other","Eligibility","rfr_to_MHP","11","Of the # in Row 7 - how many were not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"136",2012,3,"LRP","Allegan","Other","Eligibility","not_eligible","12","Of the # in Row 7 - how many otherwise did not meet cmhsp non-entitlement eligibility criteria",0,FALSE
"137",2012,3,"LRP","Allegan","Other","Eligibility","rfr_to_mh_Y","12a","     Of the # in row 12 - How many were referred out to other mental health providers",0,FALSE
"138",2012,3,"LRP","Allegan","Other","Eligibility","rfr_to_mh_N","12b","     Of the # in row 12 - How many were not referred out to other mental health providers",0,FALSE
"139",2012,3,"LRP","Allegan","Other","Eligibility","eligible","13","Of the # in Row 7 - How many people met the cmhsp eligibility criteria",0,FALSE
"140",2012,3,"LRP","Allegan","Other","Placement","urgent_crit","14","Of the # in Row 13 - How many met emergency/urgent conditions criteria",0,FALSE
"141",2012,3,"LRP","Allegan","Other","Placement","immed_crit","15","Of the # in Row 13 - How many met immediate admission criteria",0,FALSE
"142",2012,3,"LRP","Allegan","Other","Waiting","waiting","16"," Of the # in Row 13 - How many were put on a waiting list",0,FALSE
"143",2012,3,"LRP","Allegan","Other","Waiting","some_wait","16a","     Of the # in row 16 - How many received some cmhsp services, but wait listed for other services",0,FALSE
"144",2012,3,"LRP","Allegan","Other","Waiting","all_wait","16b","       Of the # in row 16 - How many were wait listed for all cmhsp services",0,FALSE
"145",2013,3,"LRP","Allegan","DD","Start","total_in","1","Total # of people who telephoned or walked in",86,FALSE
"146",2013,3,"LRP","Allegan","DD","Entry","out_nonMH","3","# referred out due to non MH needs (of row 1)",0,FALSE
"147",2013,3,"LRP","Allegan","DD","Entry","seeking_SUD","4","# seeking substance abuse services (of row 1)",0,FALSE
"148",2013,3,"LRP","Allegan","DD","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",86,FALSE
"149",2013,3,"LRP","Allegan","DD","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",14,FALSE
"150",2013,3,"LRP","Allegan","DD","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",72,FALSE
"151",2013,3,"LRP","Allegan","DD","Eligibility","no_elig_deter","9","Of the # in Row 7 - How many did not receive eligibility determination (dropped out, no show, etc.) ",3,FALSE
"152",2013,3,"LRP","Allegan","DD","Eligibility","rfr_to_FFS","10","Of the # in Row 7 - how many were not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"153",2013,3,"LRP","Allegan","DD","Eligibility","rfr_to_MHP","11","Of the # in Row 7 - how many were not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"154",2013,3,"LRP","Allegan","DD","Eligibility","not_eligible","12","Of the # in Row 7 - how many otherwise did not meet cmhsp non-entitlement eligibility criteria",0,FALSE
"155",2013,3,"LRP","Allegan","DD","Eligibility","rfr_to_mh_Y","12a","     Of the # in row 12 - How many were referred out to other mental health providers",0,FALSE
"156",2013,3,"LRP","Allegan","DD","Eligibility","rfr_to_mh_N","12b","     Of the # in row 12 - How many were not referred out to other mental health providers",0,FALSE
"157",2013,3,"LRP","Allegan","DD","Eligibility","eligible","13","Of the # in Row 7 - How many people met the cmhsp eligibility criteria",69,FALSE
"158",2013,3,"LRP","Allegan","DD","Placement","urgent_crit","14","Of the # in Row 13 - How many met emergency/urgent conditions criteria",0,FALSE
"159",2013,3,"LRP","Allegan","DD","Placement","immed_crit","15","Of the # in Row 13 - How many met immediate admission criteria",69,FALSE
"160",2013,3,"LRP","Allegan","DD","Waiting","waiting","16"," Of the # in Row 13 - How many were put on a waiting list",0,FALSE
"161",2013,3,"LRP","Allegan","DD","Waiting","some_wait","16a","     Of the # in row 16 - How many received some cmhsp services, but wait listed for other services",0,FALSE
"162",2013,3,"LRP","Allegan","DD","Waiting","all_wait","16b","       Of the # in row 16 - How many were wait listed for all cmhsp services",0,FALSE
"163",2013,3,"LRP","Allegan","MIA","Start","total_in","1","Total # of people who telephoned or walked in",728,FALSE
"164",2013,3,"LRP","Allegan","MIA","Entry","out_nonMH","3","# referred out due to non MH needs (of row 1)",0,FALSE
"165",2013,3,"LRP","Allegan","MIA","Entry","seeking_SUD","4","# seeking substance abuse services (of row 1)",0,FALSE
"166",2013,3,"LRP","Allegan","MIA","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",728,FALSE
"167",2013,3,"LRP","Allegan","MIA","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",215,FALSE
"168",2013,3,"LRP","Allegan","MIA","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",513,FALSE
"169",2013,3,"LRP","Allegan","MIA","Eligibility","no_elig_deter","9","Of the # in Row 7 - How many did not receive eligibility determination (dropped out, no show, etc.) ",202,FALSE
"170",2013,3,"LRP","Allegan","MIA","Eligibility","rfr_to_FFS","10","Of the # in Row 7 - how many were not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"171",2013,3,"LRP","Allegan","MIA","Eligibility","rfr_to_MHP","11","Of the # in Row 7 - how many were not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"172",2013,3,"LRP","Allegan","MIA","Eligibility","not_eligible","12","Of the # in Row 7 - how many otherwise did not meet cmhsp non-entitlement eligibility criteria",14,FALSE
"173",2013,3,"LRP","Allegan","MIA","Eligibility","rfr_to_mh_Y","12a","     Of the # in row 12 - How many were referred out to other mental health providers",12,FALSE
"174",2013,3,"LRP","Allegan","MIA","Eligibility","rfr_to_mh_N","12b","     Of the # in row 12 - How many were not referred out to other mental health providers",2,FALSE
"175",2013,3,"LRP","Allegan","MIA","Eligibility","eligible","13","Of the # in Row 7 - How many people met the cmhsp eligibility criteria",297,FALSE
"176",2013,3,"LRP","Allegan","MIA","Placement","urgent_crit","14","Of the # in Row 13 - How many met emergency/urgent conditions criteria",42,FALSE
"177",2013,3,"LRP","Allegan","MIA","Placement","immed_crit","15","Of the # in Row 13 - How many met immediate admission criteria",297,FALSE
"178",2013,3,"LRP","Allegan","MIA","Waiting","waiting","16"," Of the # in Row 13 - How many were put on a waiting list",0,FALSE
"179",2013,3,"LRP","Allegan","MIA","Waiting","some_wait","16a","     Of the # in row 16 - How many received some cmhsp services, but wait listed for other services",0,FALSE
"180",2013,3,"LRP","Allegan","MIA","Waiting","all_wait","16b","       Of the # in row 16 - How many were wait listed for all cmhsp services",0,FALSE
"181",2013,3,"LRP","Allegan","MIC","Start","total_in","1","Total # of people who telephoned or walked in",247,FALSE
"182",2013,3,"LRP","Allegan","MIC","Entry","out_nonMH","3","# referred out due to non MH needs (of row 1)",0,FALSE
"183",2013,3,"LRP","Allegan","MIC","Entry","seeking_SUD","4","# seeking substance abuse services (of row 1)",0,FALSE
"184",2013,3,"LRP","Allegan","MIC","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",247,FALSE
"185",2013,3,"LRP","Allegan","MIC","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",38,FALSE
"186",2013,3,"LRP","Allegan","MIC","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",209,FALSE
"187",2013,3,"LRP","Allegan","MIC","Eligibility","no_elig_deter","9","Of the # in Row 7 - How many did not receive eligibility determination (dropped out, no show, etc.) ",82,FALSE
"188",2013,3,"LRP","Allegan","MIC","Eligibility","rfr_to_FFS","10","Of the # in Row 7 - how many were not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"189",2013,3,"LRP","Allegan","MIC","Eligibility","rfr_to_MHP","11","Of the # in Row 7 - how many were not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"190",2013,3,"LRP","Allegan","MIC","Eligibility","not_eligible","12","Of the # in Row 7 - how many otherwise did not meet cmhsp non-entitlement eligibility criteria",4,FALSE
"191",2013,3,"LRP","Allegan","MIC","Eligibility","rfr_to_mh_Y","12a","     Of the # in row 12 - How many were referred out to other mental health providers",4,FALSE
"192",2013,3,"LRP","Allegan","MIC","Eligibility","rfr_to_mh_N","12b","     Of the # in row 12 - How many were not referred out to other mental health providers",0,FALSE
"193",2013,3,"LRP","Allegan","MIC","Eligibility","eligible","13","Of the # in Row 7 - How many people met the cmhsp eligibility criteria",123,FALSE
"194",2013,3,"LRP","Allegan","MIC","Placement","urgent_crit","14","Of the # in Row 13 - How many met emergency/urgent conditions criteria",15,FALSE
"195",2013,3,"LRP","Allegan","MIC","Placement","immed_crit","15","Of the # in Row 13 - How many met immediate admission criteria",123,FALSE
"196",2013,3,"LRP","Allegan","MIC","Waiting","waiting","16"," Of the # in Row 13 - How many were put on a waiting list",0,FALSE
"197",2013,3,"LRP","Allegan","MIC","Waiting","some_wait","16a","     Of the # in row 16 - How many received some cmhsp services, but wait listed for other services",0,FALSE
